ID	LABEL	Definition	def_xref	is_a	is_a	part_of	develops_from	In_subset	Date	Contributor	Present_in_taxon	Wikipedia_image	xref
http://purl.obolibrary.org/obo/UBERON_8930017	periductal capillary of accessory pancreatic duct	A capillary that is located adjacent to the accessory pancreatic duct and forms part of the periductal microvascular network that supplies blood to the duct epithelium and surrounding pancreatic tissue.	https://www.flandershealth.us/chronic-pancreatitis/microcirculation-of-the-pancreas.html|https://purl.org/ccf/ASCTB-TEMP_periductal-capillary-of-accessory-pancreatic-duct|PMID:38708079	UBERON:0001982		UBERON:0005429		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_8930018	periductal capillary of intercalated duct of pancreas	"A capillary that surrounds and supplies blood to the intercalated duct of the pancreas, forming a perivascular network around the smallest pancreatic ductules where they emerge from acini."	https://www.flandershealth.us/chronic-pancreatitis/microcirculation-of-the-pancreas.html|https://purl.org/ccf/ASCTB-TEMP_periductal-capillary-of-intercalated-duct-of-pancreas|PMID:253377	UBERON:0001982		UBERON:0014726		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Pancreas
http://purl.obolibrary.org/obo/UBERON_8930019	periductal capillary of interlobular duct of pancreas	"A capillary that is located adjacent to the interlobular ducts of the exocrine pancreas, forming part of the pancreatic microvascular network that supplies the ductal system."	https://www.flandershealth.us/chronic-pancreatitis/microcirculation-of-the-pancreas.html|https://purl.org/ccf/ASCTB-TEMP_periductal-capillary-of-interlobular-duct-of-pancreas|PMID:41860163|PMID:42086456	UBERON:0001982		UBERON:0001264		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Pancreatic_duct
http://purl.obolibrary.org/obo/UBERON_8930020	periductal capillary of intralobular duct of pancreas	"A capillary that surrounds and supplies blood to the intralobular ducts within the pancreatic lobule, forming part of the periductal capillary network that supports pancreatic ductal transport."	https://www.flandershealth.us/chronic-pancreatitis/microcirculation-of-the-pancreas.html|PMID:253377	UBERON:0001982		UBERON:0007324		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Pancreas
http://purl.obolibrary.org/obo/UBERON_8930021	periductal capillary of main pancreatic duct	"A capillary that surrounds the main pancreatic duct, forming part of the periductal microvascular plexus that supplies the ductal epithelium and participates in fluid exchange during pancreatic secretion."	https://www.flandershealth.us/chronic-pancreatitis/microcirculation-of-the-pancreas.html|https://purl.org/ccf/ASCTB-TEMP_periductal-capillary-of-main-pancreatic-duct|PMID:16417468	UBERON:0001982		UBERON:0007329		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Pancreatic_duct
http://purl.obolibrary.org/obo/UBERON_8930022	post-alveolar capillary	"A capillary that is part of the pulmonary microcirculation and is located downstream of the alveolus, on the venous side of the alveolar-capillary gas exchange unit, where oxygenated blood begins to transition into venules."	https://doi.org/10.1152/japplphysiol.01177.2009|https://purl.org/ccf/ASCTB-TEMP_post-alveolar-capillary|PMID:20110543|PMID:10362720	UBERON:0016405		UBERON:0002048		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Pulmonary_alveolus
http://purl.obolibrary.org/obo/UBERON_8930023	post-sheath open capillary of spleen	"A capillary of the spleen characterized by lacking an ellipsoid sheath and located distal to sheathed regions in the splenic microcirculation, where blood flows directly into open channels before entering the red pulp sinuses."	https://purl.org/ccf/ASCTB-TEMP_post-sheath-open-capillary-of-spleen|PMID:16056254	UBERON:0001982		UBERON:0002106		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_8930024	pre-alveolar capillary	"A pulmonary capillary located in the walls of pre-alveolar airways such as respiratory bronchioles and alveolar ducts, contributing to gas exchange in the respiratory zone proximal to the alveolar sacs."	https://doi.org/10.1152/japplphysiol.01177.2009|https://purl.org/ccf/ASCTB-TEMP_pre-alveolar-capillary|PMID:20110543	UBERON:0016405		UBERON:0002048		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_8930025	secondary capillary plexus of anterior pituitary gland	"A capillary plexus that forms a network of fenestrated sinusoid capillaries within the anterior pituitary gland, receiving blood from the hypophyseal portal veins that drain the primary capillary plexus of the median eminence, and serving as the site where hypothalamic releasing hormones stimulate or inhibit the secretion of anterior pituitary hormones."	https://basicmedicalkey.com/endocrine-system-3/|https://purl.org/ccf/ASCTB-TEMP_secondary-capillary-plexus-of-anterior-pituitary-gland|PMID:19837874|PMID:8481959	UBERON:0035753		UBERON:0002196		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Hypophyseal_portal_system
http://purl.obolibrary.org/obo/UBERON_8930026	sheathed capillary of spleen	"A capillary located within the red pulp of the spleen, characterized by a specialized sheath of reticular cells and fibers surrounding the endothelium that functions in mechanical blood filtration and removal of aged or damaged erythrocytes."	https://doi.org/10.1007/s00418-013-1172-z|https://doi.org/10.1111/j.1365-2559.1985.tb02841.x|https://doi.org/10.1111/j.1365-2559.1986.tb02482.x|https://doi.org/10.1111/imm.12469|https://doi.org/10.1186/s13059-019-1906-x|https://doi.org/10.1017/CBO9780511545979|https://doi.org/10.1182/bloodadvances.2017015073|https://doi.org/10.1007/s00418-020-01924-3|https://doi.org/10.1371/journal.pone.0191019|https://purl.org/ccf/ASCTB-TEMP_sheathed-capillary-of-spleen|PMID:24374344|PMID:25611090	UBERON:0001982		UBERON:0001250		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Red_pulp
http://purl.obolibrary.org/obo/UBERON_8930027	sublingual gland capillary	"A capillary that is part of the sublingual gland, forming part of the microvascular network that supplies blood to the secretory acini and ductal structures of this minor salivary gland."	https://en.wikipedia.org/wiki/Lingual_artery|https://purl.org/ccf/ASCTB-TEMP_sublingual-gland-capillary|PMID:31202159	UBERON:0001982		UBERON:0001832		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Capillary|Wikipedia:Sublingual_gland
http://purl.obolibrary.org/obo/UBERON_8930028	submandibular gland capillary	A capillary that is part of a submandibular gland.	https://en.wikipedia.org/wiki/Glandular_branches_of_facial_artery|https://purl.org/ccf/ASCTB-TEMP_submandibular-gland-capillary|PMID:33679695	UBERON:0001982	UBERON:0001982 and BFO:0000050 some UBERON:0001736			http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Submandibular_gland
http://purl.obolibrary.org/obo/UBERON_8930029	superficial white pulp capillary of spleen	"A capillary located in the outer (superficial) region of the white pulp of the spleen, supplying the periarteriolar lymphoid sheath and marginal zone with blood."	https://purl.org/ccf/ASCTB-TEMP_superficial-white-pulp-capillary-of-spleen|PMID:16056254	UBERON:0001982		UBERON:0001959		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_8930030	superior labial gland capillary	A capillary that is part of a labial gland and contributes to the microvasculature of the upper lip.	https://en.wikipedia.org/wiki/Superior_labial_artery|https://purl.org/ccf/ASCTB-TEMP_superior-labial-gland-capillary|PMID:34422599|PMID:42044276	UBERON:0001982		UBERON:8480065		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Superior_labial_artery
http://purl.obolibrary.org/obo/UBERON_8930031	tongue capillary	"A capillary that is part of the tongue and participates in the microcirculation supplying blood to the tongue tissue, located within the connective tissue and beneath the epithelium."	https://en.wikipedia.org/wiki/Lingual_artery|https://purl.org/ccf/ASCTB-TEMP_tongue-capillary|PMID:31604544	UBERON:0001982		UBERON:0001723		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Lingual_artery
http://purl.obolibrary.org/obo/UBERON_8930032	Weber's gland capillary	"A capillary that is part of Weber's gland, the lingual gland located on the lateral margins of the tongue at the level of the foliate papillae."	PMID:32119400|https://purl.org/ccf/ASCTB-TEMP_weber-s-gland-capillary	UBERON:0001982		UBERON:0034934		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
