#curie_map:
#  BTO: "http://purl.obolibrary.org/obo/BTO_"
#  IDOMAL: "http://purl.obolibrary.org/obo/IDOMAL_"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  VO: "http://purl.obolibrary.org/obo/VO_"
#  mesh: "http://id.nlm.nih.gov/mesh/"
#  orcid: "https://orcid.org/"
#mapping_set_id: "https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv"
#mapping_set_version: "0.3.7.dev0"
#mapping_set_title: "Biomappings"
#mapping_set_description: "Biomappings is a repository of community curated and predicted equivalences and related mappings between named biological entities that are not available from primary sources. It's also a place where anyone can contribute curations of predicted mappings or their own novel mappings."
#creator_id:
#  - "orcid:0000-0001-9439-5346"
#  - "orcid:0000-0002-1216-4761"
#  - "orcid:0000-0002-2046-6145"
#  - "orcid:0000-0002-2627-0696"
#  - "orcid:0000-0002-6601-2165"
#  - "orcid:0000-0003-1307-2508"
#  - "orcid:0000-0003-4423-4370"
#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_provider: "https://github.com/biopragmatics/biomappings"
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	author_id	mapping_tool	confidence
UBERON:0000120	blood brain barrier	skos:exactMatch		mesh:D001812	Blood-Brain Barrier	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0000127	facial nucleus	skos:exactMatch		mesh:D065828	Facial Nucleus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0000159	anal canal	skos:exactMatch		mesh:D001003	Anal Canal	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0000167	oral cavity	skos:exactMatch		mesh:D009055	Mouth	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0000175	pleural effusion	skos:exactMatch		mesh:D010996	Pleural Effusion	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0000220	atlanto-occipital joint	skos:exactMatch		mesh:D001269	Atlanto-Occipital Joint	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0000341	throat	skos:exactMatch		mesh:D010614	Pharynx	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0000353	parenchyma	skos:exactMatch		BTO:0001539	parenchyma	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0000353	parenchyma	skos:exactMatch	Not	BTO:0000999	plant parenchyma	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/530a1b/scripts/generate_uberon_bto_mappings.py	0.556000
UBERON:0000387	meniscus	skos:exactMatch		mesh:D000072600	Meniscus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0000467	anatomical system	skos:exactMatch		IDOMAL:0002460	anatomical system	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	mira	0.777778
UBERON:0000477	anatomical cluster	skos:exactMatch		IDOMAL:0002461	anatomical cluster	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	mira	0.777778
UBERON:0000480	anatomical group	skos:exactMatch		IDOMAL:0002459	anatomical group	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	mira	0.777778
UBERON:0000569	ileocecal valve	skos:exactMatch		mesh:D007080	Ileocecal Valve	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0000922	embryo	skos:exactMatch		IDOMAL:0000646	embryo	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	mira	0.777778
UBERON:0000939	imaginal disc	skos:exactMatch		mesh:D060227	Imaginal Discs	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0000990	reproductive system	skos:exactMatch		mesh:D005835	Genitalia	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001009	circulatory system	skos:exactMatch		mesh:D002319	Cardiovascular System	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001049	neural tube	skos:exactMatch		mesh:D054259	Neural Tube	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001156	ascending colon	skos:exactMatch		mesh:D044682	Colon, Ascending	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001157	transverse colon	skos:exactMatch		mesh:D044684	Colon, Transverse	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001158	descending colon	skos:exactMatch		mesh:D044683	Colon, Descending	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001173	biliary tree	skos:exactMatch		mesh:D001659	Biliary Tract	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001263	pancreatic acinus	skos:exactMatch	Not	BTO:0000028	pancreatic acinar cell	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/530a1b/scripts/generate_uberon_bto_mappings.py	0.556000
UBERON:0001268	peritoneal fluid	skos:exactMatch		mesh:D001202	Ascitic Fluid	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001347	white adipose tissue	skos:exactMatch		mesh:D052436	Adipose Tissue, White	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001377	quadriceps femoris	skos:exactMatch		mesh:D052097	Quadriceps Muscle	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001439	compact bone tissue	skos:exactMatch		mesh:D000071538	Cortical Bone	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001473	lymphatic vessel	skos:exactMatch		mesh:D042601	Lymphatic Vessels	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001555	digestive tract	skos:exactMatch		mesh:D041981	Gastrointestinal Tract	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001601	extra-ocular muscle	skos:exactMatch		mesh:D009801	Oculomotor Muscles	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001642	superior sagittal sinus	skos:exactMatch		mesh:D054063	Superior Sagittal Sinus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001683	jugal bone	skos:exactMatch		mesh:D015050	Zygoma	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001715	oculomotor nuclear complex	skos:exactMatch		mesh:D065838	Oculomotor Nuclear Complex	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001742	epiglottic cartilage	skos:exactMatch		mesh:D004825	Epiglottis	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001797	vitreous humor	skos:exactMatch		mesh:D014822	Vitreous Body	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001806	sympathetic ganglion	skos:exactMatch		mesh:D005728	Ganglia, Sympathetic	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001808	parasympathetic ganglion	skos:exactMatch		mesh:D005726	Ganglia, Parasympathetic	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001823	nasal cartilage	skos:exactMatch		mesh:D055171	Nasal Cartilages	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001856	semicircular duct	skos:exactMatch		mesh:D054776	Semicircular Ducts	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001862	vestibular labyrinth	skos:exactMatch		mesh:D014722	Vestibule, Labyrinth	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001863	scala vestibuli	skos:exactMatch		mesh:D054738	Scala Vestibuli	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001870	frontal cortex	skos:exactMatch		mesh:D005625	Frontal Lobe	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001883	olfactory tubercle	skos:exactMatch		mesh:D066208	Olfactory Tubercle	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001886	choroid plexus	skos:exactMatch	Not	VO:0011021	CP	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	mira	0.555556
UBERON:0001907	zona incerta	skos:exactMatch		mesh:D065820	Zona Incerta	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001931	lateral preoptic nucleus	skos:exactMatch		BTO:0006166	nucleus preopticus lateralis	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/530a1b/scripts/generate_uberon_bto_mappings.py	0.556000
UBERON:0001943	midbrain tegmentum	skos:exactMatch		mesh:D013681	Tegmentum Mesencephali	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001944	pretectal region	skos:exactMatch		mesh:D066250	Pretectal Region	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001947	red nucleus	skos:exactMatch		BTO:0006329	red nucleus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0001965	substantia nigra pars compacta	skos:exactMatch		mesh:D065842	Pars Compacta	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001966	substantia nigra pars reticulata	skos:exactMatch		mesh:D065841	Pars Reticulata	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0001977	blood serum	skos:exactMatch		mesh:D044967	Serum	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0001995	fibrocartilage	skos:exactMatch		mesh:D051445	Fibrocartilage	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002020	gray matter	skos:exactMatch		mesh:D066128	Gray Matter	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002035	medial preoptic nucleus	skos:exactMatch		BTO:0006167	nucleus preopticus medialis	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/530a1b/scripts/generate_uberon_bto_mappings.py	0.556000
UBERON:0002043	dorsal raphe nucleus	skos:exactMatch		mesh:D065847	Dorsal Raphe Nucleus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002062	endocardial cushion	skos:exactMatch		mesh:D054089	Endocardial Cushions	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002072	hypodermis	skos:exactMatch		mesh:D040521	Subcutaneous Tissue	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002090	postcranial axial skeleton	skos:exactMatch		mesh:D013131	Spine	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002101	limb	skos:exactMatch		mesh:D005121	Extremities	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002120	pronephros	skos:exactMatch		mesh:D060910	Pronephros	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002128	superior olivary complex	skos:exactMatch		mesh:D065832	Superior Olivary Complex	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002141	parvocellular oculomotor nucleus	skos:exactMatch		mesh:D065839	Edinger-Westphal Nucleus	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002142	pedunculopontine tegmental nucleus	skos:exactMatch		mesh:D045042	Pedunculopontine Tegmental Nucleus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
UBERON:0002145	interpeduncular nucleus	skos:exactMatch		mesh:D066268	Interpeduncular Nucleus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002152	middle cerebellar peduncle	skos:exactMatch		mesh:D065837	Middle Cerebellar Peduncle	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002156	nucleus raphe magnus	skos:exactMatch		mesh:D065846	Nucleus Raphe Magnus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002157	nucleus raphe pallidus	skos:exactMatch		mesh:D065848	Nucleus Raphe Pallidus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002186	bronchiole	skos:exactMatch		mesh:D055745	Bronchioles	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002190	subcutaneous adipose tissue	skos:exactMatch		mesh:D015434	Panniculitis	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002207	xiphoid process	skos:exactMatch		mesh:D014989	Xiphoid Bone	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002219	subfornical organ	skos:exactMatch		BTO:0006266	subfornical organ	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0002228	rib	skos:exactMatch	Not	VO:0012403	Rib	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
UBERON:0002236	costal cartilage	skos:exactMatch		mesh:D066186	Costal Cartilage	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002242	nucleus pulposus	skos:exactMatch		mesh:D000070614	Nucleus Pulposus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002262	celiac ganglion	skos:exactMatch		BTO:0006296	celiac ganglion	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0002295	scala media	skos:exactMatch		mesh:D003053	Cochlear Duct	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002316	white matter	skos:exactMatch		mesh:D066127	White Matter	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002373	palatine tonsil	skos:exactMatch		mesh:D014066	Palatine Tonsil	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002393	pharyngotympanic tube	skos:exactMatch		mesh:D005064	Eustachian Tube	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002396	vomer	skos:exactMatch		mesh:D055172	Vomer	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002409	pericardial fluid	skos:exactMatch		mesh:D000069236	Pericardial Fluid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002410	autonomic nervous system	skos:exactMatch		IDOMAL:0002126	visceral nervous system	semapv:LexicalMatching		mira	0.555556
UBERON:0002412	vertebra	skos:exactMatch		BTO:0006196	vertebra	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0002430	lateral hypothalamic area	skos:exactMatch		BTO:0006481	lateral hypothalamus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/530a1b/scripts/generate_uberon_bto_mappings.py	0.556000
UBERON:0002469	esophagus mucosa	skos:exactMatch		mesh:D000071041	Esophageal Mucosa	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002493	uterine artery	skos:exactMatch		mesh:D055988	Uterine Artery	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002540	lateral line system	skos:exactMatch		mesh:D053403	Lateral Line System	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002548	larva	skos:exactMatch		mesh:D007814	Larva	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002590	prepyriform area	skos:exactMatch		mesh:D066195	Piriform Cortex	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002600	limbic lobe	skos:exactMatch		mesh:D065726	Limbic Lobe	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002623	cerebral peduncle	skos:exactMatch		mesh:D065850	Cerebral Peduncle	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002625	median preoptic nucleus	skos:exactMatch		BTO:0006168	nucleus preopticus medianus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/530a1b/scripts/generate_uberon_bto_mappings.py	0.556000
UBERON:0002631	cerebral crus	skos:exactMatch		mesh:D065843	Cerebral Crus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002633	motor nucleus of trigeminal nerve	skos:exactMatch		mesh:D066266	Trigeminal Motor Nucleus	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002639	midbrain reticular formation	skos:exactMatch		mesh:D066265	Midbrain Reticular Formation	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002656	periamygdaloid area	skos:exactMatch		mesh:D066277	Periamygdaloid Cortex	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002682	abducens nucleus	skos:exactMatch		mesh:D065827	Abducens Nucleus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002684	nucleus raphe obscurus	skos:exactMatch		mesh:D065849	Nucleus Raphe Obscurus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002689	supraoptic crest	skos:exactMatch		mesh:D066278	Organum Vasculosum	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002689	supraoptic crest	skos:exactMatch		BTO:0006268	organum vasculosum laminae terminalis	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/530a1b/scripts/generate_uberon_bto_mappings.py	0.556000
UBERON:0002704	metathalamus	skos:exactMatch		mesh:D005829	Geniculate Bodies	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002705	midline nuclear group	skos:exactMatch		mesh:D020644	Midline Thalamic Nuclei	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002707	corticospinal tract	skos:exactMatch		BTO:0006132	corticospinal tract	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0002714	rubrospinal tract	skos:exactMatch		BTO:0006159	rubrospinal tract	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0002726	cervical spinal cord	skos:exactMatch		mesh:D066193	Cervical Cord	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002743	basal forebrain	skos:exactMatch		mesh:D066187	Basal Forebrain	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002751	inferior temporal gyrus	skos:exactMatch		BTO:0006175	inferior temporal gyrus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0002752	olivocerebellar tract	skos:exactMatch		BTO:0006157	olivocerebellar fiber system	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/530a1b/scripts/generate_uberon_bto_mappings.py	0.556000
UBERON:0002754	predorsal bundle	skos:exactMatch		mesh:D065844	Tectospinal Fibers	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002769	superior temporal gyrus	skos:exactMatch		BTO:0006177	superior temporal gyrus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0002771	middle temporal gyrus	skos:exactMatch		BTO:0006176	middle temporal gyrus	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0002776	ventral nuclear group	skos:exactMatch		mesh:D020651	Ventral Thalamic Nuclei	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002883	central amygdaloid nucleus	skos:exactMatch		mesh:D066274	Central Amygdaloid Nucleus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002894	olfactory cortex	skos:exactMatch		mesh:D066194	Olfactory Cortex	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002895	secondary olfactory cortex	skos:exactMatch		mesh:D018728	Entorhinal Cortex	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0002932	trapezoid body	skos:exactMatch		mesh:D065833	Trapezoid Body	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0002967	cingulate gyrus	skos:exactMatch		mesh:D006179	Gyrus Cinguli	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0003011	facial motor nucleus	skos:exactMatch		mesh:D065828	Facial Nucleus	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0003023	pontine tegmentum	skos:exactMatch		mesh:D065821	Pontine Tegmentum	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0003044	uncinate fasciculus	skos:exactMatch		mesh:D000083382	Uncinate Fasciculus	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0003050	olfactory placode	skos:exactMatch		BTO:0006222	olfactory placode	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0003055	periderm	skos:exactMatch		BTO:0003377	periderm	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0003060	pronephric duct	skos:exactMatch		BTO:0005991	pronephric duct	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0003074	mesonephric duct	skos:exactMatch		BTO:0005990	mesonephric duct	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0003075	neural plate	skos:exactMatch		mesh:D054258	Neural Plate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0003089	sclerotome	skos:exactMatch		BTO:0006255	sclerotome	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0003128	cranium	skos:exactMatch		mesh:D012886	Skull	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0003143	pupa	skos:exactMatch		mesh:D011679	Pupa	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0003209	blood nerve barrier	skos:exactMatch		mesh:D049428	Blood-Nerve Barrier	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0003460	arm bone	skos:exactMatch		mesh:D050280	Arm Bones	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0003462	facial bone	skos:exactMatch		mesh:D005147	Facial Bones	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0003679	mouth floor	skos:exactMatch		BTO:0006184	mouth floor	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0003687	foramen magnum	skos:exactMatch		BTO:0006035	foramen magnum	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0003823	hindlimb zeugopod	skos:exactMatch	Not	VO:0010971	SurA	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	mira	0.520924
UBERON:0003881	CA1 field of hippocampus	skos:exactMatch		mesh:D056547	CA1 Region, Hippocampal	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0003882	CA2 field of hippocampus	skos:exactMatch		mesh:D056651	CA2 Region, Hippocampal	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0003883	CA3 field of hippocampus	skos:exactMatch		mesh:D056654	CA3 Region, Hippocampal	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0003911	choroid plexus epithelium	skos:exactMatch		BTO:0006008	choroid plexus epithelium	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0003937	reproductive gland	skos:exactMatch		BTO:0006162	reproductive gland	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0004016	dermatome	skos:exactMatch		BTO:0006248	dermatome	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0004035	cortical subplate	skos:exactMatch	Not	VO:0011276	SP	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
UBERON:0004199	S-shaped body	skos:exactMatch	Not	VO:0010896	Ssb	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
UBERON:0004341	primitive streak	skos:exactMatch		mesh:D054240	Primitive Streak	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0004550	gastroesophageal sphincter	skos:exactMatch		mesh:D049630	Esophageal Sphincter, Lower	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0004637	otic capsule	skos:exactMatch		BTO:0005981	auditory capsule	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	https://github.com/biomappings/biomappings/blob/530a1b/scripts/generate_uberon_bto_mappings.py	0.556000
