iri	label	definition	definitionXrefs	classAxiomUsages	classAxiomExampleUsage
http://purl.obolibrary.org/obo/BSPO_0000098	dorsal_to			8	notochord **SubClassOf** dorsal to **some** digestive tract|dorsolateral placode **SubClassOf** dorsal to **some** epibranchial placode|secondary heart field **SubClassOf** dorsal to **some** primary heart field|epaxial myotome region **SubClassOf** dorsal to **some** horizontal septum|neural tube alar plate **SubClassOf** dorsal to **some** sulcus limitans of neural tube
http://purl.obolibrary.org/obo/BSPO_0000099	posterior_to			9	beard **SubClassOf** posterior to **some** midface|chordal neural plate **SubClassOf** posterior to **some** midbrain hindbrain boundary neural plate|hypogastrium **SubClassOf** posterior to **some** umbilicus|post-hyoid pharyngeal arch **EquivalentTo** pharyngeal arch **and** posterior to **some** pharyngeal arch 2|middle lobe of lung **SubClassOf** posterior to **some** upper lobe of lung
http://purl.obolibrary.org/obo/BSPO_0000100	proximal_to			7	ectocervix **SubClassOf** proximal to **some** vagina|stylopod **SubClassOf** proximal to **some** zeugopod|zeugopod **SubClassOf** proximal to **some** autopod region
http://purl.obolibrary.org/obo/BSPO_0000102	ventral_to			6	neural tube basal plate **SubClassOf** ventral to **some** sulcus limitans of neural tube|notochord **SubClassOf** ventral to **some** neural tube|hypaxial myotome region **SubClassOf** ventral to **some** horizontal septum
http://purl.obolibrary.org/obo/BSPO_0000107	deep_to			10	panniculus carnosus **SubClassOf** deep to **some** panniculus adiposus|white matter of cerebral lobe **SubClassOf** deep to **some** cortex of cerebral lobe|intermediate layer of superior colliculus **EquivalentTo** layer of superior colliculus **and** deep to **some** superficial layer of superior colliculus **and** superficial to **some** deep layer of superior colliculus|xiphihumeralis **SubClassOf** deep to **some** pectoralis minor|middle gray layer of superior colliculus **SubClassOf** deep to **some** superficial layer of superior colliculus
http://purl.obolibrary.org/obo/BSPO_0000108	superficial_to			11	pectoantebrachialis **SubClassOf** superficial to **some** pectoralis major|intermediate layer of superior colliculus **EquivalentTo** layer of superior colliculus **and** deep to **some** superficial layer of superior colliculus **and** superficial to **some** deep layer of superior colliculus|pectoralis major **SubClassOf** superficial to **some** pectoralis minor|supraoptic crest **SubClassOf** superficial to **some** endothelial blood brain barrier|middle gray layer of superior colliculus **SubClassOf** superficial to **some** middle white layer of superior colliculus
http://purl.obolibrary.org/obo/BSPO_0000120	in_left_side_of			46	left ureter **EquivalentTo** ureter **and** in left side of **some** multi-cellular organism|upper left incisor tusk **EquivalentTo** upper jaw incisor **and** in left side of **some** mouth **and** has quality **some** elongated **and** has quality **some** protruding|left extraembryonic umbilical vein **EquivalentTo** extraembryonic umbilical vein **and** in left side of **some** multi-cellular organism|right testicular vein **SubClassOf** in left side of **some** multi-cellular organism|left kidney **EquivalentTo** kidney **and** in left side of **some** multi-cellular organism
http://purl.obolibrary.org/obo/BSPO_0000121	in_right_side_of			41	right ureter **EquivalentTo** ureter **and** in right side of **some** multi-cellular organism|right extraembryonic umbilical vein **EquivalentTo** extraembryonic umbilical vein **and** in right side of **some** multi-cellular organism|right kidney **EquivalentTo** kidney **and** in right side of **some** multi-cellular organism|upper right incisor tusk **EquivalentTo** upper jaw incisor **and** in right side of **some** mouth **and** has quality **some** elongated **and** has quality **some** protruding|right part of face **SubClassOf** in right side of **some** face
http://purl.obolibrary.org/obo/BSPO_0000122	in_posterior_side_of			6	lower lobe of lung **SubClassOf** in posterior side of **some** lung|posterior neuropore **EquivalentTo** neuropore **and** in posterior side of **some** neural tube|ctenactinium **SubClassOf** in posterior side of **some** priapium|posterior subdivision of masseter **SubClassOf** in posterior side of **some** masseter muscle
http://purl.obolibrary.org/obo/BSPO_0000123	in_anterior_side_of			8	scolex **SubClassOf** in anterior side of **some** multi-cellular organism|upper lobe of lung **EquivalentTo** lobe of lung **and** anterior to **some** lower lobe of lung **and** in anterior side of **some** lung|anterior neuropore **EquivalentTo** neuropore **and** in anterior side of **some** neural tube|toxactinium **SubClassOf** in anterior side of **some** priapium|brain **SubClassOf** in anterior side of **some** multi-cellular organism
http://purl.obolibrary.org/obo/BSPO_0000124	in_proximal_side_of			5	proximal metaphysis **EquivalentTo** metaphysis **and** in proximal side of **some** diaphysis
http://purl.obolibrary.org/obo/BSPO_0000125	in_distal_side_of			5	distal metaphysis **EquivalentTo** metaphysis **and** in distal side of **some** diaphysis
http://purl.obolibrary.org/obo/BSPO_0000126	in_lateral_side_of			139	major vestibular gland **SubClassOf** in lateral side of **some** external female genitalia|sphenoidal sinus **SubClassOf** in lateral side of **some** body of sphenoid|aryepiglottic fold **SubClassOf** in lateral side of **some** larynx|maxilla **SubClassOf** in lateral side of **some** facial skeleton|quadrate bone **SubClassOf** in lateral side of **some** skeleton of upper jaw
http://purl.obolibrary.org/obo/BSPO_0001100	in_superficial_part_of			11	superior colliculus superficial gray layer **SubClassOf** in superficial part of **some** superior colliculus|superficial part of masseter muscle **SubClassOf** in superficial part of **some** masseter muscle|zonal layer of superior colliculus **SubClassOf** in superficial part of **some** superior colliculus|superficial white layer of superior colliculus **SubClassOf** in superficial part of **some** superior colliculus|superficial inguinal ring **EquivalentTo** inguinal ring **and** in superficial part of **some** inguinal ligament
http://purl.obolibrary.org/obo/BSPO_0001101	in_deep_part_of			9	hippocampus stratum lacunosum moleculare **EquivalentTo** layer of hippocampus **and** in deep part of **some** Ammon's horn|deep white layer of superior colliculus **SubClassOf** in deep part of **some** superior colliculus|deep gray layer of superior colliculus **SubClassOf** in deep part of **some** superior colliculus|deep inguinal ring **EquivalentTo** inguinal ring **and** in deep part of **some** inguinal ligament|deep part of masseter muscle **SubClassOf** in deep part of **some** masseter muscle
http://purl.obolibrary.org/obo/BSPO_0001106	proximalmost_part_of			6	duodenum **SubClassOf** proximalmost part of **some** small intestine|coprodeum **SubClassOf** proximalmost part of **some** cloaca|mouth **EquivalentTo** subdivision of digestive tract **and** proximalmost part of **some** digestive tract|endocervix **EquivalentTo** organ part **and** proximalmost part of **some** uterine cervix
http://purl.obolibrary.org/obo/BSPO_0001107	immediately_deep_to			18	hippocampus stratum oriens **EquivalentTo** layer of hippocampus **and** immediately deep to **some** hippocampus pyramidal layer **and** immediately superficial to **some** hippocampus alveus|hippocampus stratum lucidum **EquivalentTo** layer of hippocampus **and** immediately deep to **some** hippocampus pyramidal layer **and** immediately superficial to **some** hippocampus stratum radiatum|muscularis mucosa **SubClassOf** immediately deep to **some** lamina propria|lamina of cerebellum **SubClassOf** immediately deep to **some** granular layer of cerebellar cortex|pyramidal layer of CA2 **SubClassOf** immediately deep to **some** hippocampus stratum radiatum
http://purl.obolibrary.org/obo/BSPO_0001108	distalmost_part_of			6	rectum **SubClassOf** distalmost part of **some** large intestine|anus **EquivalentTo** orifice **and** distalmost part of **some** digestive tract|ectocervix **EquivalentTo** organ part **and** distalmost part of **some** uterine cervix|proctodeum portion of cloaca **SubClassOf** distalmost part of **some** cloaca
http://purl.obolibrary.org/obo/BSPO_0001113	preaxialmost_part_of			11	alular digit **SubClassOf** preaxialmost part of **some** manus|digit 1 **SubClassOf** preaxialmost part of **some** autopod region|prepollex **SubClassOf** preaxialmost part of **some** carpal region|tibia **SubClassOf** preaxialmost part of **some** hindlimb zeugopod skeleton|prepollex skeleton **SubClassOf** preaxialmost part of **some** carpal skeleton
http://purl.obolibrary.org/obo/BSPO_0001114	postaxial_to			2	
http://purl.obolibrary.org/obo/BSPO_0001115	postaxialmost_part_of			8	manual minor digit (Aves) **SubClassOf** postaxialmost part of **some** manus|calcaneus **SubClassOf** postaxialmost part of **some** tarsal skeleton|fibula **SubClassOf** postaxialmost part of **some** hindlimb zeugopod skeleton|digit 5 **and** part of **some** Homo sapiens **SubClassOf** postaxialmost part of **some** autopod region|ulnare **SubClassOf** postaxialmost part of **some** carpal skeleton
http://purl.obolibrary.org/obo/BSPO_0005001	intersects_midsagittal_plane_of			18	neural plate of carapace **SubClassOf** intersects midsagittal plane of **some** carapace|suprapygal plate of carapace **SubClassOf** intersects midsagittal plane of **some** carapace|gland of nictitating membrane **SubClassOf** intersects midsagittal plane of **some** orbital region|narwhal tusk **EquivalentTo** upper jaw incisor **and** intersects midsagittal plane of **some** mouth **and** has quality **some** elongated **and** has quality **some** protruding|cerebellar vermis **SubClassOf** intersects midsagittal plane of **some** cerebellum
http://purl.obolibrary.org/obo/BSPO_0015014	immediately_superficial_to	x immediately_superficial_to y iff x superficial_to y and x is contiguous with y.	BSPO:curators	8	hippocampus stratum oriens **EquivalentTo** layer of hippocampus **and** immediately deep to **some** hippocampus pyramidal layer **and** immediately superficial to **some** hippocampus alveus|hippocampus stratum lucidum **EquivalentTo** layer of hippocampus **and** immediately deep to **some** hippocampus pyramidal layer **and** immediately superficial to **some** hippocampus stratum radiatum|Purkinje cell layer of cerebellar cortex **EquivalentTo** cerebellar layer **and** immediately deep to **some** [http://purl.obolibrary.org/obo/UBERON_UBERON%3A0002974](http://purl.obolibrary.org/obo/UBERON_UBERON%3A0002974) **and** immediately superficial to **some** granular layer of cerebellar cortex|hippocampus pyramidal layer **EquivalentTo** layer of hippocampus **and** immediately superficial to **some** hippocampus stratum oriens
http://purl.obolibrary.org/obo/BSPO_0015101	in_dorsal_side_of			4	roof plate **SubClassOf** in dorsal side of **some** neural tube|dorsal part of optic cup **EquivalentTo** multi-tissue structure **and** in dorsal side of **some** optic cup
http://purl.obolibrary.org/obo/BSPO_0015102	in_ventral_side_of			4	ventral part of optic cup **EquivalentTo** multi-tissue structure **and** in ventral side of **some** optic cup|floor plate **SubClassOf** in ventral side of **some** neural tube
http://purl.obolibrary.org/obo/BSPO_1000000	preaxial_to			2	
http://purl.obolibrary.org/obo/RO_0000052	inheres in			2	
http://purl.obolibrary.org/obo/RO_0000053	bearer of			3	
http://purl.obolibrary.org/obo/RO_0000056	participates in			3	
http://purl.obolibrary.org/obo/RO_0000057	has participant			3	
http://purl.obolibrary.org/obo/RO_0000086	has quality			44	upper left incisor tusk **EquivalentTo** upper jaw incisor **and** in left side of **some** mouth **and** has quality **some** elongated **and** has quality **some** protruding|tusk **EquivalentTo** calcareous tooth **and** has quality **some** elongated **and** has quality **some** protruding|hyaloid cavity **SubClassOf** has quality **some** closed|upper right incisor tusk **EquivalentTo** upper jaw incisor **and** in right side of **some** mouth **and** has quality **some** elongated **and** has quality **some** protruding|keratin-based acellular structure **SubClassOf** has quality **some** keratinous
http://purl.obolibrary.org/obo/RO_0000300	in neural circuit with	A relation that holds between two neurons connected directly via a synapse, or indirectly via a series of synaptically connected neurons.		4	
http://purl.obolibrary.org/obo/RO_0000301	upstream in neural circuit with	A relation that holds between a neuron that is synapsed_to another neuron or a neuron that is connected indirectly to another by a chain of neurons, each synapsed_to the next.		4	
http://purl.obolibrary.org/obo/RO_0000302	downstream in neural circuit with	A relation that holds between a neuron that is synapsed_to another neuron or a neuron that is connected indirectly to another by a chain of neurons, each synapsed_to the next.		4	
http://purl.obolibrary.org/obo/RO_0001015	location of			4	anatomical cavity **SubClassOf** location of **some** portion of organism substance
http://purl.obolibrary.org/obo/RO_0001018	contained in			2	
http://purl.obolibrary.org/obo/RO_0001019	contains			7	pituitary fossa **SubClassOf** contains **some** pituitary gland|ovarian fossa **SubClassOf** contains **some** female gonad|subarachnoid space **SubClassOf** contains **some** cerebrospinal fluid|gravid uterus **EquivalentTo** uterus **and** contains **some** embryo|subarachnoid space **SubClassOf** contains **some** blood vessel
http://purl.obolibrary.org/obo/RO_0001025	located_in			143	mesothelium of pericardial cavity **EquivalentTo** mesothelium **and** located in **some** pericardial cavity|thoracic cavity blood vessel **EquivalentTo** blood vessel **and** located in **some** thoracic cavity|synovial fluid **EquivalentTo** portion of organism substance **and** located in **some** synovial cavity of joint|endolymphatic space **SubClassOf** located in **some** membranous labyrinth|spleen **SubClassOf** located in **some** coelemic cavity lumen
http://purl.obolibrary.org/obo/RO_0002000	boundary of	The relationships between a boundary (a 2D immaterial entity) and the material entity that it delimits.		3	
http://purl.obolibrary.org/obo/RO_0002002	has boundary	The relationship between a material entity and the boundary (2D immaterial entity) that delimits it.		4	organ **SubClassOf** has boundary **some** anatomical surface
http://purl.obolibrary.org/obo/RO_0002005	innervated_by			169	hypobranchial group muscle **SubClassOf** innervated by **some** spinal nerve|triceps brachii **SubClassOf** innervated by **some** radial nerve|triceps brachii **SubClassOf** innervated by **some** axillary nerve|levator auris longus muscle **SubClassOf** innervated by **some** facial nerve|flexor digitorum superficialis **SubClassOf** innervated by **some** median nerve
http://purl.obolibrary.org/obo/RO_0002007	bounding layer of			39	perichordal tissue **SubClassOf** bounding layer of **some** notochord|capsule of adrenal gland **EquivalentTo** capsule **and** bounding layer of **some** adrenal gland|outer epithelium **EquivalentTo** epithelium **and** bounding layer of **some** multi-cellular organism **and** develops from **some** enveloping layer of ectoderm|fibrous capsule of liver **EquivalentTo** capsule **and** bounding layer of **some** liver|capsule **SubClassOf** bounding layer of **some** anatomical structure
http://purl.obolibrary.org/obo/RO_0002081	before_or_simultaneous_with			3	
http://purl.obolibrary.org/obo/RO_0002082	simultaneous_with	Relation between occurrents, shares start and end boundaries.	https://orcid.org/0000-0002-6601-2165,Allen:is_equal_to	19	embryo stage **SubClassOf** simultaneous with **some** embryo development|pupal stage **SubClassOf** simultaneous with **some** pupal development|post-embryonic stage **SubClassOf** simultaneous with **some** post-embryonic development|instar larval stage **SubClassOf** simultaneous with **some** instar larval development|neurula stage **SubClassOf** simultaneous with **some** neural tube formation
http://purl.obolibrary.org/obo/RO_0002086	ends_after			4	
http://purl.obolibrary.org/obo/RO_0002087	immediately_preceded_by	X immediately_preceded_by Y iff: end(X) simultaneous_with start(Y)		10	2 cell stage **SubClassOf** immediately preceded by **some** zygote stage|pupal stage **SubClassOf** immediately preceded by **some** larval stage|larval stage **SubClassOf** immediately preceded by **some** embryo stage|cleavage stage **SubClassOf** immediately preceded by **some** zygote stage|4-8 cell stage **SubClassOf** immediately preceded by **some** 2 cell stage
http://purl.obolibrary.org/obo/RO_0002090	immediately_precedes			3	
http://purl.obolibrary.org/obo/RO_0002103	synapsed by			4	skeletal muscle organ **EquivalentTo** muscle organ **and** synapsed by **some** motor neuron **and** develops from **some** myotome **and** surrounded by **some** epimysium **and** composed primarily of **some** skeletal muscle tissue
http://purl.obolibrary.org/obo/RO_0002120	synapsed to	 Relation between a neuron and an anatomical structure (including cells) that it chemically synapses to.
        		3	
http://purl.obolibrary.org/obo/RO_0002131	overlaps			6	
http://purl.obolibrary.org/obo/RO_0002134	innervates	Relation between a 'neuron projection bundle' and a region in which one or more of its component neuron projections either synapses to targets or receives synaptic input.
T innervates some R
Expands_to: T has_fasciculating_neuron_projection that synapse_in some R.		9	accessory XI nerve **and** part of **some** Amphibia **SubClassOf** innervates **some** [http://purl.obolibrary.org/obo/UBERON_3010692](http://purl.obolibrary.org/obo/UBERON_3010692)|hypoglossal nerve **EquivalentTo** cranial nerve **and** innervates **some** tongue muscle|hypoglossal nerve **SubClassOf** innervates **some** hyoglossus muscle|hypoglossal nerve **SubClassOf** innervates **some** genioglossus muscle|hypoglossal nerve **and** part of **some** Amphibia **SubClassOf** innervates **some** [http://purl.obolibrary.org/obo/UBERON_3010654](http://purl.obolibrary.org/obo/UBERON_3010654)
http://purl.obolibrary.org/obo/RO_0002150	continuous with	X continuous_with Y if and only if X and Y share a fiat boundary.		136	left main bronchus **EquivalentTo** main bronchus **and** continuous with **some** left lung lobe|mouth mucosa **SubClassOf** continuous with **some** pharyngeal mucosa|common hepatic duct **SubClassOf** continuous with **some** left hepatic duct|common hepatic duct **SubClassOf** continuous with **some** right hepatic duct|nerve fiber **SubClassOf** continuous with **some** neuron
http://purl.obolibrary.org/obo/RO_0002158	shares ancestor with	two individual entities d1 and d2 stand in a shares_ancestor_with relation if and only if there exists some a such that d1 derived_by_descent_from a and d2 derived_by_descent_from a.		40	tympanic plate **SubClassOf** shares ancestor with **some** angular bone|spiral colon **SubClassOf** shares ancestor with **some** ascending colon|chromaffin system **SubClassOf** shares ancestor with **some** adrenal medulla|flexor hallucis longus **SubClassOf** shares ancestor with **some** gastrocnemius internus|swim bladder **SubClassOf** shares ancestor with **some** lung
http://purl.obolibrary.org/obo/RO_0002159	serially homologous to			7	manubrium of sternum **SubClassOf** serially homologous to **some** sternebra|ectopterygoid bone **SubClassOf** serially homologous to **some** palatine bone|xiphoid process **SubClassOf** serially homologous to **some** sternebra
http://purl.obolibrary.org/obo/RO_0002160	only in taxon			613	carpometacarpus **SubClassOf** only in taxon **some** Archosauria|tracheal diverticulum **SubClassOf** only in taxon **some** Vertebrata <Metazoa>|common tendinous ring **SubClassOf** only in taxon **some** Vertebrata <Metazoa>|spine appendage **SubClassOf** only in taxon **some** Bilateria|corpus cavernosum **SubClassOf** only in taxon **some** Vertebrata <Metazoa>
http://purl.obolibrary.org/obo/RO_0002162	in taxon	x is in taxon y if an only if y is an organism, and the relationship between x and y is one of: part of (reflexive), developmentally preceded by, derives from, secreted by, expressed.		504	Sphenodon **SubClassOf** in taxon **some** Sphenodon|Nothing **EquivalentTo** heart **and** in taxon **some** Caenorhabditis elegans|Euteleostei **SubClassOf** in taxon **some** Euteleostei|Nothing **EquivalentTo** rib skeletal system **and** in taxon **some** Elasmobranchii|Sphenodontidae **SubClassOf** in taxon **some** Sphenodontidae
http://purl.obolibrary.org/obo/RO_0002163	spatially disjoint from	A is spatially_disjoint_from B if and only if they have no parts in common		3	
http://purl.obolibrary.org/obo/RO_0002170	connected to	Binary relationship: x connected_to y if and only if there exists some z such that z connects x and y in a ternary connected_to(x,y,z) relationship.	http://purl.obolibrary.org/obo/uberon/docs/Connectivity-Design-Pattern	113	right testicular vein **SubClassOf** connected to **some** left renal vein|testicular vein **EquivalentTo** vein **and** connected to **some** testis|ulnare **and** part of **some** Homo sapiens **SubClassOf** connected to **some** pisiform|ulnare **and** part of **some** Homo sapiens **SubClassOf** connected to **some** lunate|proximal head of humerus **SubClassOf** connected to **some** glenoid fossa
http://purl.obolibrary.org/obo/RO_0002176	connects			283	anatomical line between inner canthi **EquivalentTo** anatomical line **and** part of **some** face **and** connects **some** inner canthus of right eye **and** connects **some** inner canthus of left eye|frontal suture **EquivalentTo** cranial suture **and** ObjectMinCardinality( connects tetrapod frontal bone )  **and** ObjectMaxCardinality( connects tetrapod frontal bone ) |tympanohyoid cartilage **SubClassOf** connects **some** hyoid bone|sagittal suture **EquivalentTo** cranial suture **and** ObjectMinCardinality( connects tetrapod parietal bone )  **and** ObjectMaxCardinality( connects tetrapod parietal bone ) |joint of rib **EquivalentTo** skeletal joint **and** connects **some** rib
http://purl.obolibrary.org/obo/RO_0002177	attached to part of	a is attached to part of b if a is attached to b, or a is attached to some p, where p is part of b.		8	extrinsic muscle of tongue **EquivalentTo** muscle organ **and** innervated by **some** hypoglossal nerve **and** attached to part of **some** tongue **and** attached to **some** skeletal element|axial muscle **EquivalentTo** muscle organ **and** part of **some** main body axis **and** attached to part of **some** axial skeleton plus cranial skeleton|intrinsic muscle of tongue **EquivalentTo** muscle organ **and** part of **some** tongue **and** innervated by **some** hypoglossal nerve **and** attached to part of **some** tongue|tongue muscle **EquivalentTo** muscle organ **and** attached to part of **some** tongue
http://purl.obolibrary.org/obo/RO_0002178	supplies			81	penicillar arteriole **SubClassOf** supplies **some** red pulp of spleen|inferior branch of oculomotor nerve **EquivalentTo** nerve **and** supplies **some** inferior rectus extraocular muscle **and** branching part of **some** oculomotor nerve|superior branch of oculomotor nerve **EquivalentTo** nerve **and** supplies **some** superior rectus extraocular muscle **and** branching part of **some** oculomotor nerve|inferior branch of oculomotor nerve **SubClassOf** supplies **some** medial rectus extraocular muscle|superior branch of oculomotor nerve **SubClassOf** supplies **some** levator palpebrae superioris
http://purl.obolibrary.org/obo/RO_0002179	drains	Relation between an collecting structure and another structure, where the collecting structure acts as a conduit channeling fluid, substance or energy away from the other structure.		30	cardiac vein **SubClassOf** drains **some** myocardium|right renal vein **EquivalentTo** renal vein **and** drains **some** right kidney|left renal vein **EquivalentTo** renal vein **and** drains **some** left kidney|vesical vein **EquivalentTo** vein **and** drains **some** urinary bladder|cerebellar vein **EquivalentTo** vein **and** drains **some** cerebellum
http://purl.obolibrary.org/obo/RO_0002180	has component			3	compound cell cluster organ **SubClassOf** has component **some** cell cluster organ
http://purl.obolibrary.org/obo/RO_0002202	develops from	x develops from y if and only if either (a) x directly develops from y or (b) there exists some z such that x directly develops from z and z develops from y		1617	future central nervous system **and** part of **some** Vertebrata <Metazoa> **SubClassOf** develops from **some** neurectoderm|cerebrospinal fluid secreting cell **SubClassOf** develops from **some** migratory neural crest cell|Kit-positive macrophage dendritic cell progenitor **SubClassOf** develops from **some** Kit-positive granulocyte monocyte progenitor|distal carpal bone 3 **SubClassOf** develops from **some** distal carpal bone 3 cartilage|distal tarsal bone 2 cartilage **SubClassOf** develops from **some** distal tarsal bone 2 pre-cartilage condensation
http://purl.obolibrary.org/obo/RO_0002203	develops into			8	
http://purl.obolibrary.org/obo/RO_0002207	directly develops from	Candidate definition: x directly_develops from y if and only if there exists some developmental process (GO:0032502) p such that x and y both participates in p, and x is the output of p and y is the input of p, and a substantial portion of the matter of y comes from x, and the start of x is coincident with or after the end of y		5	maxillary artery **EquivalentTo** artery **and** directly develops from **some** pharyngeal arch artery 1
http://purl.obolibrary.org/obo/RO_0002210	directly develops into			3	
http://purl.obolibrary.org/obo/RO_0002211	regulates			339	regulation of coagulation **EquivalentTo** biological regulation **and** regulates **some** coagulation|regulation of biomineral tissue development **SubClassOf** regulates **some** biomineral tissue development|regulation of hemostasis **SubClassOf** regulates **some** hemostasis|regulation of epidermis development **SubClassOf** regulates **some** epidermis development|regulation of leukocyte activation **SubClassOf** regulates **some** leukocyte activation
http://purl.obolibrary.org/obo/RO_0002212	negatively regulates			288	negative regulation of behavior **SubClassOf** negatively regulates **some** behavior|negative regulation of hemostasis **SubClassOf** negatively regulates **some** hemostasis|negative regulation of muscle contraction **EquivalentTo** biological regulation **and** negatively regulates **some** muscle contraction|negative regulation of metabolic process **EquivalentTo** biological regulation **and** negatively regulates **some** metabolic process|negative regulation of gastrulation **SubClassOf** negatively regulates **some** gastrulation
http://purl.obolibrary.org/obo/RO_0002215	capable of	A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. 		97	musculature of body **SubClassOf** capable of **some** muscle system process|efferent arteriole **SubClassOf** capable of **some** regulation of glomerular filtration|reproductive organ **EquivalentTo** organ **and** capable of **some** reproduction|median preoptic nucleus **SubClassOf** capable of **some** regulation of response to water deprivation|cetacean involucrum **SubClassOf** capable of **some** detection of mechanical stimulus involved in sensory perception of sound
http://purl.obolibrary.org/obo/RO_0002216	capable of part of	c stands in this relationship to p if and only if there exists some p' such that c is capable_of p', and p' is part_of p.		116	entorhinal area **SubClassOf** capable of part of **some** memory|toilet claw **SubClassOf** capable of part of **some** personal grooming|jaw muscle **SubClassOf** capable of part of **some** mastication|flight feather **SubClassOf** capable of part of **some** flight|magnocellular nucleus of stria terminalis **SubClassOf** capable of part of **some** defecation
http://purl.obolibrary.org/obo/RO_0002219	surrounded_by			36	thyroid follicular lumen **SubClassOf** surrounded by **some** thyroid follicle epithelium|tunica media **SubClassOf** surrounded by **some** tunica adventitia of blood vessel|myometrium **SubClassOf** surrounded by **some** serosa of uterus|lumen of Rathke's pouch **SubClassOf** surrounded by **some** Rathkes pouch epithelium|integumental system **SubClassOf** surrounded by **some** space surrounding organism
