ClassID	ClassLabel	In ID	In Class	BFO_0000050 part_of ID	BFO_0000050 part_of Label	BFO_0000051 has part ID	BFO_0000051 has part Label
CL:0000025	egg cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000057	fibroblast	-	-	UBERON:0002384	connective tissue		
CL:0000057	fibroblast	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002384	Danio rerio|connective tissue		
CL:0000057	fibroblast	-	-	UBERON:0002384	connective tissue		
CL:0000057	fibroblast	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002384	Homo sapiens|connective tissue		
CL:0000059	ameloblast	-	-	UBERON:0005176	tooth enamel organ		
CL:0000059	ameloblast	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0005176	Danio rerio|tooth enamel organ		
CL:0000059	ameloblast	-	-	UBERON:0005176	tooth enamel organ		
CL:0000059	ameloblast	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0005176	Homo sapiens|tooth enamel organ		
CL:0000060	odontoblast	-	-	UBERON:0005176	tooth enamel organ		
CL:0000060	odontoblast	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0005176	Danio rerio|tooth enamel organ		
CL:0000060	odontoblast	-	-	UBERON:0005176	tooth enamel organ		
CL:0000060	odontoblast	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0005176	Homo sapiens|tooth enamel organ		
CL:0000062	osteoblast	-	-	UBERON:0002384	connective tissue		
CL:0000062	osteoblast	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002384	Danio rerio|connective tissue		
CL:0000062	osteoblast	-	-	UBERON:0002384	connective tissue		
CL:0000062	osteoblast	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002384	Homo sapiens|connective tissue		
CL:0000065	ependymal cell	-	-				
CL:0000065	ependymal cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000065	ependymal cell	-	-				
CL:0000065	ependymal cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000066	epithelial cell	-	-				
CL:0000066	epithelial cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000066	epithelial cell	-	-				
CL:0000066	epithelial cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000067	ciliated epithelial cell	-	-				
CL:0000067	ciliated epithelial cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000067	ciliated epithelial cell	-	-				
CL:0000067	ciliated epithelial cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000071	blood vessel endothelial cell	-	-	UBERON:0004638	blood vessel endothelium		
CL:0000071	blood vessel endothelial cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0004638	Danio rerio|blood vessel endothelium		
CL:0000071	blood vessel endothelial cell	-	-	UBERON:0004638	blood vessel endothelium		
CL:0000071	blood vessel endothelial cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0004638	Homo sapiens|blood vessel endothelium		
CL:0000075	columnar/cuboidal epithelial cell	-	-				
CL:0000075	columnar/cuboidal epithelial cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000075	columnar/cuboidal epithelial cell	-	-				
CL:0000075	columnar/cuboidal epithelial cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000076	squamous epithelial cell	-	-				
CL:0000076	squamous epithelial cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000076	squamous epithelial cell	-	-				
CL:0000076	squamous epithelial cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000077	mesothelial cell	-	-				
CL:0000077	mesothelial cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000077	mesothelial cell	-	-				
CL:0000077	mesothelial cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000084	T cell	-	-	UBERON:0002405	immune system		
CL:0000084	T cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002405	Danio rerio|immune system		
CL:0000084	T cell	-	-	UBERON:0002405	immune system		
CL:0000084	T cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002405	Homo sapiens|immune system		
CL:0000098	sensory epithelial cell	-	-				
CL:0000098	sensory epithelial cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000098	sensory epithelial cell	-	-				
CL:0000098	sensory epithelial cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000100	motor neuron	-	-	UBERON:0001016	nervous system		
CL:0000100	motor neuron	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001016	Danio rerio|nervous system		
CL:0000100	motor neuron	-	-	UBERON:0001016	nervous system		
CL:0000100	motor neuron	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001016	Homo sapiens|nervous system		
CL:0000101	sensory neuron	-	-	UBERON:0001016	nervous system		
CL:0000101	sensory neuron	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001016	Danio rerio|nervous system		
CL:0000101	sensory neuron	-	-	UBERON:0001016	nervous system		
CL:0000101	sensory neuron	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001016	Homo sapiens|nervous system		
CL:0000108	cholinergic neuron	-	-	UBERON:0001016	nervous system		
CL:0000108	cholinergic neuron	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001016	Danio rerio|nervous system		
CL:0000108	cholinergic neuron	-	-	UBERON:0001016	nervous system		
CL:0000108	cholinergic neuron	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001016	Homo sapiens|nervous system		
CL:0000115	endothelial cell	-	-				
CL:0000115	endothelial cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000115	endothelial cell	-	-				
CL:0000115	endothelial cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000118	basket cell	-	-	UBERON:0001016	nervous system		
CL:0000118	basket cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001016	Danio rerio|nervous system		
CL:0000118	basket cell	-	-	UBERON:0001016	nervous system		
CL:0000118	basket cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001016	Homo sapiens|nervous system		
CL:0000119	Golgi cell	-	-	UBERON:0001016	nervous system		
CL:0000119	Golgi cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001016	Danio rerio|nervous system		
CL:0000119	Golgi cell	-	-	UBERON:0001016	nervous system		
CL:0000119	Golgi cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001016	Homo sapiens|nervous system		
CL:0000121	Purkinje cell	-	-	UBERON:0001016	nervous system		
CL:0000121	Purkinje cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001016	Danio rerio|nervous system		
CL:0000121	Purkinje cell	-	-	UBERON:0001016	nervous system		
CL:0000121	Purkinje cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001016	Homo sapiens|nervous system		
CL:0000122	stellate cell	-	-	UBERON:0001016	nervous system		
CL:0000122	stellate cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001016	Danio rerio|nervous system		
CL:0000122	stellate cell	-	-	UBERON:0001016	nervous system		
CL:0000122	stellate cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001016	Homo sapiens|nervous system		
CL:0000124	glial cell (sensu Nematoda and Protostomia)	-	-	UBERON:0001016	nervous system		
CL:0000124	glial cell (sensu Nematoda and Protostomia)	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001016	Danio rerio|nervous system		
CL:0000124	glial cell (sensu Nematoda and Protostomia)	-	-	UBERON:0001016	nervous system		
CL:0000124	glial cell (sensu Nematoda and Protostomia)	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001016	Homo sapiens|nervous system		
CL:0000125	glial cell	-	-	UBERON:0001016	nervous system		
CL:0000125	glial cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001016	Danio rerio|nervous system		
CL:0000125	glial cell	-	-	UBERON:0001016	nervous system		
CL:0000125	glial cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001016	Homo sapiens|nervous system		
CL:0000133	neurectodermal cell	-	-	UBERON:0000924	ectoderm		
CL:0000133	neurectodermal cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0000924	Danio rerio|ectoderm		
CL:0000133	neurectodermal cell	-	-	UBERON:0000924	ectoderm		
CL:0000133	neurectodermal cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0000924	Homo sapiens|ectoderm		
CL:0000136	fat cell	-	-	UBERON:0002384	connective tissue		
CL:0000136	fat cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002384	Danio rerio|connective tissue		
CL:0000136	fat cell	-	-	UBERON:0002384	connective tissue		
CL:0000136	fat cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002384	Homo sapiens|connective tissue		
CL:0000138	chondrocyte	-	-	UBERON:0002384	connective tissue		
CL:0000138	chondrocyte	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002384	Danio rerio|connective tissue		
CL:0000138	chondrocyte	-	-	UBERON:0002384	connective tissue		
CL:0000138	chondrocyte	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002384	Homo sapiens|connective tissue		
CL:0000148	melanocyte	-	-				
CL:0000148	melanocyte	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000148	melanocyte	-	-				
CL:0000148	melanocyte	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000149	visual pigment cell	-	-				
CL:0000149	visual pigment cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000149	visual pigment cell	-	-				
CL:0000149	visual pigment cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000150	glandular epithelial cell	-	-				
CL:0000150	glandular epithelial cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000150	glandular epithelial cell	-	-				
CL:0000150	glandular epithelial cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000155	peptic cell	-	-	UBERON:0000945	stomach		
CL:0000155	peptic cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0000945	Danio rerio|stomach		
CL:0000155	peptic cell	-	-	UBERON:0000945	stomach		
CL:0000155	peptic cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0000945	Homo sapiens|stomach		
CL:0000158	Clara cell	-	-	UBERON:0002031	epithelium of bronchus		
CL:0000158	Clara cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002031	Danio rerio|epithelium of bronchus		
CL:0000158	Clara cell	-	-	UBERON:0002031	epithelium of bronchus		
CL:0000158	Clara cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002031	Homo sapiens|epithelium of bronchus		
CL:0000162	parietal cell	-	-	UBERON:0000945	stomach		
CL:0000162	parietal cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0000945	Danio rerio|stomach		
CL:0000162	parietal cell	-	-	UBERON:0000945	stomach		
CL:0000162	parietal cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0000945	Homo sapiens|stomach		
CL:0000164	enteroendocrine cell	-	-	UBERON:0002368	endocrine gland		
CL:0000164	enteroendocrine cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002368	Danio rerio|endocrine gland		
CL:0000164	enteroendocrine cell	-	-	UBERON:0002368	endocrine gland		
CL:0000164	enteroendocrine cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002368	Homo sapiens|endocrine gland		
CL:0000165	neuroendocrine cell	-	-	UBERON:0002368	endocrine gland		
CL:0000165	neuroendocrine cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002368	Danio rerio|endocrine gland		
CL:0000165	neuroendocrine cell	-	-	UBERON:0002368	endocrine gland		
CL:0000165	neuroendocrine cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002368	Homo sapiens|endocrine gland		
CL:0000166	chromaffin cell	-	-	UBERON:0002368	endocrine gland		
CL:0000166	chromaffin cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002368	Danio rerio|endocrine gland		
CL:0000166	chromaffin cell	-	-	UBERON:0002368	endocrine gland		
CL:0000166	chromaffin cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002368	Homo sapiens|endocrine gland		
CL:0000168	insulin secreting cell	-	-	UBERON:0002368	endocrine gland		
CL:0000168	insulin secreting cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002368	Danio rerio|endocrine gland		
CL:0000168	insulin secreting cell	-	-	UBERON:0002368	endocrine gland		
CL:0000168	insulin secreting cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002368	Homo sapiens|endocrine gland		
CL:0000172	somatostatin secreting cell	-	-	UBERON:0002368	endocrine gland		
CL:0000172	somatostatin secreting cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002368	Danio rerio|endocrine gland		
CL:0000172	somatostatin secreting cell	-	-	UBERON:0002368	endocrine gland		
CL:0000172	somatostatin secreting cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002368	Homo sapiens|endocrine gland		
CL:0000178	Leydig cell	-	-	UBERON:0002368|UBERON:0005212	endocrine gland|Leydig cell region of testis		
CL:0000178	Leydig cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002368|UBERON:0005212	Danio rerio|endocrine gland|Leydig cell region of testis		
CL:0000178	Leydig cell	-	-	UBERON:0002368|UBERON:0005212	endocrine gland|Leydig cell region of testis		
CL:0000178	Leydig cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002368|UBERON:0005212	Homo sapiens|endocrine gland|Leydig cell region of testis		
CL:0000182	hepatocyte	-	-	UBERON:0002107	liver		
CL:0000182	hepatocyte	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002107	Danio rerio|liver		
CL:0000182	hepatocyte	-	-	UBERON:0002107	liver		
CL:0000182	hepatocyte	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002107	Homo sapiens|liver		
CL:0000185	myoepithelial cell	-	-				
CL:0000185	myoepithelial cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000185	myoepithelial cell	-	-				
CL:0000185	myoepithelial cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000187	muscle cell	-	-				
CL:0000187	muscle cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000187	muscle cell	-	-				
CL:0000187	muscle cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000188	skeletal muscle cell	-	-	UBERON:0001134	skeletal muscle tissue		
CL:0000188	skeletal muscle cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001134	Danio rerio|skeletal muscle tissue		
CL:0000188	skeletal muscle cell	-	-	UBERON:0001134	skeletal muscle tissue		
CL:0000188	skeletal muscle cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001134	Homo sapiens|skeletal muscle tissue		
CL:0000189	slow muscle cell	-	-	UBERON:0001134	skeletal muscle tissue		
CL:0000189	slow muscle cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001134	Danio rerio|skeletal muscle tissue		
CL:0000189	slow muscle cell	-	-	UBERON:0001134	skeletal muscle tissue		
CL:0000189	slow muscle cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001134	Homo sapiens|skeletal muscle tissue		
CL:0000190	fast muscle cell	-	-	UBERON:0001134	skeletal muscle tissue		
CL:0000190	fast muscle cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001134	Danio rerio|skeletal muscle tissue		
CL:0000190	fast muscle cell	-	-	UBERON:0001134	skeletal muscle tissue		
CL:0000190	fast muscle cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001134	Homo sapiens|skeletal muscle tissue		
CL:0000192	smooth muscle cell	-	-				
CL:0000192	smooth muscle cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000192	smooth muscle cell	-	-				
CL:0000192	smooth muscle cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000202	auditory hair cell	-	-	UBERON:0002227|UBERON:0001016	spiral organ of cochlea|nervous system		
CL:0000202	auditory hair cell	NCBITaxon:7955	Danio rerio	UBERON:0002227|NCBITaxon:7955|UBERON:0001016	spiral organ of cochlea|Danio rerio|nervous system		
CL:0000202	auditory hair cell	-	-	UBERON:0002227|UBERON:0001016	spiral organ of cochlea|nervous system		
CL:0000202	auditory hair cell	NCBITaxon:9606	Homo sapiens	UBERON:0002227|NCBITaxon:9606|UBERON:0001016	spiral organ of cochlea|Homo sapiens|nervous system		
CL:0000207	olfactory receptor cell	-	-	UBERON:0001016	nervous system		
CL:0000207	olfactory receptor cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001016	Danio rerio|nervous system		
CL:0000207	olfactory receptor cell	-	-	UBERON:0001016	nervous system		
CL:0000207	olfactory receptor cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001016	Homo sapiens|nervous system		
CL:0000209	taste receptor cell	-	-	UBERON:0002025|UBERON:0001016	stratum basale of epidermis|nervous system		
CL:0000209	taste receptor cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002025|UBERON:0001016	Danio rerio|stratum basale of epidermis|nervous system		
CL:0000209	taste receptor cell	-	-	UBERON:0002025|UBERON:0001016	stratum basale of epidermis|nervous system		
CL:0000209	taste receptor cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002025|UBERON:0001016	Homo sapiens|stratum basale of epidermis|nervous system		
CL:0000210	photoreceptor cell	-	-	UBERON:0001016	nervous system		
CL:0000210	photoreceptor cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0001016	Danio rerio|nervous system		
CL:0000210	photoreceptor cell	-	-	UBERON:0001016	nervous system		
CL:0000210	photoreceptor cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0001016	Homo sapiens|nervous system		
CL:0000214	synovial cell	-	-	UBERON:0002018	synovial membrane of synovial joint		
CL:0000214	synovial cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002018	Danio rerio|synovial membrane of synovial joint		
CL:0000214	synovial cell	-	-	UBERON:0002018	synovial membrane of synovial joint		
CL:0000214	synovial cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002018	Homo sapiens|synovial membrane of synovial joint		
CL:0000216	Sertoli cell	-	-	UBERON:0004813	seminiferous tubule epithelium		
CL:0000216	Sertoli cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0004813	Danio rerio|seminiferous tubule epithelium		
CL:0000216	Sertoli cell	-	-	UBERON:0004813	seminiferous tubule epithelium		
CL:0000216	Sertoli cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0004813	Homo sapiens|seminiferous tubule epithelium		
CL:0000221	ectodermal cell	-	-	UBERON:0000924	ectoderm		
CL:0000221	ectodermal cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0000924	Danio rerio|ectoderm		
CL:0000221	ectodermal cell	-	-	UBERON:0000924	ectoderm		
CL:0000221	ectodermal cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0000924	Homo sapiens|ectoderm		
CL:0000222	mesodermal cell	-	-	UBERON:0000926	mesoderm		
CL:0000222	mesodermal cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0000926	Danio rerio|mesoderm		
CL:0000222	mesodermal cell	-	-	UBERON:0000926	mesoderm		
CL:0000222	mesodermal cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0000926	Homo sapiens|mesoderm		
CL:0000223	endodermal cell	-	-	UBERON:0000925	endoderm		
CL:0000223	endodermal cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0000925	Danio rerio|endoderm		
CL:0000223	endodermal cell	-	-	UBERON:0000925	endoderm		
CL:0000223	endodermal cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0000925	Homo sapiens|endoderm		
CL:0000228	multinucleate cell	-	-				
CL:0000228	multinucleate cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000228	multinucleate cell	-	-				
CL:0000228	multinucleate cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000232	erythrocyte	-	-				
CL:0000232	erythrocyte	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000232	erythrocyte	-	-				
CL:0000232	erythrocyte	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000242	Merkel cell	-	-	UBERON:0002025|UBERON:0001016	stratum basale of epidermis|nervous system		
CL:0000242	Merkel cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002025|UBERON:0001016	Danio rerio|stratum basale of epidermis|nervous system		
CL:0000242	Merkel cell	-	-	UBERON:0002025|UBERON:0001016	stratum basale of epidermis|nervous system		
CL:0000242	Merkel cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0002025|UBERON:0001016	Homo sapiens|stratum basale of epidermis|nervous system		
CL:0000287	eye photoreceptor cell	-	-	UBERON:0000970|UBERON:0001016	eye|nervous system		
CL:0000287	eye photoreceptor cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0000970|UBERON:0001016	Danio rerio|eye|nervous system		
CL:0000287	eye photoreceptor cell	-	-	UBERON:0000970|UBERON:0001016	eye|nervous system		
CL:0000287	eye photoreceptor cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606|UBERON:0000970|UBERON:0001016	Homo sapiens|eye|nervous system		
CL:0000295	somatotropin secreting cell	-	-	UBERON:0002368	endocrine gland		
CL:0000295	somatotropin secreting cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955|UBERON:0002368	Danio rerio|endocrine gland		
CL:0000295	somatotropin secreting cell	-	-	UBERON:0002368	endocrine gland		
