label	as_iri	issue_type	parent_id	parent_label	detail
periductal capillary of intercalated duct of pancreas	https://purl.org/ccf/ASCTB-TEMP_periductal-capillary-of-intercalated-duct-of-pancreas	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_intralobular-arteriole-of-pancreas	intralobular arteriole of pancreas	Parent not yet in UBERON; subagent should search OLS4 for correct parent
periductal capillary of interlobular duct of pancreas	https://purl.org/ccf/ASCTB-TEMP_periductal-capillary-of-interlobular-duct-of-pancreas	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_periductal-arteriole-of-interlobular-duct-of-pancreas	periductal arteriole of interlobular duct of pancreas	Parent not yet in UBERON; subagent should search OLS4 for correct parent
periductal capillary of intralobular duct of panceas	https://purl.org/ccf/ASCTB-TEMP_periductal-capillary-of-intralobular-duct-of-panceas	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_intralobular-arteriole-of-pancreas	intralobular arteriole of pancreas	Parent not yet in UBERON; subagent should search OLS4 for correct parent
periductal capillary of main pancreatic duct	https://purl.org/ccf/ASCTB-TEMP_periductal-capillary-of-main-pancreatic-duct	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_periductal-arteriole-of-main-pancreatic-duct	periductal arteriole of main pancreatic duct	Parent not yet in UBERON; subagent should search OLS4 for correct parent
post-sheath open capillary of spleen	https://purl.org/ccf/ASCTB-TEMP_post-sheath-open-capillary-of-spleen	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_sheathed-capillary-of-spleen	sheathed capillary of spleen, Sheathed capillary of spleen	Parent not yet in UBERON; subagent should search OLS4 for correct parent
secondary capillary plexus of anterior pituitary gland	https://purl.org/ccf/ASCTB-TEMP_secondary-capillary-plexus-of-anterior-pituitary-gland	fma_parent	FMA:0327575	Hypophysial long portal vein	Subagent should resolve FMA→UBERON via OLS4
sheathed capillary of spleen	https://purl.org/ccf/ASCTB-TEMP_sheathed-capillary-of-spleen	asctb_temp_parent	UBERON:0001250, UBERON:0005353, https://purl.org/ccf/ASCTB-TEMP_non-penicillar-arteriole-of-spleen	red pulp of spleen, spleen perifollicular zone, non-penicillar arteriole of spleen	Parent not yet in UBERON; subagent should search OLS4 for correct parent
sublingual gland capillary	https://purl.org/ccf/ASCTB-TEMP_sublingual-gland-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_sublingual-gland-arteriole	sublingual gland arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
submandibular gland capillary	https://purl.org/ccf/ASCTB-TEMP_submandibular-gland-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_submandibular-gland-arteriole	submandibular gland arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
superficial white pulp capillary of spleen	https://purl.org/ccf/ASCTB-TEMP_superficial-white-pulp-capillary-of-spleen	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_sheathed-capillary-of-spleen	sheathed capillary of spleen, Sheathed capillary of spleen	Parent not yet in UBERON; subagent should search OLS4 for correct parent
superior labial gland capillary	https://purl.org/ccf/ASCTB-TEMP_superior-labial-gland-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_superior-labial-gland-arteriole	superior labial gland arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
superior parotid gland capillary	https://purl.org/ccf/ASCTB-TEMP_superior-parotid-gland-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_superior-parotid-gland-arteriole	superior parotid gland arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
tongue capillary	https://purl.org/ccf/ASCTB-TEMP_tongue-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_tongue-arteriole	tongue arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
Weber's gland capillary	https://purl.org/ccf/ASCTB-TEMP_weber-s-gland-capillary	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_weber-s-gland-arteriole	Weber's gland arteriole	Parent not yet in UBERON; subagent should search OLS4 for correct parent
