ClassID	ClassLabel	RO_0002488 existence starts during ID	RO_0002488 existence starts during Label	RO_0002492 existence ends during ID	RO_0002492 existence ends during Label	RO_0002496 existence starts during or after ID	RO_0002496 existence starts during or after Label	RO_0002497 existence ends during or before ID	RO_0002497 existence ends during or before Label
CL:0000115	endothelial cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)		
CL:0000116	pioneer neuron					UBERON:0000111|ZFS:0000028	organogenesis stage|Segmentation:26+ somites (Danio)	ZFS:0000038|UBERON:0000113|ZFS:0000029	Larval:Day 6 (Danio)|post-juvenile adult stage|Pharyngula:Prim-5 (Danio)
CL:0000117	CNS neuron (sensu Vertebrata)					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000118	basket cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000119	Golgi cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000120	granule cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000121	Purkinje cell					UBERON:0000111|ZFS:0000030	organogenesis stage|Pharyngula:Prim-15 (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000122	stellate cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000123	neuron associated cell (sensu Vertebrata)					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)		
CL:0000124	glial cell (sensu Nematoda and Protostomia)					UBERON:0000111|ZFS:0000028	organogenesis stage|Segmentation:26+ somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000125	glial cell					UBERON:0000111|ZFS:0000028	organogenesis stage|Segmentation:26+ somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000126	macroglial cell					UBERON:0000111|ZFS:0000028	organogenesis stage|Segmentation:26+ somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000127	astrocyte					UBERON:0000111|ZFS:0000028	organogenesis stage|Segmentation:26+ somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000128	oligodendrocyte					UBERON:0000111|ZFS:0000028	organogenesis stage|Segmentation:26+ somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000129	microglial cell					UBERON:0000111|ZFS:0000028	organogenesis stage|Segmentation:26+ somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000130	neuron associated cell (sensu Nematoda and Protostomia)					ZFS:0000020|UBERON:0000111	Gastrula:75%-epiboly (Danio)|organogenesis stage		
CL:0000131	gut endothelial cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)		
CL:0000132	corneal endothelial cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)		
CL:0000133	neurectodermal cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	ZFS:0000038|UBERON:0000113	Larval:Day 6 (Danio)|post-juvenile adult stage
CL:0000134	mesenchymal cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000135	fibrocyte					ZFS:0000020	Gastrula:75%-epiboly (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000136	fat cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000137	osteocyte					UBERON:0000111|ZFS:0000029	organogenesis stage|Pharyngula:Prim-5 (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000138	chondrocyte					ZFS:0000029	Pharyngula:Prim-5 (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000140	odontocyte					ZFS:0000036|UBERON:0000111	Larval:Day 4 (Danio)|organogenesis stage	UBERON:0000113	post-juvenile adult stage
CL:0000141	cementocyte					ZFS:0000036|UBERON:0000111	Larval:Day 4 (Danio)|organogenesis stage	ZFS:0000038|UBERON:0000113	Larval:Day 6 (Danio)|post-juvenile adult stage
CL:0000142	hyalocyte					ZFS:0000020	Gastrula:75%-epiboly (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000143	guidepost cell					ZFS:0000020|UBERON:0000111	Gastrula:75%-epiboly (Danio)|organogenesis stage		
CL:0000145	professional antigen presenting cell								
CL:0000146	simple columnar epithelial cell								
CL:0000147	pigment cell								
CL:0000148	melanocyte					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)		
CL:0000149	visual pigment cell								
CL:0000150	glandular epithelial cell								
CL:0000151	secretory cell								
CL:0000152	exocrine cell								
CL:0000153	GAG secreting cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000154	protein secreting cell								
CL:0000157	surfactant secreting cell								
CL:0000158	Clara cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000159	seromucus secreting cell								
CL:0000160	goblet cell								
CL:0000161	acid secreting cell								
CL:0000163	endocrine cell					ZFS:0000025	Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000164	enteroendocrine cell					ZFS:0000025	Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000165	neuroendocrine cell					ZFS:0000025	Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000166	chromaffin cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000167	peptide hormone secreting cell					ZFS:0000025	Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000168	insulin secreting cell					ZFS:0000025	Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000170	glucagon secreting cell					ZFS:0000025	Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000172	somatostatin secreting cell					ZFS:0000025	Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000174	steroid hormone secreting cell					ZFS:0000025	Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000176	ecdysteroid secreting cell					ZFS:0000025	Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000177	testosterone secreting cell					ZFS:0000025	Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000178	Leydig cell					UBERON:0000111|ZFS:0000041	organogenesis stage|Larval:Days 21-29 (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000179	progesterone secreting cell					ZFS:0000025	Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000180	estradiol secreting cell					ZFS:0000025	Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000181	metabolising cell								
CL:0000182	hepatocyte					UBERON:0000111|ZFS:0000029	organogenesis stage|Pharyngula:Prim-5 (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000183	contractile cell								
CL:0000185	myoepithelial cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)		
CL:0000186	myofibroblast cell								
CL:0000187	muscle cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)		
CL:0000188	skeletal muscle cell					UBERON:0000111|ZFS:0000029	organogenesis stage|Pharyngula:Prim-5 (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000189	slow muscle cell					UBERON:0000111|ZFS:0000029	organogenesis stage|Pharyngula:Prim-5 (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000190	fast muscle cell					UBERON:0000111|ZFS:0000029	organogenesis stage|Pharyngula:Prim-5 (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000192	smooth muscle cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)		
CL:0000193	cardiac muscle cell (sensu Arthopoda)					ZFS:0000032|UBERON:0000111	Pharyngula:High-pec (Danio)|organogenesis stage	UBERON:0000113	post-juvenile adult stage
CL:0000196	flight muscle cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)		
CL:0000197	receptor cell								
CL:0000198	pain receptor cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000199	mechanoreceptor cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000200	touch receptor cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000203	gravity sensitive cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000204	acceleration receptive cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000205	thermoreceptor cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000206	chemoreceptor cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000207	olfactory receptor cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000208	pH receptor cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000209	taste receptor cell					UBERON:0000111|ZFS:0000030	organogenesis stage|Pharyngula:Prim-15 (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000210	photoreceptor cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000211	electrically active cell								
CL:0000212	absorptive cell								
CL:0000213	lining cell								
CL:0000214	synovial cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000215	barrier cell								
CL:0000217	insulating cell								
CL:0000218	myelinating Schwann cell					ZFS:0000033|UBERON:0000111	Hatching:Long-pec (Danio)|organogenesis stage	UBERON:0000113	post-juvenile adult stage
CL:0000219	motile cell								
CL:0000221	ectodermal cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	ZFS:0000038	Larval:Day 6 (Danio)
CL:0000222	mesodermal cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	ZFS:0000038	Larval:Day 6 (Danio)
CL:0000223	endodermal cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	ZFS:0000038|ZFS:0000035	Larval:Day 6 (Danio)|Larval:Protruding-mouth (Danio)
CL:0000225	anucleate cell								
CL:0000226	single nucleate cell								
CL:0000227	binucleate cell								
CL:0000228	multinucleate cell								
CL:0000232	erythrocyte					ZFS:0000020	Gastrula:75%-epiboly (Danio)		
CL:0000233	platelet					UBERON:0000111|ZFS:0000028	organogenesis stage|Segmentation:26+ somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000234	phagocyte								
CL:0000235	macrophage					UBERON:0000111|ZFS:0000028	organogenesis stage|Segmentation:26+ somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000236	B cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000237	keratinizing barrier epithelial cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)		
CL:0000238	non keratinizing barrier epithelial cell								
CL:0000239	brush border epithelial cell								
CL:0000240	stratified squamous epithelial cell								
CL:0000241	stratified cuboidal epithelial cell								
CL:0000242	Merkel cell					UBERON:0000111|ZFS:0000030	organogenesis stage|Pharyngula:Prim-15 (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000243	glial cell (sensu Vertebrata)					UBERON:0000111|ZFS:0000028	organogenesis stage|Segmentation:26+ somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000244	transitional epithelial cell								
CL:0000246	Mauthner neuron					UBERON:0000111|ZFS:0000030	organogenesis stage|Pharyngula:Prim-15 (Danio)	ZFS:0000038|UBERON:0000113	Larval:Day 6 (Danio)|post-juvenile adult stage
CL:0000247	Rohon-Beard neuron					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	ZFS:0000038|UBERON:0000113|ZFS:0000040	Larval:Day 6 (Danio)|post-juvenile adult stage|Larval:Days 14-20 (Danio)
CL:0000249	hatching gland cell								
CL:0000251	extramedullary cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000253	eurydendroid cell					UBERON:0000111|ZFS:0000030	organogenesis stage|Pharyngula:Prim-15 (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000255	eukaryotic cell								
CL:0000256	uric acid accumulating cell								
CL:0000257	Mycetozoan cell								
CL:0000259	aggregate cell								
CL:0000261	anterior cell								
CL:0000263	vegetative cell (sensu Mycetozoa)								
CL:0000265	anterior like cell								
CL:0000267	prespore cell								
CL:0000269	prestalk cell								
CL:0000271	prestalk A cell								
CL:0000273	prestalk AB cell								
CL:0000275	prestalk B cell								
CL:0000279	prestalk 0 cell								
CL:0000281	pstAB/ALC								
CL:0000283	pstO/ALC								
CL:0000285	stalk cell								
CL:0000286	hyphal cell								
CL:0000287	eye photoreceptor cell					UBERON:0000111|ZFS:0000028	organogenesis stage|Segmentation:26+ somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000289	chemotactic amoeboid cell (sensu Mycetozoa)								
CL:0000291	spore (sensu Mycetozoa)								
CL:0000293	structural cell								
CL:0000295	somatotropin secreting cell					ZFS:0000033|UBERON:0000111	Hatching:Long-pec (Danio)|organogenesis stage	UBERON:0000113	post-juvenile adult stage
CL:0000300	gamete								
CL:0000301	pole cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	ZFS:0000038|UBERON:0000113	Larval:Day 6 (Danio)|post-juvenile adult stage
CL:0000306	crystallin accumulating cell								
CL:0000307	tracheal epithelial cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000308	metal ion accumulating cell								
CL:0000309	copper accumulating cell								
CL:0000310	iron accumulating cell								
CL:0000311	keratin accumulating cell								
CL:0000312	keratinocyte					UBERON:0000111|ZFS:0000030	organogenesis stage|Pharyngula:Prim-15 (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000313	serous secreting cell								
CL:0000314	milk secreting cell								
CL:0000315	tears secreting cell								
CL:0000318	sweat secreting cell								
CL:0000319	mucus secreting cell								
CL:0000321	seminal fluid secreting cell								
CL:0000323	lysozyme secreting cell								
CL:0000324	metanephric mesenchyme stem cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000325	stuff accumulating cell								
CL:0000326	glycogen accumulating cell								
CL:0000327	extracellular matrix secreting cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	UBERON:0000113	post-juvenile adult stage
CL:0000328	myelin accumulating cell								
CL:0000329	oxygen accumulating cell								
CL:0000333	migratory neural crest cell					UBERON:0000111|ZFS:0000025	organogenesis stage|Segmentation:10-13 somites (Danio)		
CL:0000334	vegetative cell (sensu Fungi)								
CL:0000335	mesenchyme condensation cell					ZFS:0000020	Gastrula:75%-epiboly (Danio)	UBERON:0000113	post-juvenile adult stage
