ID	LABEL	Definition	def_xref	is_a	part_of	develops_from	has_muscle_origin	has_muscle_insertion	innervated_by	In_subset	Date	Contributor	Present_in_taxon	Wikipedia_image	xref
http://purl.obolibrary.org/obo/UBERON_9900014	frontal belly of occipitofrontalis muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_frontal-belly-of-occipitofrontalis-muscle	INFER:UBERON:0005893	INFER:UBERON:0005893					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900015	hamstring portion of adductor magnus muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_hamstring-portion-of-adductor-magnus-muscle	INFER:UBERON:0001092	INFER:UBERON:0001092					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900017	iliocostalis cervicalis muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_iliocostalis-cervicalis-muscle	INFER:UBERON:0001272	INFER:UBERON:0001272					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900018	inferior head of lateral pterygoid muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_inferior-head-of-lateral-pterygoid-muscle	UNRESOLVABLE:supraperiosteal arteriole	UNRESOLVABLE:supraperiosteal arteriole					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900019	inferior longitudinal lingual muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_inferior-longitudinal-lingual-muscle	INFER:UBERON:0001194	INFER:UBERON:0001194					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900021	internal abdominal oblique muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_internal-abdominal-oblique-muscle	INFER:UBERON:0003690	INFER:UBERON:0003690					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900022	interspinales cervicalis muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_interspinales-cervicalis-muscle	INFER:UBERON:0000979	INFER:UBERON:0000979					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900023	intertransversarii laterales lumborum muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle	UNRESOLVABLE:segmental back muscle	UNRESOLVABLE:segmental back muscle					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900025	lateral compartmet of leg muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_lateral-compartmet-of-leg-muscle	INFER:UBERON:0001537	INFER:UBERON:0001537					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900026	lateral posterior cervical intertransversarii muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_lateral-posterior-cervical-intertransversarii-muscle	INFER:UBERON:0001546	INFER:UBERON:0001546					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900028	left crus of lumbar part of respiratory diaphragm muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_left-crus-of-lumbar-part-of-respiratory-diaphragm-muscle	NEEDS_MAPPING:FMA:323951	NEEDS_MAPPING:FMA:323951					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900029	levator costarum muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_levator-costarum-muscle	INFER:UBERON:0001677	INFER:UBERON:0001677					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900030	levatores costarum breves of levator costarum muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_levatores-costarum-breves-of-levator-costarum-muscle	UNRESOLVABLE:thoracic wall muscle	UNRESOLVABLE:thoracic wall muscle					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900031	levatores costarum longi of levator costarum muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_levatores-costarum-longi-of-levator-costarum-muscle	UNRESOLVABLE:levator costarum muscle	UNRESOLVABLE:levator costarum muscle					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900033	longus capitus muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_longus-capitus-muscle	INFER:UBERON:0002377	INFER:UBERON:0002377					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900034	medial lumbar intertransversarii muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_medial-lumbar-intertransversarii-muscle	UNRESOLVABLE:segmental back muscle	UNRESOLVABLE:segmental back muscle					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900035	medial posterior cervical intertransversarii muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_medial-posterior-cervical-intertransversarii-muscle	UNRESOLVABLE:segmental back muscle	UNRESOLVABLE:segmental back muscle					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900037	multifidus cervicis muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_multifidus-cervicis-muscle	INFER:UBERON:0010990	INFER:UBERON:0010990					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900038	multifidus lumborum muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_multifidus-lumborum-muscle	INFER:UBERON:0010990	INFER:UBERON:0010990					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900039	multifidus thoracis muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_multifidus-thoracis-muscle	INFER:UBERON:0010990	INFER:UBERON:0010990					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900041	musculus uvulae muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_musculus-uvulae-muscle	INFER:UBERON:0003682	INFER:UBERON:0003682					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900042	occipital belly of occipitofrontalis muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_occipital-belly-of-occipitofrontalis-muscle	UNRESOLVABLE:neuromeningeal trunk	UNRESOLVABLE:neuromeningeal trunk					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900043	opponens digiti minimi muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_opponens-digiti-minimi-muscle	INFER:UBERON:0001624	INFER:UBERON:0001624					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900048	pteryopharyngeal part of superior pharyngeal constrictor muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_pteryopharyngeal-part-of-superior-pharyngeal-constrictor-muscle	INFER:UBERON:0001272	INFER:UBERON:0001272					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900049	puboanalis muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_puboanalis-muscle	INFER:UBERON:8600052	INFER:UBERON:8600052					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900050	puboperineales muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|https://purl.org/ccf/ASCTB-TEMP_puboperineales-muscle	INFER:UBERON:0015173	INFER:UBERON:0015173					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900051	rectus capitius posterior minor muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_rectus-capitius-posterior-minor-muscle	UNRESOLVABLE:submucosal artery of colon	UNRESOLVABLE:submucosal artery of colon					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900052	rectus capitus anterior muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_rectus-capitus-anterior-muscle	UNKNOWN	UNKNOWN					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900053	respiratory diaphragm muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_respiratory-diaphragm-muscle	NEEDS_MAPPING:FMA:12252	NEEDS_MAPPING:FMA:12252					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900054	right crus of lumbar part of respiratory diaphragm muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_right-crus-of-lumbar-part-of-respiratory-diaphragm-muscle	NEEDS_MAPPING:FMA:5841	NEEDS_MAPPING:FMA:5841					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900057	spermatic cord muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_spermatic-cord-muscle	INFER:UBERON:0002378	INFER:UBERON:0002378					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900058	sphincter urethrae muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_sphincter-urethrae-muscle	INFER:UBERON:0002379	INFER:UBERON:0002379					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900060	splenius capitus muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_splenius-capitus-muscle	UNRESOLVABLE:spinotransversales muscle	UNRESOLVABLE:spinotransversales muscle					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900061	sternal part of respiratory diaphragm muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_sternal-part-of-respiratory-diaphragm-muscle	UNRESOLVABLE:respiratory diaphragm muscle	UNRESOLVABLE:respiratory diaphragm muscle					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900062	sternocostal head of pectoralis major muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_sternocostal-head-of-pectoralis-major-muscle	INFER:UBERON:0002381	INFER:UBERON:0002381					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900064	superior head of lateral pterygoid muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_superior-head-of-lateral-pterygoid-muscle	INFER:UBERON:0006719	INFER:UBERON:0006719					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900065	superior longitudinal lingual muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_superior-longitudinal-lingual-muscle	INFER:UBERON:0001576	INFER:UBERON:0001576					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900066	tensor fascia latae muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_tensor-fascia-latae-muscle	INFER:UBERON:0002000	INFER:UBERON:0002000					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900067	thoracic intertransversarii muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_thoracic-intertransversarii-muscle	UNRESOLVABLE:segmental back muscle	UNRESOLVABLE:segmental back muscle					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900069	thyroepiglottic part of thyroarytenoid muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_thyroepiglottic-part-of-thyroarytenoid-muscle	NEEDS_MAPPING:FMA:46588	NEEDS_MAPPING:FMA:46588					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900070	thyropharyngeal part of inferior pharyngeal constrictor muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_thyropharyngeal-part-of-inferior-pharyngeal-constrictor-muscle	NEEDS_MAPPING:FMA:46623	NEEDS_MAPPING:FMA:46623					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900071	tibalis anterior muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_tibalis-anterior-muscle	NEEDS_MAPPING:FMA:22472	NEEDS_MAPPING:FMA:22472					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900072	tibalis posterior muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_tibalis-posterior-muscle	NEEDS_MAPPING:FMA:22474	NEEDS_MAPPING:FMA:22474					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900073	transverse muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_transverse-muscle	INFER:UBERON:0001576	INFER:UBERON:0001576					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900074	ventral part of intertransversarii laterales lumborum muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_ventral-part-of-intertransversarii-laterales-lumborum-muscle	UNRESOLVABLE:intertransversarii laterales lumborum muscle	UNRESOLVABLE:intertransversarii laterales lumborum muscle					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9900075	vertical muscle	[PENDING]	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|https://purl.org/ccf/ASCTB-TEMP_vertical-muscle	INFER:UBERON:0001576	INFER:UBERON:0001576					http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-11T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606		
