1	Nervous system	NS	
1.1.3.1.1.2.2.4	Ventral-posterior nucleus of th thalamus	VP	"The thalamic nucleus that relays somatosensory, (projects to primary and secondary somatosensory regions), gustatory, and pain information."
1.1.3.1.1.1.3	"Dorsal thalamus, medial geniculate group"	DORmg	"Positions of its component nuclei are species-dependent, and its functionality is mainy auditory-related."
1.1.3.1.1.1.3.1	Medial geniculate complex	MG	Common auditory input across mammals.
1.1.3.1.1.1.3.1.1	Medial geniculate complex dorsal part	MGd	
1.1.3.1.1.1.3.1.2	Medial geniculate complex ventral part	MGv	
1.1.3.1.1.1.3.1.3	Medial geniculate complex medial part	MGm	
1.1.3.1.1.1.3.2	"Lateral geniculate nucleus, dorsal part"	LGd	"Common across mammals, but the number of layers and patterns of inputs from retina vary. It's position is also species-dependent. In primates it is located dorso-laterally, while in inferior mammals rostrolaterally. LGd belongs to the dorsal thalamus, while LGv to the ventral thalamus."
1.1.3.1.1.1.4	"Dorsal thalamus, posterior group"	DORp	
1.1.3.1.1.1.4.1	Suprageniculate nucleus of the thalamus	SGN	
1.1.3.1.1.1.4.2	Postero-medial nucleus of the thalamus	PM	"Unsure about these two nuclei, they may be the LP. To check Krueger, 1995"
1.1.3.1.1.1.4.3	Postero-lateral nucleus of the thalamus	PL	"Unsure about these two nuclei, they may be the LP and the parafascicular nucleus, respectively. To check Krueger, 1995"
1.1.3.1.1.1.5	Medial and intralaminar nuclei of the dorsal thalamus	DORmi?	The abbreviations of the DOR divisions will be replaced with those used in Sw.-98. Not sure whether all nuclei included in this division are identified across mammals. E.g. parafascicular nucleus.
1.1.3.1.1.1.5.1	Centromedial nucleus of the thalamus	CM	"Is clearly distinguished in higher order mammals, but difficult to recognize it in the lower orders mammals. Need to check whether is the same with the central medial nucleus, in rat (Sw. nomenclatures)."
1.1.3.1.1.1.5.2	Parataenial nucleus of the thalamus	PT	
1.1.3.1.1.1.5.3	Rhomboid nucleus of the thalamus	RH	
1.1.3.1.1.1.5.4	Reuniens nucleus of the thalamus	RE	"In rats at least, this nucles is subdivided in several parts (Sw. nomenclatures)."
1.1.3.1.1.1.5.5	Paraventricular nucleus of the thalamus	PVT	
1.1.3.1.1.1.5.6	Central nucleus of the thalamus	CL	
1.1.3.1.1.1.6	Mediodorsal nucleus of the thalamus	MD	
1.1.3.1.1.1.6.1	Mediodorsal nucleus of the thalamus medial part	MDm	
1.1.3.1.1.1.6.2	Mediodorsal nucleus of the thalamus central part	MDl	sends connections to the dorsal and lateral parts of the prefrontal cortex. Considered as one of the criteria to define the prefrontal cortex.
1.1.3.1.1.1.6.3	Mediodorsal nucleus of the thalamus central part	MDc	
1.1.3.1.1.1.7	Anterior group of the dorsal thalamus	ATN	
1.1.3.1.1.1.7.1	Anteroventral nucleus of the thalamus	AV	
1.1.3.1.1.1.7.2	Anterodorsal nucleus of the thalamus	AD	
1.1.3.1.1.1.7.3	Anteromedial nucleus of the thalamus	AM	
1.1.3.1.1.2	Ventral thalamus	VNT	
1.1.3.1.1.3.1	Reticular nucleus of the thalamus	RT	
1.1.3.1.1.2.2	"Lateral geniculate nucleus, ventral part"	LGv	
1.1.3.1.1.2.3	Zona incerta	ZI	
1.1.3.1.1.3	Epithalamus	EPI	
1.1.3.1.1.3.1	Lateral habenula	LH	
1.1.3.1.1.3.2	Medial habenula	MH	
1.1.3.1.2	Hypothalamus	HY	
1.1.3.1.2.1	Periventricular zone	PVZ	
1.1.3.1.2.1.1	Paraventricular nucleus	PVH	
1.1.3.1.2.1.2	Periventricular preoptic nucleus	PVp	
1.1.3.1.2.1.3	Supraoptic nucleus	SO	
1.1.3.1.2.2	Medial zone	MEZ	
1.1.3.1.2.2.1	Medial preoptic nucleus	MPO	"part of the preoptic part of the medial zone, but being a single nucleus, it replaces the preoptic part."
1.1.3.1.2.2.2	"Medial zone, anterior level"	ANT	
1.1.3.1.2.2.2.1	Anterior preoptic nucleus	APN	In rats it is replaced by several distinct nuclei.
1.1.3.1.2.2.2.2	Anterior hypothalamic nucleus	AHN	
1.1.3.1.2.2.2.3	Suprachiasmatic nucleus	SCH	
1.1.3.1.2.2.3	"Medial zone, tuberal level"	TUB	
1.1.3.1.2.2.3.1	Ventromedial nucleus	VMH	
1.1.3.1.2.2.3.2	Dorsomedial nucleus	DMH	
1.1.3.1.2.2.4	"Medial zone, mammillary level"	MAM	
1.1.3.1.2.2.4.1	Dorsal premammillary nucleus	PMd	
1.1.3.1.2.2.4.2	Ventral premammillary nucleus	PMv	
1.1.3.1.2.2.4.3	Medial mammillary nucleus	MM	
1.1.3.1.2.2.4.4	Lateral mammillary nucleus	LM	
1.1.3.1.2.3	Posterior hypothalamic nucleus	PH	
1.1.3.1.2.4	Lateral zone	LZ	
1.1.3.1.2.5	Lateral hypothalamic area	LHA	
1.1.3.1.2.5.1	Lateral preoptic area	LPO	
1.1.3.1.2.6	Subthalamic nucleus	STN	
1.1.3.1.2.7	Retina	R	
1.1.3.2	Midbrain	MB	
1.1.3.2.1	Substantia nigra	SN	
1.1.3.2.1.1	Substantia nigra pars compacta	SNc	
1.1.3.2.1.1	Substantia nigra pars reticulata	SNr	
1.1.3.2.2	Tectum	TC	
1.1.3.2.2.1	Inferior colliculus	IC	
1.1.3.2.2.2	Superior colliculus	SC	
1.1.3.2.3	Tegmentum	TG	
1.1.3.2.3.1	Ventral tegmental area	VTA	
1.1.3.2.3.2	Periaqueductal gray	PAG	
1.1.3.2.3.3	Red nucleus	RN	
1.1.3.2.3.4	Interpeduncular nuclei	IPN	
1.1.3.2.3.5	Tegmental nuclei	TGN	"Ad-hoc grouping of the tegmental nuclei. These nuclei cross have a midbrain and pons, portion, respectively. The same with the reticular formation, and central gray."
1.1.3.2.4	Pretectal region	PRT	
1.1.3.2.4.1	Anterior pretectal nucleus	APN	
1.1.3.2.4.2	Medial pretectal nucleus	MPT	
1.1.3.2.4.3	Posterior pretectal nucleus	PPN	
1.1.3.2.4.4	Olivary pretectal nucleus	OP	
1.1.3.3	Cerebellum	CB	
1.1.3.3.1	Cerebellar cortex	CBX	
1.1.3.3.1.1	Anterior lobe	ALC	All three lobes may be further subdivided in lobules.
1.1.3.3.1.2	Posterior lobe	PLC	
1.1.3.3.1.3	Flocculonodular lobe	FNL	
1.1.3.3.2	Deep cerebellar nuclei	DCN	
1.1.4	Hindbrain	HB	
1.1.4.1	Pons	P	"Pons includes parts of nuclei, or of regions (i.e. central gray) that begin in the midbrain tegmentum."
1.1.4.2	Superior olive	SO	
1.1.4.2.1	Superior olive lateral part	SOl	
1.1.4.2.2	Superior olive medial part	SOm	
1.1.4.3	Nucleus of the trapezoid body	NTB	
1.1.4.4	Parabrachial nucleus	PB	
1.1.4.5	Kolliker-Fuse nucleus	KF	
1.1.4.6	Locus coeruleus	LC	
1.1.5	Medulla	MY	"The abbreviation is that of the greek myencephalon. As the midbrain tegmentum and pons, medulla includes parts of nuclei or of regions that span across these three divisions, or start in pons and end in it."
1.1.5.1	Nucleus of the solitary tract	NTS	
1.1.5.2	Coclear nuclei	CN	
1.1.5.3	Dorsal cochlear nucleus	DCN	
1.1.5.4	Ventral cochlear nucleus	VCN	
1.1.5.5	Inferior olive	IO	
1.1.5.6	Area postrema	AP	
1.1.6	Spinal cord	SC	
1.2	Peripheric nervous system	PNS	
1.3	Enteric Nervous System	ENS	
