table	as_iri	label	term_type	source_parent_id	source_parent_label	status	mapped_uberon_id	mapped_label	label_correction	label_correction_reason	parent_correction	parent_correction_label	mapping_evidence	curator_notes
muscular-system	https://purl.org/ccf/ASCTB-TEMP_dorsum-of-foot-muscle	dorsum of foot muscle	group	https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle	intertransversarii laterales lumborum muscle	manual_curation								MANUAL_CURATION: No UBERON term exists for 'dorsum of foot' / 'dorsal region of pes' as a region. The only dorsal pes term found is UBERON:0006499 dorsal pes interosseous muscle (a specific muscle, not a region). Simple genus + part_of pattern cannot be applied without a region target.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_external-anal-sphincter-muscle	external anal sphincter muscle	leaf	UBERON:0001876	amygdala	confirmed_match	UBERON:0001367	external anal sphincter					Source label 'external anal sphincter muscle' is the same structure as UBERON:0001367 'external anal sphincter' (synonyms include 'musculus sphincter ani externus'). UBERON:0001367 has FMA:21930, MA:0001531, Wikipedia:Sphincter_ani_externus_muscle. Source ASCTB-TEMP IRI should be added as a synonym/xref on UBERON:0001367 rather than a new term being created. Source parent UBERON:0001876 (amygdala) is clearly a spurious/erroneous mapping in the input — the intended parent is a sphincter muscle / anal region skeletal muscle class, which UBERON:0001367 already has (is_a UBERON:0004590 sphincter muscle; is_a UBERON:0004832 anal region skeletal muscle; part_of UBERON:0006867 anal part of perineum; surrounds UBERON:0001245 anus).	Source parent_id UBERON:0001876 resolves to 'amygdala' — a brain region, evidently a data-entry error in the ASCTB-TEMP input. Not an issue for output (term is a confirmed_match excluded from template), but flagged for curator awareness. || SUGGESTION: Curator should add ASCTB-TEMP source IRI (https://purl.org/ccf/ASCTB-TEMP_external-anal-sphincter-muscle) and 'external anal sphincter muscle' as a synonym to UBERON:0001367. No new term needed.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_external-ear-muscle	external ear muscle	group	UBERON:0001678	temporal bone	new_term_group	UBERON:9900013	(new term: external ear muscle)			UBERON:0001691	external ear		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_frontal-belly-of-occipitofrontalis-muscle	frontal belly of occipitofrontalis muscle	leaf	UBERON:0005893	leg bone	confirmed_match	UBERON:0010952	frontalis muscle belly					UBERON:0010952 'frontalis muscle belly' carries the exact synonym 'frontal belly of occipitofrontalis' (FMA:46757) and the related synonym 'frontal belly of occipitofrontalis muscle' (Wikipedia:Frontalis_muscle). Source parent UBERON:0005893 'leg bone' is clearly an erroneous parent assignment in the HRA input (likely a data alignment error) — the term itself is a well-established existing UBERON class. Exclude from template.	Source parent UBERON:0005893 is 'leg bone' — clearly an incorrect parent for a facial muscle belly. Flag for curator review of the input row, but no action needed in template since the term is a confirmed existing match. || SUGGESTION: Curator: verify HRA source row; the term itself already exists as UBERON:0010952.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_hamstring-portion-of-adductor-magnus-muscle	hamstring portion of adductor magnus muscle	leaf	UBERON:0001092	vertebral bone 1	new_term_leaf	UBERON:9900015	(new term: hamstring portion of adductor magnus muscle)			UBERON:0000370	adductor magnus		Source parent UBERON:0001092 (vertebral bone 1 / atlas vertebra) is anatomically incorrect for a thigh muscle subdivision. Refined parent is UBERON:0000370 (adductor magnus), with the term modelled as a muscle head (UBERON:0011906) part_of adductor magnus. || SUGGESTION: Use UBERON:0000370 as the part_of parent. UBERON:0000370's own definition explicitly describes this 'hamstring portion' as the part arising from the ischial tuberosity.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_hypothenar-hand-muscle	hypothenar hand muscle	group	UBERON:0001677	sphenoid bone	confirmed_match	UBERON:0014377	hypothenar muscle						
muscular-system	https://purl.org/ccf/ASCTB-TEMP_iliocostalis-cervicalis-muscle	iliocostalis cervicalis muscle	leaf	UBERON:0001272	innominate bone	confirmed_match	UBERON:0008546	iliocostalis cervicis muscle	iliocostalis cervicis muscle	Standard TA2 form uses Latin genitive 'cervicis' (of the neck), not adjectival 'cervicalis'. UBERON:0008546 uses 'iliocostalis cervicis muscle'. Source spelling could be retained as RELATED synonym.			Source label 'iliocostalis cervicalis muscle' is a spelling variant of the standard TA2 form 'iliocostalis cervicis muscle' (UBERON:0008546, FMA:22704). Same anatomical structure. Curator should consider adding 'iliocostalis cervicalis muscle' as a RELATED synonym.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_inferior-head-of-lateral-pterygoid-muscle	inferior head of lateral pterygoid muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_supraperiosteal-arteriole	supraperiosteal arteriole	new_term_leaf	UBERON:9900018	(new term: inferior head of lateral pterygoid muscle)			UBERON:0006719	lateral pterygoid muscle		Source parent label 'supraperiosteal arteriole' is wrong-domain (a vascular structure) for this masticatory muscle head; the parent was overridden based on the child term itself. || SUGGESTION: Use UBERON:0011906 (muscle head) as genus and UBERON:0006719 (lateral pterygoid muscle) as part_of; this mirrors the UBERON pattern for UBERON:0007168 (long head of biceps brachii) and similar muscle-head terms.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_inferior-longitudinal-lingual-muscle	inferior longitudinal lingual muscle	leaf	UBERON:0001194	splenic artery	new_term_leaf	UBERON:9900019	(new term: inferior longitudinal lingual muscle)	inferior longitudinal muscle of tongue	UBERON convention (see UBERON:0008582 'superior longitudinal muscle of tongue', UBERON:0008583 'transverse muscle of tongue', UBERON:0008584 'vertical muscle of tongue') uses 'X muscle of tongue' rather than 'X lingual muscle'. Keep source name as EXACT synonym.	UBERON:0001723	tongue		Input parent_id UBERON:0001194 resolves to 'splenic artery' — clearly wrong for this term. Correct parent assigned from anatomical context: UBERON:0001576 'intrinsic muscle of tongue' (genus), mirroring sibling intrinsic tongue muscles (UBERON:0008582 superior longitudinal, UBERON:0008583 transverse, UBERON:0008584 vertical). || SUGGESTION: Verify upstream parent ID assignment; the source row likely intended UBERON:0001576 (intrinsic muscle of tongue) or UBERON:0000378 (tongue muscle).
muscular-system	https://purl.org/ccf/ASCTB-TEMP_intermediate-back-muscle	intermediate back muscle	group	UBERON:0002397	maxilla	new_term_group	UBERON:9900020	(new term: intermediate back muscle)			UBERON:0001137	dorsum		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_internal-abdominal-oblique-muscle	internal abdominal oblique muscle	leaf	UBERON:0003690	fused sacrum	confirmed_match	UBERON:0005454	abdominal internal oblique muscle					Source label 'internal abdominal oblique muscle' is an existing RELATED synonym of UBERON:0005454 (primary label: 'abdominal internal oblique muscle'). FMA:13891. The input parent UBERON:0003690 ('fused sacrum') is clearly incorrect for a muscle term; the genuine UBERON parent is UBERON:0035032 (abdominal oblique muscle).	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_interspinales-cervicalis-muscle	interspinales cervicalis muscle	leaf	UBERON:0000979	tibia	new_term_leaf	UBERON:9900022	(new term: interspinales cervicalis muscle)	interspinales cervicis muscle	TA2 / standard anatomical nomenclature uses 'musculi interspinales cervicis' (genitive 'cervicis', not 'cervicalis'). 'Cervicalis' is grammatically the adjective form, but the established TA term is 'interspinales cervicis'. Keep 'interspinales cervicalis muscle' as a related synonym.	UBERON:0000974	neck		Source-supplied parent_id UBERON:0000979 resolves to 'tibia', which is clearly an upstream data error (interspinales cervicis is a deep neck muscle, not a leg bone). Used anatomical knowledge and similar UBERON deep neck muscles (rectus capitis posterior major UBERON:0008454, longus colli UBERON:0001121, semispinalis cervicis precedent) to determine the appropriate genus and part_of. || SUGGESTION: Curator should ignore the source UBERON:0000979 parent assignment. The chosen genus 'muscle of vertebral column' (UBERON:0004518) is consistent with other named vertebral-column muscles in UBERON; part_of 'neck' (UBERON:0000974) follows the precedent of rectus capitis posterior major. has_muscle_origin and has_muscle_insertion are both set to UBERON:0001076 (neural spine / spinous process of vertebra) because the muscle spans between adjacent cervical spinous processes; UBERON does not currently have a more specific 'spinous process of cervical vertebra' class. innervated_by is the dorsal ramus of spinal nerve (UBERON:0006839); a more specific 'medial branch of dorsal ramus of cervical spinal nerve' class does not exist in UBERON.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle	intertransversarii laterales lumborum muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	new_term_leaf	UBERON:9900023	(new term: intertransversarii laterales lumborum muscle)			UBERON:0006074	lumbar region of vertebral column		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_intrinsic-eye-muscle	intrinsic eye muscle	group	https://purl.org/ccf/ASCTB-TEMP_posterolateral-spinal-vein	posterolateral spinal vein	confirmed_match	UBERON:0011222	intra-ocular muscle						
muscular-system	https://purl.org/ccf/ASCTB-TEMP_lateral-compartmet-of-leg-muscle	lateral compartmet of leg muscle	leaf	UBERON:0001537	anterior tibial artery	new_term_leaf	UBERON:9900025	(new term: lateral compartmet of leg muscle)	lateral compartment of leg muscle	Typo in source label: 'compartmet' -> 'compartment'. Keep source name as related synonym.	UBERON:0014892	skeletal muscle organ, vertebrate		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_lateral-posterior-cervical-intertransversarii-muscle	lateral posterior cervical intertransversarii muscle	leaf	UBERON:0001546	posterior tibial vein	new_term_leaf	UBERON:9900026	(new term: lateral posterior cervical intertransversarii muscle)			UBERON:0000974	neck		Source parent_id UBERON:0001546 resolves to 'posterior tibial vein', which is anatomically incorrect for a cervical paraspinal muscle. No specific UBERON term currently exists for this muscle; closest existing classes are UBERON:0001630 (muscle organ) as genus and UBERON:0004465 (musculature of neck) as collective. Existing 'm. intertransversarius capitis' classes (UBERON:3010664, UBERON:3010667) are amphibian-sourced and not equivalent. || SUGGESTION: Use UBERON:0001630 (muscle organ) as is_a and UBERON:0000974 (neck) as part_of, with has_muscle_origin/insertion = UBERON:0018143 (transverse process of cervical vertebra) and innervated_by = UBERON:0006838 (ventral ramus of spinal nerve). No real PMID located; rely on existing def_xref (FIPAT TA2 + ISBN:9780323393225 Drake Gray's Anatomy + ASCTB-TEMP placeholder); curator may wish to add a primary anatomical reference such as Standring Gray's Anatomy.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_lateral-vertebral-muscle	lateral vertebral muscle	group	UBERON:0002250	popliteal artery	confirmed_match	UBERON:0008611	scalene muscle						
muscular-system	https://purl.org/ccf/ASCTB-TEMP_left-crus-of-lumbar-part-of-respiratory-diaphragm-muscle	left crus of lumbar part of respiratory diaphragm muscle	leaf	http://purl.org/sig/ont/fma/fma323951	Pre-aortic thoracic lymph node group	confirmed_match	UBERON:0014767	left crus of diaphragm					UBERON:0014767 explicitly carries the synonym 'left crus of lumbar part of diaphragm' (EXACT, FMA:58287). The input label adds 'respiratory ... muscle' but refers to the same anatomical structure. FMA:323951 was not directly xref'd in UBERON but UBERON:0014767 carries FMA:58287 for the same structure.	FMA:323951 (lumbar part of diaphragm) is not directly xref'd in UBERON. The closest UBERON concept is UBERON:0014765 'crus of diaphragm' (which is the lumbar/vertebral part of the diaphragm). Not needed here because the child term itself matches an existing UBERON term. || SUGGESTION: If a separate UBERON term for the lumbar part of the diaphragm is desired, it could be added with FMA:323951 as xref; otherwise treat UBERON:0014765 as functionally equivalent.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_levator-costarum-muscle	levator costarum muscle	leaf	UBERON:0001677	sphenoid bone	confirmed_match	UBERON:8410070							
muscular-system	https://purl.org/ccf/ASCTB-TEMP_levatores-costarum-breves-of-levator-costarum-muscle	levatores costarum breves of levator costarum muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_thoracic-wall-muscle	thoracic wall muscle	new_term_leaf	UBERON:9900030	(new term: levatores costarum breves of levator costarum muscle)			UBERON:8410070	levator costarum		Source-assigned grouping parent 'thoracic wall muscle' has no exact UBERON equivalent. The closest grouping classes in UBERON are UBERON:0002426 (chest muscle) and UBERON:0016403 (thoracic wall, anatomical region). However, the specific parent muscle 'levator costarum' (UBERON:8410070) already exists in UBERON and is itself is_a UBERON:0002426 ! chest muscle, so the chain is preserved. || SUGGESTION: Use part_of UBERON:8410070 (levator costarum) as the immediate containing structure; is_a UBERON:0014892 (skeletal muscle organ, vertebrate) supplies the genus class. The thoracic-wall-muscle grouping is implicit via the parent muscle's own is_a chain. No new grouping term is required.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_levatores-costarum-longi-of-levator-costarum-muscle	levatores costarum longi of levator costarum muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_levator-costarum-muscle	levator costarum muscle	new_term_leaf	UBERON:9900031	(new term: levatores costarum longi of levator costarum muscle)			UBERON:8410070	levator costarum		Parent 'levator costarum muscle' resolves to UBERON:8410070 (levator costarum). The source label suggests these are a named sub-component (the long fasciculi of the four lower levatores costarum). UBERON has no specific class for this sub-component, but the parent UBERON:8410070 itself already covers the levatores costarum collectively (its definition explicitly references both 'levatores costarum breves' and 'levatores costarum longi' as the two fasciculi of each muscle). || SUGGESTION: Curator decision needed: (a) accept this NTR as a part_of subdivision of UBERON:8410070 with genus 'skeletal muscle organ, vertebrate' (UBERON:0014892), as encoded in leaf_template_rows; OR (b) drop the NTR and instead add 'levatores costarum longi' as an EXACT synonym (with a clarifying scope) on UBERON:8410070, since the parent term's textual definition already enumerates the longi/breves fasciculi. Option (b) is more parsimonious if HRA only needs name-level findability. Option (a) is preferred if the longi fasciculus must be addressable as a distinct entity (e.g. for downstream attachment/innervation annotation). Innervation set to dorsal ramus of spinal nerve (UBERON:0006839) following Morrison 1953 (PMID:13129167).
muscular-system	https://purl.org/ccf/ASCTB-TEMP_longitudinal-pharyngeal-muscle	longitudinal pharyngeal muscle	group	https://purl.org/ccf/ASCTB-TEMP_vasa-recta-of-colon	vasa recta of colon	manual_curation								MANUAL_CURATION: This is a sub-grouping of pharyngeal muscles defined by fibre orientation (longitudinal) within the pharyngeal wall — not a simple part_of-defined subset. UBERON's circular counterpart (UBERON:0001569 constrictor muscle of pharynx) is is_a UBERON:0000933 chordate pharyngeal muscle without an EC axiom on orientation. The simple genus + part_of pattern cannot express fibre orientation.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_longus-capitus-muscle	longus capitus muscle	leaf	UBERON:0002377	muscle of neck	confirmed_match	UBERON:0001563	longus capitis muscle	longus capitis muscle	'capitus' is a misspelling of the Latin genitive 'capitis' (of the head). Standard anatomical term is 'longus capitis muscle' (TA2). Already present in UBERON as UBERON:0001563 with the misspelled form already captured as a RELATED synonym.			Source label 'longus capitus muscle' is a misspelling of 'longus capitis muscle'. UBERON:0001563 already lists 'longus capitus muscle' as a RELATED synonym (xref Wikipedia:Longus_capitis_muscle), confirming the match. Existing UBERON term already has has_muscle_origin (UBERON:0001077 transverse process of vertebra), has_muscle_insertion (UBERON:0001692 basioccipital bone), innervated_by (UBERON:0000962 nerve of cervical vertebra), depiction image, and FMA:46308 xref. No new term needed.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_medial-lumbar-intertransversarii-muscle	medial lumbar intertransversarii muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	new_term_leaf	UBERON:9900034	(new term: medial lumbar intertransversarii muscle)			UBERON:0006074	lumbar region of vertebral column		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_medial-posterior-cervical-intertransversarii-muscle	medial posterior cervical intertransversarii muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	new_term_leaf	UBERON:9900035	(new term: medial posterior cervical intertransversarii muscle)			UBERON:0006072	cervical region of vertebral column		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_middle-ear-muscle	middle ear muscle	group	UBERON:0002376	cranial muscle	new_term_group	UBERON:9900036	(new term: middle ear muscle)			UBERON:0001756	middle ear		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_multifidus-cervicis-muscle	multifidus cervicis muscle	leaf	UBERON:0010990	transversospinales muscle	new_term_leaf	UBERON:9900037	(new term: multifidus cervicis muscle)			UBERON:0006072	cervical region of vertebral column		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_multifidus-lumborum-muscle	multifidus lumborum muscle	leaf	UBERON:0010990	transversospinales muscle	new_term_leaf	UBERON:9900038	(new term: multifidus lumborum muscle)			UBERON:0006074	lumbar region of vertebral column		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_multifidus-thoracis-muscle	multifidus thoracis muscle	leaf	UBERON:0010990	transversospinales muscle	new_term_leaf	UBERON:9900039	(new term: multifidus thoracis muscle)			UBERON:0006073	thoracic region of vertebral column		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_muscle-of-facial-expression	muscle of facial expression	group	UBERON:0002376	cranial muscle	confirmed_match	UBERON:0001577	facial muscle						
muscular-system	https://purl.org/ccf/ASCTB-TEMP_musculus-uvulae-muscle	musculus uvulae muscle	leaf	UBERON:0003682	palatal muscle	confirmed_match	UBERON:0010235	uvular muscle					UBERON:0010235 'uvular muscle' has 'musculus uvulae muscle' as a RELATED synonym (Wikipedia:Musculus_uvulae) and xref FMA:46733. Same structure; existing UBERON term should be reused. Parent UBERON:0003682 palatal muscle already matches the source-supplied parent. Existing UBERON term already encodes has_muscle_origin (hard palate), has_muscle_insertion (palatine uvula, palatine aponeurosis), and innervated_by (pharyngeal branch of vagus nerve).	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_occipital-belly-of-occipitofrontalis-muscle	occipital belly of occipitofrontalis muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_neuromeningeal-trunk	neuromeningeal trunk	confirmed_match	UBERON:0010947	occipitalis					UBERON:0010947 'occipitalis' carries the EXACT synonym 'occipital belly of occipitofrontalis' (FMA:46758) and 'occipital part of occipitofrontalis'. Same FMA ID confirms identity. The source-supplied parent 'neuromeningeal trunk' is a wrong-domain (nerve trunk) label; the correct parent context is UBERON:0010946 occipitofrontalis muscle (the term already has is_a UBERON:0010938 muscle belly and part_of UBERON:0010946).	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_opponens-digiti-minimi-muscle	opponens digiti minimi muscle	leaf	UBERON:0001624	anterior cerebral artery	confirmed_match	UBERON:0036176	opponens digiti minimi of hand					The label 'opponens digiti minimi muscle' is the standard anatomical name for the hand muscle (TA2 / Wikipedia). UBERON:0036176 carries 'opponens digiti minimi' and 'opponens digiti minimi (hand)' as synonyms, with xrefs FMA:37384, Wikipedia:Opponens_digiti_minimi_muscle. The source parent UBERON:0001624 (anterior cerebral artery) is clearly an upstream error and unrelated — confirmed match relies on label/synonym evidence, not the supplied parent.	Source-supplied parent_id UBERON:0001624 resolves to 'anterior cerebral artery', which is anatomically unrelated to a hand muscle. This appears to be an upstream parent-mapping error in the HRA ASCTB input. || SUGGESTION: Curator should report/correct the source parent assignment. The term itself already exists as UBERON:0036176 and is excluded from the new-term template.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_palmar-interosseous-muscle	palmar interosseous muscle	group	UBERON:0009095	tip of renal papilla	confirmed_match	UBERON:0006505	palmar interosseous muscle of manus						
muscular-system	https://purl.org/ccf/ASCTB-TEMP_pelvic-floor-muscle	pelvic floor muscle	group	https://purl.org/ccf/ASCTB-TEMP_periductal-branch-of-lobular-artery-of-pancreas	periductal branch of lobular artery of pancreas	manual_curation								MANUAL_CURATION: No UBERON term currently exists for 'pelvic floor' or 'pelvic diaphragm' as an anatomical region — only the constituent muscles (levator ani UBERON:0001326, coccygeus UBERON:0001327) and the broader pelvic region (UBERON:0002355) are represented. The simple genus + part_of pattern needs a target term for the pelvic floor itself.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_plantar-interosseous-muscle	plantar interosseous muscle	group	https://purl.org/ccf/ASCTB-TEMP_sheathed-capillary-of-spleen	sheathed capillary of spleen, Sheathed capillary of spleen	confirmed_match	UBERON:0006502	plantar interosseous muscle of pes						
muscular-system	https://purl.org/ccf/ASCTB-TEMP_posterior-abdominal-wall-muscle	posterior abdominal wall muscle	group	UBERON:0001092	vertebral bone 1	new_term_group	UBERON:9900047	(new term: posterior abdominal wall muscle)			UBERON:0003697	abdominal wall		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_pteryopharyngeal-part-of-superior-pharyngeal-constrictor-muscle	pteryopharyngeal part of superior pharyngeal constrictor muscle	leaf	UBERON:0001272	innominate bone	confirmed_match	UBERON:0010956	pterygopharyngeal part of superior pharyngeal constrictor	pterygopharyngeal part of superior pharyngeal constrictor muscle	Source spelling 'pteryopharyngeal' is missing the 'g' from the Greek root 'pteryg-' (wing, referring to the pterygoid process). Standard TA2/FMA/UBERON form is 'pterygopharyngeal' (UBERON:0010956, FMA:46638). Source spelling could be retained as RELATED synonym.			Source label 'pteryopharyngeal' is a typographical variant (missing 'g') of the standard TA2/FMA form 'pterygopharyngeal' (UBERON:0010956, FMA:46638). Same anatomical structure. Curator should consider adding the source spelling as a RELATED synonym.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_puboanalis-muscle	puboanalis muscle	leaf	UBERON:8600052	subsegmental pulmonary vein	new_term_leaf	UBERON:9900049	(new term: puboanalis muscle)			UBERON:0001326	levator ani muscle		Source parent UBERON:8600052 not present in uberon-edit.obo (presumably a recently minted grouping class). Followed the precedent of sibling levator ani components (puborectalis UBERON:0011512, pubococcygeus UBERON:0011528, iliococcygeus UBERON:0011398) which all use is_a muscle of pelvis (UBERON:0001325) and part_of levator ani muscle (UBERON:0001326). || SUGGESTION: Curator: confirm whether UBERON:8600052 is intended as the parent and, if so, verify its placement in the hierarchy; otherwise leave is_a/part_of as written.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_puboperineales-muscle	puboperineales muscle	leaf	UBERON:0015173	helicine branch of uterine artery	new_term_leaf	UBERON:9900050	(new term: puboperineales muscle)	puboperinealis muscle	TA2 Latin form is 'musculus puboperinealis' (singular); 'puboperineales' is the plural Latin adjective form used inconsistently. The standard English label is 'puboperinealis muscle' or 'puboperineal muscle'. Keep source name as a synonym.	UBERON:0001326	levator ani muscle		Source parent UBERON:0015173 ('helicine branch of uterine artery') is clearly a misalignment in the input data — it is an artery, not a muscle. Resolved to the anatomically correct parent levator ani muscle (UBERON:0001326) following the precedent of puborectalis (UBERON:0011512) and pubococcygeus (UBERON:0011528), which are also slips of the levator ani with the same is_a/part_of pattern. || SUGGESTION: Curator should ignore the source parent_id and use UBERON:0001326 (levator ani muscle) as part_of, UBERON:0001325 (muscle of pelvis) as is_a.
