table	as_iri	label	uberon_id	parent_id	parent_label	references
muscular-system	https://purl.org/ccf/ASCTB-TEMP_pelvic-floor-muscle	pelvic floor muscle		https://purl.org/ccf/ASCTB-TEMP_periductal-branch-of-lobular-artery-of-pancreas	periductal branch of lobular artery of pancreas	https://fipat.library.dal.ca/ta2/
muscular-system	https://purl.org/ccf/ASCTB-TEMP_plantar-interosseous-muscle	plantar interosseous muscle		https://purl.org/ccf/ASCTB-TEMP_sheathed-capillary-of-spleen	sheathed capillary of spleen, Sheathed capillary of spleen	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_posterior-abdominal-wall-muscle	posterior abdominal wall muscle		UBERON:0001092	vertebral bone 1	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_pteryopharyngeal-part-of-superior-pharyngeal-constrictor-muscle	pteryopharyngeal part of superior pharyngeal constrictor muscle		UBERON:0001272	innominate bone	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_puboanalis-muscle	puboanalis muscle		UBERON:8600052	subsegmental pulmonary vein	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_puboperineales-muscle	puboperineales muscle		UBERON:0015173	helicine branch of uterine artery	https://fipat.library.dal.ca/ta2/
muscular-system	https://purl.org/ccf/ASCTB-TEMP_rectus-capitius-posterior-minor-muscle	rectus capitius posterior minor muscle		https://purl.org/ccf/ASCTB-TEMP_submucosal-artery-of-colon	submucosal artery of colon	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_rectus-capitus-anterior-muscle	rectus capitus anterior muscle		UBERON:0001250, UBERON:0010400	red pulp of spleen, spleen trabecular vein	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_respiratory-diaphragm-muscle	respiratory diaphragm muscle		http://purl.org/sig/ont/fma/fma12252	Subclavian lymphatic trunk	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_right-crus-of-lumbar-part-of-respiratory-diaphragm-muscle	right crus of lumbar part of respiratory diaphragm muscle		http://purl.org/sig/ont/fma/fma5841	Left lumbar lymphatic trunk	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle		https://purl.org/ccf/ASCTB-TEMP_lobar-artery-of-spleen	lobar artery of spleen	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_sole-of-foot-muscle	sole of foot muscle		UBERON:0001383	muscle of leg	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_spermatic-cord-muscle	spermatic cord muscle		UBERON:0002378	muscle of abdomen	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_sphincter-urethrae-muscle	sphincter urethrae muscle		UBERON:0002379	perineal muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_spinotransversales-muscle	spinotransversales muscle		UBERON:0002324	muscle of back	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_splenius-capitus-muscle	splenius capitus muscle		https://purl.org/ccf/ASCTB-TEMP_spinotransversales-muscle	spinotransversales muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_sternal-part-of-respiratory-diaphragm-muscle	sternal part of respiratory diaphragm muscle		https://purl.org/ccf/ASCTB-TEMP_respiratory-diaphragm-muscle	respiratory diaphragm muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_sternocostal-head-of-pectoralis-major-muscle	sternocostal head of pectoralis major muscle		UBERON:0002381	pectoralis major	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_superficial-back-muscle	superficial back muscle		UBERON:0002324	muscle of back	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_superior-head-of-lateral-pterygoid-muscle	superior head of lateral pterygoid muscle		UBERON:0006719	lateral pterygoid muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_superior-longitudinal-lingual-muscle	superior longitudinal lingual muscle		UBERON:0001576	intrinsic muscle of tongue	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_tensor-fascia-latae-muscle	tensor fascia latae muscle		UBERON:0002000	gluteal muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_thoracic-intertransversarii-muscle	thoracic intertransversarii muscle		https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_thoracic-wall-muscle	thoracic wall muscle		UBERON:0002426	chest muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_thyroepiglottic-part-of-thyroarytenoid-muscle	thyroepiglottic part of thyroarytenoid muscle		http://purl.org/sig/ont/fma/fma46588	Thyro-arytenoid	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_thyropharyngeal-part-of-inferior-pharyngeal-constrictor-muscle	thyropharyngeal part of inferior pharyngeal constrictor muscle		http://purl.org/sig/ont/fma/fma46623	Inferior pharyngeal constrictor	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_tibalis-anterior-muscle	tibalis anterior muscle		http://purl.org/sig/ont/fma/fma22472	Muscle of anterior compartment of leg	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_tibalis-posterior-muscle	tibalis posterior muscle		http://purl.org/sig/ont/fma/fma22474	Muscle of posterior compartment of leg	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_transverse-muscle	transverse muscle		UBERON:0001576	intrinsic muscle of tongue	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_ventral-part-of-intertransversarii-laterales-lumborum-muscle	ventral part of intertransversarii laterales lumborum muscle		https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle	intertransversarii laterales lumborum muscle	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
muscular-system	https://purl.org/ccf/ASCTB-TEMP_vertical-muscle	vertical muscle		UBERON:0001576	intrinsic muscle of tongue	https://fipat.library.dal.ca/ta2/, ISBN:9780323393225
