source_group	label_or_field	reason	suggestion
uberon_0001624	opponens digiti minimi muscle	Source-supplied parent_id UBERON:0001624 resolves to 'anterior cerebral artery', which is anatomically unrelated to a hand muscle. This appears to be an upstream parent-mapping error in the HRA ASCTB input.	Curator should report/correct the source parent assignment. The term itself already exists as UBERON:0036176 and is excluded from the new-term template.
uberon_0001677	source parent UBERON:0001677	Source-assigned parent UBERON:0001677 is 'sphenoid bone', which is anatomically incorrect for levator costarum muscle (a chest/back muscle). The correct parent in UBERON is UBERON:0002426 'chest muscle' (already used by the existing match UBERON:8410070).	Curator should review the upstream ASCTB mapping that produced UBERON:0001677 as a parent here; the existing UBERON:8410070 (levator costarum) supersedes this NTR.
uberon_0001876	external anal sphincter muscle	Source parent_id UBERON:0001876 resolves to 'amygdala' — a brain region, evidently a data-entry error in the ASCTB-TEMP input. Not an issue for output (term is a confirmed_match excluded from template), but flagged for curator awareness.	Curator should add ASCTB-TEMP source IRI (https://purl.org/ccf/ASCTB-TEMP_external-anal-sphincter-muscle) and 'external anal sphincter muscle' as a synonym to UBERON:0001367. No new term needed.
uberon_0003690	input parent UBERON:0003690	Source parent UBERON:0003690 resolves to 'fused sacrum' (a bone), which cannot be a parent of a muscle. This appears to be an upstream mapping error in the ASCTB-TEMP source data.	No action required — term already exists in UBERON as UBERON:0005454 and is auto-excluded from the template via confirmed_matches.
uberon_0005893	frontal belly of occipitofrontalis muscle	Source parent UBERON:0005893 is 'leg bone' — clearly an incorrect parent for a facial muscle belly. Flag for curator review of the input row, but no action needed in template since the term is a confirmed existing match.	Curator: verify HRA source row; the term itself already exists as UBERON:0010952.
uberon_0015173	puboperineales muscle	Source parent UBERON:0015173 ('helicine branch of uterine artery') is clearly a misalignment in the input data — it is an artery, not a muscle. Resolved to the anatomically correct parent levator ani muscle (UBERON:0001326) following the precedent of puborectalis (UBERON:0011512) and pubococcygeus (UBERON:0011528), which are also slips of the levator ani with the same is_a/part_of pattern.	Curator should ignore the source parent_id and use UBERON:0001326 (levator ani muscle) as part_of, UBERON:0001325 (muscle of pelvis) as is_a.
uberon_8600052	puboanalis muscle	Source parent UBERON:8600052 not present in uberon-edit.obo (presumably a recently minted grouping class). Followed the precedent of sibling levator ani components (puborectalis UBERON:0011512, pubococcygeus UBERON:0011528, iliococcygeus UBERON:0011398) which all use is_a muscle of pelvis (UBERON:0001325) and part_of levator ani muscle (UBERON:0001326).	Curator: confirm whether UBERON:8600052 is intended as the parent and, if so, verify its placement in the hierarchy; otherwise leave is_a/part_of as written.
unresolvable_intertransversarii_laterales_lumborum	intertransversarii laterales lumborum muscle (source parent)	The source-assigned parent 'intertransversarii laterales lumborum muscle' is not present in UBERON. OLS4 returns no UBERON term for this label or for FMA:32544 (intertransversarii laterales lumborum). The closest UBERON terms are UBERON:3010664 / UBERON:3010667 (amphibian m. intertransversarius capitis sup./inf., not equivalent) and UBERON:0008242 (lower back muscle), which is a broader regional grouping.	As an interim solution this term has been placed part_of UBERON:0008242 (lower back muscle) with genus UBERON:0014892 (skeletal muscle organ, vertebrate). Curator should consider creating the parent muscle 'intertransversarii laterales lumborum (muscle)' (FMA:32544) as a sibling NTR and then re-parenting this ventral part as part_of that new term. A matching 'dorsal part of intertransversarii laterales lumborum muscle' (FMA:32546) will also be needed.
unresolvable_levator_costarum_muscle	levatores costarum longi of levator costarum muscle	Parent 'levator costarum muscle' resolves to UBERON:8410070 (levator costarum). The source label suggests these are a named sub-component (the long fasciculi of the four lower levatores costarum). UBERON has no specific class for this sub-component, but the parent UBERON:8410070 itself already covers the levatores costarum collectively (its definition explicitly references both 'levatores costarum breves' and 'levatores costarum longi' as the two fasciculi of each muscle).	Curator decision needed: (a) accept this NTR as a part_of subdivision of UBERON:8410070 with genus 'skeletal muscle organ, vertebrate' (UBERON:0014892), as encoded in leaf_template_rows; OR (b) drop the NTR and instead add 'levatores costarum longi' as an EXACT synonym (with a clarifying scope) on UBERON:8410070, since the parent term's textual definition already enumerates the longi/breves fasciculi. Option (b) is more parsimonious if HRA only needs name-level findability. Option (a) is preferred if the longi fasciculus must be addressable as a distinct entity (e.g. for downstream attachment/innervation annotation). Innervation set to dorsal ramus of spinal nerve (UBERON:0006839) following Morrison 1953 (PMID:13129167).
unresolvable_meningohypophyseal_artery	dorsal part of intertransversarii laterales lumborum muscle	Source-supplied parent label 'meningohypophyseal artery' is wrong-domain (a cranial artery cannot parent a lumbar back muscle) and is clearly a data-entry error in the input. The parent muscle 'intertransversarii laterales lumborum' (FMA:32576 / FMA:32577) and the higher class 'intertransversarii lumborum' do not yet exist in UBERON, so no exact named-muscle parent is available; the dorsal part has been placed under genus UBERON:0001630 (muscle organ) and part_of UBERON:0001137 (dorsum/back) by analogy with other deep back muscles such as longissimus, spinalis, and rotator muscle of the vertebral column. The bone-landmark 'accessory process of lumbar vertebra' is not in UBERON, so the more general UBERON:0001077 (transverse process of vertebra) is used for has_muscle_origin (the accessory process is a small projection on the posterior aspect of the transverse process region).	Curator should: (1) consider adding parent terms 'intertransversarii lumborum muscle group' and 'intertransversarii laterales lumborum muscle' to UBERON (FMA:32576, FMA:32577) so this dorsal part can be made part_of its true named-muscle parent; (2) optionally add 'accessory process of lumbar vertebra' (FMA:34047) for a more precise has_muscle_origin; (3) consider whether a 'muscle of vertebral column' is_a (UBERON:0004518) is preferable to the generic muscle organ once the parent muscle exists.
unresolvable_neuromeningeal_trunk	source parent 'neuromeningeal trunk'	Wrong-domain parent label supplied by source. 'Neuromeningeal trunk' refers to a nerve trunk (a branch arrangement of the glossopharyngeal/vagus or ascending pharyngeal artery's neuromeningeal trunk), not to any muscle structure. It cannot serve as a parent for a muscle belly.	Discard the source parent label. The child term 'occipital belly of occipitofrontalis muscle' is already represented as UBERON:0010947 (occipitalis), with is_a UBERON:0010938 (muscle belly) and part_of UBERON:0010946 (occipitofrontalis muscle). Exclude this row from the NTR template; add 'occipital belly of occipitofrontalis muscle' as an EXACT synonym on UBERON:0010947 if not already exhaustively covered (current EXACT synonym is 'occipital belly of occipitofrontalis' — adding the trailing 'muscle' variant may be useful).
unresolvable_respiratory_diaphragm_muscle	sternal part of respiratory diaphragm muscle	Source parent label 'respiratory diaphragm muscle' has no exact UBERON match but maps to UBERON:0001103 (diaphragm) which has synonym 'diaphragm muscle' (BTO:0000341).	Resolved to UBERON:0001103 (diaphragm). Precedent: sibling term 'costal diaphragm' (UBERON:0035831, FMA:58277) uses is_a UBERON:0000063 (organ subunit) + part_of UBERON:0001103. Same pattern applied here.
unresolvable_segmental_back_muscle	segmental back muscle (ASCTB-TEMP parent label)	No UBERON class for 'segmental back muscle' as a grouping; OLS4 search found no muscle-level intertransversarii classes in UBERON (only AAO-derived amphibian terms UBERON:3010664/3010667 for m. intertransversarius capitis). Used UBERON:0014892 (skeletal muscle organ, vertebrate) as genus and the specific vertebral-column region (UBERON:0006072/0006073/0006074) as part_of differentiator, with UBERON:0002324 'muscle of back' retained in resolved_parents as the recommended fallback structural parent.	Curator may add a grouping class 'segmental back muscle' (a subclass of UBERON:0002324 muscle of back, has_part some intertransversarius/interspinalis/rotator) in a future iteration; not required for these leaf terms.
unresolvable_submucosal_artery_of_colon	rectus capitius posterior minor muscle	Input file was named 'unresolvable_submucosal_artery_of_colon.json' and listed parent_id UNRESOLVABLE:'submucosal artery of colon' for both is_a and part_of. That parent is wrong-domain (a colonic artery) for a suboccipital skeletal muscle and appears to be a pipeline mislabel.	Disregard the bogus 'submucosal artery of colon' parent. The term itself is a confirmed match to UBERON:0008455 (rectus capitis posterior minor); no new term is needed. Had a new term been required, the correct parents would have been: is_a UBERON:0004518 (muscle of vertebral column) and part_of UBERON:0000974 (neck), mirroring the other rectus capitis muscles.
unresolvable_supraperiosteal_arteriole	inferior head of lateral pterygoid muscle	Source parent label 'supraperiosteal arteriole' is wrong-domain (a vascular structure) for this masticatory muscle head; the parent was overridden based on the child term itself.	Use UBERON:0011906 (muscle head) as genus and UBERON:0006719 (lateral pterygoid muscle) as part_of; this mirrors the UBERON pattern for UBERON:0007168 (long head of biceps brachii) and similar muscle-head terms.
unresolvable_thoracic_wall_muscle	parent: thoracic wall muscle	Source-assigned grouping parent 'thoracic wall muscle' has no exact UBERON equivalent. The closest grouping classes in UBERON are UBERON:0002426 (chest muscle) and UBERON:0016403 (thoracic wall, anatomical region). However, the specific parent muscle 'levator costarum' (UBERON:8410070) already exists in UBERON and is itself is_a UBERON:0002426 ! chest muscle, so the chain is preserved.	Use part_of UBERON:8410070 (levator costarum) as the immediate containing structure; is_a UBERON:0014892 (skeletal muscle organ, vertebrate) supplies the genus class. The thoracic-wall-muscle grouping is implicit via the parent muscle's own is_a chain. No new grouping term is required.
