defined_class	parent_class	jaw_region	laterality	synonym	FMA_xref	FMA_label	taxon	creator	date_created		human_preferred
UBERON:8490036	UBERON:0018578	UBERON:0001710	left	ADA tooth 19|FDI tooth 36	FMA:55704	left lower first secondary molar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490037	UBERON:0018574	UBERON:0001710	left	ADA tooth 20|FDI tooth 35	FMA:55692	left lower second secondary premolar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490038	UBERON:0018573	UBERON:0001710	left	ADA tooth 21|FDI tooth 34	FMA:55693	left lower first secondary premolar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490039	UBERON:0018562	UBERON:0001710	left	ADA tooth 22|FDI tooth 33	FMA:55687	left lower secondary canine tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490040	UBERON:0018570	UBERON:0001710	left	ADA tooth 23|FDI tooth 32	FMA:57141	left lower lateral secondary incisor tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490041	UBERON:0018568	UBERON:0001710	left	ADA tooth 24|FDI tooth 31	FMA:57143	left lower central secondary incisor tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490042	UBERON:0018599	UBERON:0001709	left	ADA tooth J|FDI tooth 65	FMA:84241	left upper second primary molar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490043	UBERON:0018588	UBERON:0001709	left	ADA tooth I|FDI tooth 64	FMA:84239	left upper first primary molar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490044	UBERON:0018597	UBERON:0001709	left	ADA tooth H|FDI tooth 63	FMA:84231	left upper primary canine tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490045	UBERON:0018594	UBERON:0001709	left	ADA tooth G|FDI tooth 62	FMA:84223	left upper lateral primary incisor tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490046	UBERON:0018593	UBERON:0001709	left	ADA tooth F|FDI tooth 61	FMA:84221	left upper central primary incisor tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490047	UBERON:0018600	UBERON:0001710	left	ADA tooth K|FDI tooth 75	FMA:84245	left lower second primary molar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490048	UBERON:0018589	UBERON:0001710	left	ADA tooth L|FDI tooth 74	FMA:84243	left lower first primary molar tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490049	UBERON:0018598	UBERON:0001710	left	ADA tooth M|FDI tooth 73	FMA:84233	left lower primary canine tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490050	UBERON:0018596	UBERON:0001710	left	ADA tooth N|FDI tooth 72	FMA:84227	left lower lateral primary incisor tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
UBERON:8490051	UBERON:0018595	UBERON:0001710	left	ADA tooth O|FDI tooth 71	FMA:84225	left lower central primary incisor tooth	http://purl.obolibrary.org/obo/NCBITaxon_9606	https://orcid.org/0000-0001-9625-1899	2022-11-18T00:00:00Z		obo:uberon/core#HUMAN_PREFERRED
