Uberon Label	Uberon Id	EFO LABEL(S)	MAPPING TYPE	ONTOLOGY TERM(S)	ONTOLOGY(S)	Comment
chest	UBERON:0001443	thorax	Automatic	EFO_0000965	http://www.ebi.ac.uk/efo/	y
fibula	UBERON:0001446	fibula	Automatic	EFO_0003052	http://www.ebi.ac.uk/efo/	y
elbow	UBERON:0001461	elbow	Automatic	EFO_0003069	http://www.ebi.ac.uk/efo/	y
knee	UBERON:0001465	knee joint	Automatic	EFO_0001957	http://www.ebi.ac.uk/efo/	y
shoulder	UBERON:0001467	shoulder	Automatic	EFO_0003068	http://www.ebi.ac.uk/efo/	y
lymphatic vessel	UBERON:0001473	lymph vessel	Automatic	EFO_0000873	http://www.ebi.ac.uk/efo/	y
deltoid	UBERON:0001476	deltoid	Automatic	EFO_0001412	http://www.ebi.ac.uk/efo/	y
knee joint	UBERON:0001485	knee joint	Automatic	EFO_0001957	http://www.ebi.ac.uk/efo/	y
thoracic aorta	UBERON:0001515	thoracic aorta	Automatic	EFO_0002525	http://www.ebi.ac.uk/efo/	y
brachiocephalic artery	UBERON:0001529	brachiocephalic artery	Automatic	EFO_0002550	http://www.ebi.ac.uk/efo/	y
masseter muscle	UBERON:0001597	masseter muscle	Automatic	EFO_0001424	http://www.ebi.ac.uk/efo/	y
artery	UBERON:0001637	artery	Automatic	EFO_0000814	http://www.ebi.ac.uk/efo/	y
vein	UBERON:0001638	vein	Automatic	EFO_0000816	http://www.ebi.ac.uk/efo/	y
trigeminal ganglion	UBERON:0001675	trigeminal ganglion	Automatic	EFO_0000903	http://www.ebi.ac.uk/efo/	y
mandible	UBERON:0001684	mandible	Automatic	EFO_0001965	http://www.ebi.ac.uk/efo/	y
orbital region	UBERON:0001697	eye structure	Automatic	EFO_0000827	http://www.ebi.ac.uk/efo/	y
nail	UBERON:0001705	nail	Automatic	EFO_0000956	http://www.ebi.ac.uk/efo/	y
oculomotor nuclear complex	UBERON:0001715	oculomotor nucleus	Automatic	EFO_0002468	http://www.ebi.ac.uk/efo/	y
tongue	UBERON:0001723	tongue	Automatic	EFO_0000833	http://www.ebi.ac.uk/efo/	y
oropharynx	UBERON:0001729	oropharynx	Automatic	EFO_0001976	http://www.ebi.ac.uk/efo/	y
uvula	UBERON:0001734	uvula	Automatic	EFO_0001386	http://www.ebi.ac.uk/efo/	y
submandibular gland	UBERON:0001736	submandibular gland	Automatic	EFO_0001387	http://www.ebi.ac.uk/efo/	y
larynx	UBERON:0001737	larynx	Automatic	EFO_0000838	http://www.ebi.ac.uk/efo/	y
iris	UBERON:0001769	iris	Automatic	EFO_0004245	http://www.ebi.ac.uk/efo/	y
conjunctiva	UBERON:0001811	conjunctiva structure	Automatic	EFO_0000374	http://www.ebi.ac.uk/efo/	y
lacrimal gland	UBERON:0001817	lacrimal gland	Automatic	EFO_0001389	http://www.ebi.ac.uk/efo/	y
gingiva	UBERON:0001828	gum	Automatic	EFO_0001925	http://www.ebi.ac.uk/efo/	y
saliva	UBERON:0001836	saliva	Automatic	BTO_0001202	http://purl.org/obo/owl/BTO#	y
cochlea	UBERON:0001844	cochlea structure	Automatic	EFO_0000357	http://www.ebi.ac.uk/efo/	y
cerebral hemisphere	UBERON:0001869	cerebral hemisphere	Automatic	EFO_0002521	http://www.ebi.ac.uk/efo/	y
parietal lobe	UBERON:0001872	parietal lobe	Automatic	EFO_0000914	http://www.ebi.ac.uk/efo/	y
caudate nucleus	UBERON:0001873	caudate nucleus	Automatic	EFO_0000907	http://www.ebi.ac.uk/efo/	y
putamen	UBERON:0001874	caudate putamen	Automatic	EFO_0001912	http://www.ebi.ac.uk/efo/	y
globus pallidus	UBERON:0001875	globus pallidus	Automatic	EFO_0000905	http://www.ebi.ac.uk/efo/	y
amygdala	UBERON:0001876	amygdala	Automatic	EFO_0000252	http://www.ebi.ac.uk/efo/	y
bed nucleus of stria terminalis	UBERON:0001880	nucleus of terminal stria	Automatic	EFO_0001971	http://www.ebi.ac.uk/efo/	y
nucleus accumbens	UBERON:0001882	accumbens nucleus	Automatic	EFO_0000906	http://www.ebi.ac.uk/efo/	y
choroid plexus	UBERON:0001886	choroid plexus	Automatic	EFO_0001915	http://www.ebi.ac.uk/efo/	y
forebrain	UBERON:0001890	forebrain	Automatic	EFO_0000909	http://www.ebi.ac.uk/efo/	y
midbrain	UBERON:0001891	midbrain	Automatic	EFO_0000919	http://www.ebi.ac.uk/efo/	y
rhombomere	UBERON:0001892	rhombomere	Automatic	EFO_0003617	http://www.ebi.ac.uk/efo/	y
telencephalon	UBERON:0001893	telencephalon	Automatic	EFO_0000912	http://www.ebi.ac.uk/efo/	y
diencephalon	UBERON:0001894	diencephalon	Automatic	EFO_0000911	http://www.ebi.ac.uk/efo/	y
medulla oblongata	UBERON:0001896	medulla oblongata	Automatic	EFO_0000924	http://www.ebi.ac.uk/efo/	y
thalamus	UBERON:0001897	thalamus	Automatic	EFO_0000910	http://www.ebi.ac.uk/efo/	y
hypothalamus	UBERON:0001898	hypothalamus	Automatic	EFO_0000107	http://www.ebi.ac.uk/efo/	y
epithalamus	UBERON:0001899	epithalamus	Automatic	EFO_0000918	http://www.ebi.ac.uk/efo/	y
subthalamic nucleus	UBERON:0001906	subthalamic nucleus	Automatic	EFO_0001392	http://www.ebi.ac.uk/efo/	y
medial geniculate body	UBERON:0001927	medial geniculate nucleus	Automatic	EFO_0001968	http://www.ebi.ac.uk/efo/	y
preoptic area	UBERON:0001928	preoptic area	Automatic	EFO_0002523	http://www.ebi.ac.uk/efo/	y
supraoptic nucleus	UBERON:0001929	supraoptic nucleus	Automatic	EFO_0002476	http://www.ebi.ac.uk/efo/	y
superior colliculus	UBERON:0001945	superior colliculus	Automatic	EFO_0002474	http://www.ebi.ac.uk/efo/	y
inferior colliculus	UBERON:0001946	inferior colliculus	Automatic	EFO_0002465	http://www.ebi.ac.uk/efo/	y
capillary	UBERON:0001982	capillary	Automatic	EFO_0001906	http://www.ebi.ac.uk/efo/	y
endothelium	UBERON:0001986	endothelium	Automatic	EFO_0002548	http://www.ebi.ac.uk/efo/	y
placenta	UBERON:0001987	placenta	Automatic	EFO_0001407	http://www.ebi.ac.uk/efo/	y
superior cervical ganglion	UBERON:0001989	superior cervical ganglion	Automatic	EFO_0001945	http://www.ebi.ac.uk/efo/	y
olfactory epithelium	UBERON:0001997	olfactory epithelium	Automatic	EFO_0001972	http://www.ebi.ac.uk/efo/	y
occipital lobe	UBERON:0002021	occipital lobe	Automatic	EFO_0000915	http://www.ebi.ac.uk/efo/	y
hindbrain	UBERON:0002028	hindbrain	Automatic	EFO_0000923	http://www.ebi.ac.uk/efo/	y
suprachiasmatic nucleus	UBERON:0002034	suprachiasmatic nucleus	Automatic	EFO_0002475	http://www.ebi.ac.uk/efo/	y
cerebellum	UBERON:0002037	cerebellum	Automatic	EFO_0000327	http://www.ebi.ac.uk/efo/	y
substantia nigra	UBERON:0002038	substantia nigra	Automatic	EFO_0000922	http://www.ebi.ac.uk/efo/	y
lung	UBERON:0002048	lung	Automatic	EFO_0000934	http://www.ebi.ac.uk/efo/	y
umbilical vein	UBERON:0002066	umbilical vein	Automatic	EFO_0001940	http://www.ebi.ac.uk/efo/	y
dermis	UBERON:0002067	dermis	Automatic	EFO_0000953	http://www.ebi.ac.uk/efo/	y
interventricular septum	UBERON:0002094	interventricular septum	Automatic	EFO_0001956	http://www.ebi.ac.uk/efo/	y
trunk	UBERON:0002100	trunk	Automatic	EFO_0000966	http://www.ebi.ac.uk/efo/	y
limb	UBERON:0002101	vertebrate limb	Automatic	EFO_0000876	http://www.ebi.ac.uk/efo/	y
forelimb	UBERON:0002102	forelimb	Automatic	EFO_0000882	http://www.ebi.ac.uk/efo/	y
hindlimb	UBERON:0002103	hindlimb	Automatic	EFO_0000883	http://www.ebi.ac.uk/efo/	y
spleen	UBERON:0002106	spleen	Automatic	EFO_0000869	http://www.ebi.ac.uk/efo/	y
liver	UBERON:0002107	liver	Automatic	EFO_0000887	http://www.ebi.ac.uk/efo/	y
gallbladder	UBERON:0002110	gall bladder	Automatic	EFO_0000853	http://www.ebi.ac.uk/efo/	y
kidney	UBERON:0002113	kidney	Automatic	EFO_0000929	http://www.ebi.ac.uk/efo/	y
duodenum	UBERON:0002114	duodenum	Automatic	EFO_0000851	http://www.ebi.ac.uk/efo/	y
jejunum	UBERON:0002115	jejunum	Automatic	EFO_0001333	http://www.ebi.ac.uk/efo/	y
ileum	UBERON:0002116	ileum	Automatic	EFO_0001334	http://www.ebi.ac.uk/efo/	y
pronephros	UBERON:0002120	pronephros	Automatic	EFO_0000927	http://www.ebi.ac.uk/efo/	y
mitral valve	UBERON:0002135	mitral valve	Automatic	EFO_0003933	http://www.ebi.ac.uk/efo/	y
locus ceruleus	UBERON:0002148	locus coeruleus	Automatic	EFO_0001963	http://www.ebi.ac.uk/efo/	y
endocardium	UBERON:0002165	endocardium	Automatic	EFO_0000821	http://www.ebi.ac.uk/efo/	y
bronchus	UBERON:0002185	bronchus	Automatic	EFO_0000932	http://www.ebi.ac.uk/efo/	y
subcutaneous adipose tissue	UBERON:0002190	abdominal fat	Automatic	EFO_0003771	http://www.ebi.ac.uk/efo/	y
adenohypophysis	UBERON:0002196	adenohypophysis	Automatic	EFO_0000230	http://www.ebi.ac.uk/efo/	y
chondrocranium	UBERON:0002241	chondrocranium cartilage	Automatic	EFO_0003690	http://www.ebi.ac.uk/efo/	y
vomeronasal organ	UBERON:0002255	vomeronasal organ	Automatic	EFO_0001934	http://www.ebi.ac.uk/efo/	y
olfactory bulb	UBERON:0002264	olfactory lobe	Automatic	EFO_0000108	http://www.ebi.ac.uk/efo/	y
telencephalic ventricle	UBERON:0002285	telencephalic ventricle	Automatic	EFO_0003562	http://www.ebi.ac.uk/efo/	y
brainstem	UBERON:0002298	brain stem	Automatic	EFO_0001962	http://www.ebi.ac.uk/efo/	y
midbrain tectum	UBERON:0002314	tectum	Automatic	EFO_0000920	http://www.ebi.ac.uk/efo/	y
notochord	UBERON:0002328	axial chorda mesoderm	Automatic	EFO_0003426	http://www.ebi.ac.uk/efo/	y
umbilical cord	UBERON:0002331	umbilical cord	Automatic	EFO_0001415	http://www.ebi.ac.uk/efo/	y
corpus callosum	UBERON:0002336	corpus callosum	Automatic	EFO_0001390	http://www.ebi.ac.uk/efo/	y
descending thoracic aorta	UBERON:0002345	descending thoracic aorta	Automatic	EFO_0002527	http://www.ebi.ac.uk/efo/	y
neurectoderm	UBERON:0002346	presumptive neural plate	Automatic	EFO_0003424	http://www.ebi.ac.uk/efo/	y
myocardium	UBERON:0002349	myocardium	Automatic	EFO_0000819	http://www.ebi.ac.uk/efo/	y
atrioventricular node	UBERON:0002352	atrioventricular node	Automatic	EFO_0000276	http://www.ebi.ac.uk/efo/	y
pelvis	UBERON:0002355	pelvis	Automatic	EFO_0002805	http://www.ebi.ac.uk/efo/	y
perineum	UBERON:0002356	perineum	Automatic	EFO_0004141	http://www.ebi.ac.uk/efo/	y
meninx	UBERON:0002360	meninges	Automatic	EFO_0000867	http://www.ebi.ac.uk/efo/	y
thymus	UBERON:0002370	thymus	Automatic	EFO_0000860	http://www.ebi.ac.uk/efo/	y
tonsil	UBERON:0002372	tonsil	Automatic	EFO_0001401	http://www.ebi.ac.uk/efo/	y
palatine tonsil	UBERON:0002373	palatine tonsil	Automatic	EFO_0001977	http://www.ebi.ac.uk/efo/	y
lymph	UBERON:0002391	lymph	Automatic	EFO_0000871	http://www.ebi.ac.uk/efo/	y
talus	UBERON:0002395	ankle	Automatic	EFO_0001409	http://www.ebi.ac.uk/efo/	y
pericardial sac	UBERON:0002406	pericardium	Automatic	EFO_0000820	http://www.ebi.ac.uk/efo/	y
vertebra	UBERON:0002412	vertebra	Automatic	EFO_0001371	http://www.ebi.ac.uk/efo/	y
tail	UBERON:0002415	tail	Automatic	EFO_0000963	http://www.ebi.ac.uk/efo/	y
striatum	UBERON:0002435	corpus striatum	Automatic	EFO_0000381	http://www.ebi.ac.uk/efo/	y
ventral tegmental nucleus	UBERON:0002438	ventral tegmental area	Automatic	EFO_0001935	http://www.ebi.ac.uk/efo/	y
zeugopod	UBERON:0002471	zeugopod	Automatic	EFO_0000878	http://www.ebi.ac.uk/efo/	y
stylopod	UBERON:0002472	stylopod	Automatic	EFO_0000879	http://www.ebi.ac.uk/efo/	y
otolith organ	UBERON:0002518	otolith organ	Automatic	EFO_0003539	http://www.ebi.ac.uk/efo/	y
mediastinal lymph node	UBERON:0002524	mediastinal lymph node	Automatic	EFO_0001670	http://www.ebi.ac.uk/efo/	y
gland	UBERON:0002530	gland	Automatic	EFO_0000797	http://www.ebi.ac.uk/efo/	y
tail bud	UBERON:0002533	tail bud	Automatic	EFO_0002748	http://www.ebi.ac.uk/efo/	y
gill	UBERON:0002535	gill	Automatic	EFO_0000933	http://www.ebi.ac.uk/efo/	y
hermaphrodite gonad	UBERON:0002537	hermaphrodite gonad	Automatic	EFO_0000971	http://www.ebi.ac.uk/efo/	y
scale	UBERON:0002542	scale	Automatic	EFO_0000960	http://www.ebi.ac.uk/efo/	y
digit	UBERON:0002544	digit	Automatic	EFO_0000881	http://www.ebi.ac.uk/efo/	y
tadpole	UBERON:0002547	larval stage	Automatic	EFO_0001303	http://www.ebi.ac.uk/efo/	y
larva	UBERON:0002548	larval stage	Automatic	EFO_0001303	http://www.ebi.ac.uk/efo/	y
temporal pole	UBERON:0002576	temporal lobe	Automatic	EFO_0000917	http://www.ebi.ac.uk/efo/	y
postcentral gyrus	UBERON:0002581	postcentral gyrus	Automatic	EFO_0001383	http://www.ebi.ac.uk/efo/	y
cerebral peduncle	UBERON:0002623	cerebral peduncle	Automatic	EFO_0001987	http://www.ebi.ac.uk/efo/	y
superior frontal gyrus	UBERON:0002661	superior frontal gyrus	Automatic	EFO_0001991	http://www.ebi.ac.uk/efo/	y
ventral tegmental area	UBERON:0002691	ventral tegmental area	Automatic	EFO_0001935	http://www.ebi.ac.uk/efo/	y
precentral gyrus	UBERON:0002703	precentral gyrus	Automatic	EFO_0001373	http://www.ebi.ac.uk/efo/	y
entorhinal area	UBERON:0002728	entorhinal cortex	Automatic	EFO_0001920	http://www.ebi.ac.uk/efo/	y
superior temporal gyrus	UBERON:0002769	superior temporal gyrus	Automatic	EFO_0001944	http://www.ebi.ac.uk/efo/	y
middle temporal gyrus	UBERON:0002771	middle temporal gyrus	Automatic	EFO_0002466	http://www.ebi.ac.uk/efo/	y
lumbar spinal cord	UBERON:0002792	spinal cord	Automatic	EFO_0000110	http://www.ebi.ac.uk/efo/	y
frontal pole	UBERON:0002795	frontal lobe	Automatic	EFO_0000913	http://www.ebi.ac.uk/efo/	y
left parietal lobe	UBERON:0002802	parietal lobe	Automatic	EFO_0000914	http://www.ebi.ac.uk/efo/	y
right parietal lobe	UBERON:0002803	parietal lobe	Automatic	EFO_0000914	http://www.ebi.ac.uk/efo/	y
right frontal lobe	UBERON:0002810	frontal lobe	Automatic	EFO_0000913	http://www.ebi.ac.uk/efo/	y
left frontal lobe	UBERON:0002811	frontal lobe	Automatic	EFO_0000913	http://www.ebi.ac.uk/efo/	y
cingulate cortex	UBERON:0003027	cingulate cortex	Automatic	EFO_0000343	http://www.ebi.ac.uk/efo/	y
midbrain-hindbrain boundary	UBERON:0003052	presumptive midbrain hindbrain boundary	Automatic	EFO_0003446	http://www.ebi.ac.uk/efo/	y
hypochord	UBERON:0003058	hypochord	Automatic	EFO_0003475	http://www.ebi.ac.uk/efo/	y
presomitic mesoderm	UBERON:0003059	presomitic mesoderm	Automatic	EFO_0001982	http://www.ebi.ac.uk/efo/	y
ciliary marginal zone	UBERON:0003065	ciliary marginal zone	Automatic	EFO_0003668	http://www.ebi.ac.uk/efo/	y
otic placode	UBERON:0003069	otic placode	Automatic	EFO_0003429	http://www.ebi.ac.uk/efo/	y
trigeminal placode	UBERON:0003070	trigeminal placode	Automatic	EFO_0003433	http://www.ebi.ac.uk/efo/	y
lens placode	UBERON:0003073	lens placode	Automatic	EFO_0003494	http://www.ebi.ac.uk/efo/	y
paraxial mesoderm	UBERON:0003077	paraxial mesoderm	Automatic	EFO_0003515	http://www.ebi.ac.uk/efo/	y
epibranchial placode	UBERON:0003078	epibranchial placode	Automatic	EFO_0003455	http://www.ebi.ac.uk/efo/	y
trunk neural crest	UBERON:0003083	trunk neural crest	Automatic	EFO_0003605	http://www.ebi.ac.uk/efo/	y
cranial neural crest	UBERON:0003099	cranial neural crest	Automatic	EFO_0003645	http://www.ebi.ac.uk/efo/	y
chorion	UBERON:0003124	chorion	Automatic	EFO_0002780	http://www.ebi.ac.uk/efo/	y
trachea	UBERON:0003126	trachea	Automatic	EFO_0000935	http://www.ebi.ac.uk/efo/	y
cranium	UBERON:0003128	cranium	Automatic	EFO_0000831	http://www.ebi.ac.uk/efo/	y
pupa	UBERON:0003143	pupa	Automatic	EFO_0002684	http://www.ebi.ac.uk/efo/	y
alveolus	UBERON:0003215	alveolus	Automatic	EFO_0002513	http://www.ebi.ac.uk/efo/	y
hindlimb muscle	UBERON:0003663	hindlimb muscle	Automatic	EFO_0001928	http://www.ebi.ac.uk/efo/	y
sacrum	UBERON:0003690	sacrum	Automatic	EFO_0003071	http://www.ebi.ac.uk/efo/	y
mediastinum	UBERON:0003728	mediastinum	Automatic	EFO_0003057	http://www.ebi.ac.uk/efo/	y
mesencephalic neural crest	UBERON:0003849	neural crest midbrain	Automatic	EFO_0003591	http://www.ebi.ac.uk/efo/	y
telencephalon neural crest	UBERON:0003850	neural crest telencephalon	Automatic	EFO_0003574	http://www.ebi.ac.uk/efo/	y
diencephalon neural crest	UBERON:0003851	neural crest diencephalon	Automatic	EFO_0003573	http://www.ebi.ac.uk/efo/	y
fallopian tube	UBERON:0003889	oviduct	Automatic	EFO_0000974	http://www.ebi.ac.uk/efo/	y
