#curie_map:
#  FBbt: "http://purl.obolibrary.org/obo/FBbt_"
#  ORCID: "https://orcid.org/"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  obo: "http://purl.obolibrary.org/obo/"
#mapping_set_id: "http://purl.obolibrary.org/obo/fbbt/fbbt-mappings.sssom.tsv"
#mapping_set_description: "Mappings between the Drosophila Anatomy Ontology and foreign ontologies."
#creator_id:
#  - "ORCID:0000-0002-1373-1705"
#  - "ORCID:0000-0002-6095-8718"
#license: "https://creativecommons.org/licenses/by/4.0/"
#subject_source: "obo:fbbt.owl"
#object_source: "obo:uberon/core.owl"
#mapping_date: "2024-07-12"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
FBbt:00000123	amnioproctodeal invagination	semapv:crossSpeciesExactMatch	UBERON:0000931	proctodeum	semapv:ManualMappingCuration	
FBbt:00000125	endoderm	semapv:crossSpeciesExactMatch	UBERON:0000925	endoderm	semapv:ManualMappingCuration	
FBbt:00000126	mesoderm	semapv:crossSpeciesExactMatch	UBERON:0000926	mesoderm	semapv:ManualMappingCuration	
FBbt:00000128	trunk mesoderm	semapv:crossSpeciesExactMatch	UBERON:6000128	insect trunk mesoderm	semapv:ManualMappingCuration	
FBbt:00000130	visceral mesoderm	semapv:crossSpeciesExactMatch	UBERON:6000130	insect visceral mesoderm	semapv:ManualMappingCuration	
FBbt:00000136	mesectoderm	semapv:crossSpeciesExactMatch	UBERON:0000927	mesectoderm	semapv:ManualMappingCuration	
FBbt:00000137	embryonic tagma	semapv:crossSpeciesExactMatch	UBERON:6000137	embryonic tagma	semapv:ManualMappingCuration	
FBbt:00000154	embryonic segment	semapv:crossSpeciesExactMatch	UBERON:6000154	insect embryonic segment	semapv:ManualMappingCuration	
FBbt:00000155	embryonic head	semapv:crossSpeciesExactMatch	UBERON:0008816	embryonic head	semapv:ManualMappingCuration	
FBbt:00000157	embryonic head segment	semapv:crossSpeciesExactMatch	UBERON:6000157	insect embryonic head segment	semapv:ManualMappingCuration	
FBbt:00000158	embryonic procephalic segment	semapv:crossSpeciesExactMatch	UBERON:6000158	insect embryonic procephalic segment	semapv:ManualMappingCuration	
FBbt:00000160	embryonic antennal segment	semapv:crossSpeciesExactMatch	UBERON:6000160	insect embryonic antennal segment	semapv:ManualMappingCuration	
FBbt:00000162	embryonic gnathal segment	semapv:crossSpeciesExactMatch	UBERON:6000162	insect embryonic gnathal segment	semapv:ManualMappingCuration	
FBbt:00000165	embryonic labial segment	semapv:crossSpeciesExactMatch	UBERON:6000165	insect embryonic labial segment	semapv:ManualMappingCuration	
FBbt:00000166	embryonic thorax	semapv:crossSpeciesExactMatch	UBERON:6000166	insect embryonic thorax	semapv:ManualMappingCuration	
FBbt:00000167	embryonic thoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000167	insect embryonic thoracic segment	semapv:ManualMappingCuration	
FBbt:00000168	embryonic prothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000168	insect embryonic prothoracic segment	semapv:ManualMappingCuration	
FBbt:00000169	embryonic mesothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000169	insect embryonic mesothoracic segment	semapv:ManualMappingCuration	
FBbt:00000170	embryonic metathoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000170	insect embryonic metathoracic segment	semapv:ManualMappingCuration	
FBbt:00000171	embryonic abdomen	semapv:crossSpeciesExactMatch	UBERON:6000171	insect embryonic abdomen	semapv:ManualMappingCuration	
FBbt:00000172	embryonic abdominal segment	semapv:crossSpeciesExactMatch	UBERON:6000172	insect embryonic abdominal segment	semapv:ManualMappingCuration	
FBbt:00000180	embryonic abdominal segment 8	semapv:crossSpeciesExactMatch	UBERON:6000180	insect embryonic abdominal segment 8	semapv:ManualMappingCuration	
FBbt:00000181	embryonic abdominal segment 9	semapv:crossSpeciesExactMatch	UBERON:6000181	insect embryonic abdominal segment 9	semapv:ManualMappingCuration	
FBbt:00000186	embryonic optic lobe primordium	semapv:crossSpeciesExactMatch	UBERON:6000186	insect embryonic optic lobe primordium	semapv:ManualMappingCuration	
FBbt:00000439	stomodeum	semapv:crossSpeciesExactMatch	UBERON:0000930	stomodeum	semapv:ManualMappingCuration	
FBbt:00001055	presumptive embryonic/larval nervous system	semapv:crossSpeciesExactMatch	UBERON:6001055	insect presumptive embryonic/larval nervous system	semapv:ManualMappingCuration	
FBbt:00001056	presumptive embryonic/larval central nervous system	semapv:crossSpeciesExactMatch	UBERON:6001056	insect presumptive embryonic/larval central nervous system	semapv:ManualMappingCuration	
FBbt:00001057	neurogenic region	semapv:crossSpeciesExactMatch	UBERON:0002346	neurectoderm	semapv:ManualMappingCuration	
FBbt:00001059	visual primordium	semapv:crossSpeciesExactMatch	UBERON:6001059	insect visual primordium	semapv:ManualMappingCuration	
FBbt:00001060	embryonic brain	semapv:crossSpeciesExactMatch	UBERON:6001060	insect embryonic brain	semapv:ManualMappingCuration	
FBbt:00001135	proneural cluster	semapv:crossSpeciesExactMatch	UBERON:6001135	insect proneural cluster	semapv:ManualMappingCuration	
FBbt:00001648	embryonic imaginal tissue	semapv:crossSpeciesExactMatch	UBERON:6001648	insect embryonic imaginal precursor	semapv:ManualMappingCuration	
FBbt:00001649	imaginal disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001649	insect imaginal disc primordium	semapv:ManualMappingCuration	
FBbt:00001650	labial disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001650	insect labial disc primordium	semapv:ManualMappingCuration	
FBbt:00001652	eye-antennal disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001652	insect eye-antennal disc primordium	semapv:ManualMappingCuration	
FBbt:00001653	dorsal thoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001653	insect dorsal thoracic disc primordium	semapv:ManualMappingCuration	
FBbt:00001655	dorsal mesothoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001655	insect dorsal mesothoracic disc primordium	semapv:ManualMappingCuration	
FBbt:00001656	dorsal metathoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001656	insect dorsal metathoracic disc primordium	semapv:ManualMappingCuration	
FBbt:00001657	ventral thoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001657	insect ventral thoracic disc primordium	semapv:ManualMappingCuration	
FBbt:00001658	ventral prothoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001658	insect ventral prothoracic disc primordium	semapv:ManualMappingCuration	
FBbt:00001661	genital disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001661	insect genital disc primordium	semapv:ManualMappingCuration	
FBbt:00001662	male genital disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001662	insect male genital disc primordium	semapv:ManualMappingCuration	
FBbt:00001663	female genital disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001663	insect female genital disc primordium	semapv:ManualMappingCuration	
FBbt:00001664	embryonic/larval circulatory system	semapv:crossSpeciesExactMatch	UBERON:6001664	insect embryonic/larval circulatory system	semapv:ManualMappingCuration	
FBbt:00001668	embryonic/larval lymph gland	semapv:crossSpeciesExactMatch	UBERON:6001668	insect embryonic/larval lymph gland	semapv:ManualMappingCuration	
FBbt:00001718	retrocerebral complex	semapv:crossSpeciesExactMatch	UBERON:0012325	retrocerebral complex	semapv:ManualMappingCuration	Uberon term commented as “will be ceded to arthropod anatomy ontology”
FBbt:00001722	ring gland	semapv:crossSpeciesExactMatch	UBERON:6001722	insect ring gland	semapv:ManualMappingCuration	
FBbt:00001727	larva	semapv:crossSpeciesExactMatch	UBERON:0002548	larva	semapv:ManualMappingCuration	
FBbt:00001728	larval tagma	semapv:crossSpeciesExactMatch	UBERON:6001728	insect larval tagma	semapv:ManualMappingCuration	
FBbt:00001729	larval segment	semapv:crossSpeciesExactMatch	UBERON:6001729	insect larval segment	semapv:ManualMappingCuration	
FBbt:00001730	larval head	semapv:crossSpeciesExactMatch	UBERON:6001730	insect larval head	semapv:ManualMappingCuration	
FBbt:00001731	larval ocular segment	semapv:crossSpeciesExactMatch	UBERON:6001731	insect larval ocular segment	semapv:ManualMappingCuration	
FBbt:00001732	larval head segment	semapv:crossSpeciesExactMatch	UBERON:6001732	insect larval head segment	semapv:ManualMappingCuration	
FBbt:00001733	larval procephalic segment	semapv:crossSpeciesExactMatch	UBERON:6001733	insect larval procephalic segment	semapv:ManualMappingCuration	
FBbt:00001734	larval labral segment	semapv:crossSpeciesExactMatch	UBERON:6001734	insect larval labral segment	semapv:ManualMappingCuration	
FBbt:00001735	larval antennal segment	semapv:crossSpeciesExactMatch	UBERON:6001735	insect larval antennal segment	semapv:ManualMappingCuration	
FBbt:00001737	larval gnathal segment	semapv:crossSpeciesExactMatch	UBERON:6001737	insect larval gnathal segment	semapv:ManualMappingCuration	
FBbt:00001740	larval labial segment	semapv:crossSpeciesExactMatch	UBERON:6001740	insect larval labial segment	semapv:ManualMappingCuration	
FBbt:00001741	larval thorax	semapv:crossSpeciesExactMatch	UBERON:6001741	insect larval thorax	semapv:ManualMappingCuration	
FBbt:00001742	larval thoracic segment	semapv:crossSpeciesExactMatch	UBERON:6001742	insect larval thoracic segment	semapv:ManualMappingCuration	
FBbt:00001743	larval prothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6001743	insect larval prothoracic segment	semapv:ManualMappingCuration	
FBbt:00001744	larval mesothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6001744	insect larval mesothoracic segment	semapv:ManualMappingCuration	
FBbt:00001745	larval metathoracic segment	semapv:crossSpeciesExactMatch	UBERON:6001745	insect larval metathoracic segment	semapv:ManualMappingCuration	
FBbt:00001746	larval abdomen	semapv:crossSpeciesExactMatch	UBERON:6001746	insect larval abdomen	semapv:ManualMappingCuration	
FBbt:00001747	larval abdominal segment	semapv:crossSpeciesExactMatch	UBERON:6001747	insect larval abdominal segment	semapv:ManualMappingCuration	
FBbt:00001755	larval abdominal segment 8	semapv:crossSpeciesExactMatch	UBERON:6001755	insect larval abdominal segment 8	semapv:ManualMappingCuration	
FBbt:00001756	larval abdominal segment 9	semapv:crossSpeciesExactMatch	UBERON:6001756	insect larval abdominal segment 9	semapv:ManualMappingCuration	
FBbt:00001760	larval imaginal tissue	semapv:crossSpeciesExactMatch	UBERON:6001760	insect embryonic/larval imaginal precursor	semapv:ManualMappingCuration	
FBbt:00001761	imaginal disc	semapv:crossSpeciesExactMatch	UBERON:0000939	imaginal disc	semapv:ManualMappingCuration	
FBbt:00001764	labial disc	semapv:crossSpeciesExactMatch	UBERON:6001764	insect labial disc	semapv:ManualMappingCuration	
FBbt:00001765	clypeo-labral disc	semapv:crossSpeciesExactMatch	UBERON:6001765	insect clypeo-labral disc	semapv:ManualMappingCuration	
FBbt:00001766	eye-antennal disc	semapv:crossSpeciesExactMatch	UBERON:6001766	insect eye-antennal disc	semapv:ManualMappingCuration	
FBbt:00001767	antennal disc	semapv:crossSpeciesExactMatch	UBERON:6001767	insect antennal disc	semapv:ManualMappingCuration	
FBbt:00001776	dorsal thoracic disc	semapv:crossSpeciesExactMatch	UBERON:6001776	insect dorsal thoracic disc	semapv:ManualMappingCuration	
FBbt:00001778	wing disc	semapv:crossSpeciesExactMatch	UBERON:6001778	insect wing disc	semapv:ManualMappingCuration	
FBbt:00001779	haltere disc	semapv:crossSpeciesExactMatch	UBERON:6001779	insect haltere disc	semapv:ManualMappingCuration	
FBbt:00001780	ventral thoracic disc	semapv:crossSpeciesExactMatch	UBERON:6001780	insect ventral thoracic disc	semapv:ManualMappingCuration	
FBbt:00001781	prothoracic leg disc	semapv:crossSpeciesExactMatch	UBERON:6001781	insect prothoracic leg disc	semapv:ManualMappingCuration	
FBbt:00001784	genital disc	semapv:crossSpeciesExactMatch	UBERON:6001784	insect genital disc	semapv:ManualMappingCuration	
FBbt:00001785	male genital disc	semapv:crossSpeciesExactMatch	UBERON:6001785	insect male genital disc	semapv:ManualMappingCuration	
FBbt:00001787	female genital disc	semapv:crossSpeciesExactMatch	UBERON:6001787	insect female genital disc	semapv:ManualMappingCuration	
FBbt:00001790	histoblast nest	semapv:crossSpeciesExactMatch	UBERON:6001790	insect histoblast nest	semapv:ManualMappingCuration	
FBbt:00001842	embryonic/larval digestive system	semapv:crossSpeciesExactMatch	UBERON:6001842	insect embryonic/larval digestive system	semapv:ManualMappingCuration	
FBbt:00001845	cephalopharyngeal skeleton	semapv:crossSpeciesExactMatch	UBERON:6001845	insect cephalopharyngeal skeleton	semapv:ManualMappingCuration	
FBbt:00001848	epipharyngeal sclerite	semapv:crossSpeciesExactMatch	UBERON:6001848	insect epipharyngeal sclerite	semapv:ManualMappingCuration	
FBbt:00001911	embryonic/larval nervous system	semapv:crossSpeciesExactMatch	UBERON:6001911	insect embryonic/larval nervous system	semapv:ManualMappingCuration	
FBbt:00001919	embryonic/larval central nervous system	semapv:crossSpeciesExactMatch	UBERON:6001919	insect embryonic/larval central nervous system	semapv:ManualMappingCuration	
FBbt:00001920	embryonic/larval brain	semapv:crossSpeciesExactMatch	UBERON:6001920	insect embryonic/larval brain	semapv:ManualMappingCuration	
FBbt:00001925	embryonic/larval protocerebrum	semapv:crossSpeciesExactMatch	UBERON:6001925	insect embryonic/larval protocerebrum	semapv:ManualMappingCuration	
FBbt:00001956	optic nerve	semapv:crossSpeciesExactMatch	UBERON:0004904	neuron projection bundle connecting eye with brain	semapv:ManualMappingCuration	
FBbt:00002639	embryonic/larval sense organ	semapv:crossSpeciesExactMatch	UBERON:6002639	insect larval sense organ	semapv:ManualMappingCuration	
FBbt:00002642	embryonic/larval ocular segment sensillum	semapv:crossSpeciesExactMatch	UBERON:6002642	insect embryonic/larval ocular segment sensillum	semapv:ManualMappingCuration	
FBbt:00002952	prepupa	semapv:crossSpeciesExactMatch	UBERON:0003142	prepupa	semapv:ManualMappingCuration	
FBbt:00002953	pupa	semapv:crossSpeciesExactMatch	UBERON:0003143	pupa	semapv:ManualMappingCuration	
FBbt:00003004	adult	semapv:crossSpeciesExactMatch	UBERON:0007023	adult organism	semapv:ManualMappingCuration	
FBbt:00003005	adult tagma	semapv:crossSpeciesExactMatch	UBERON:6003005	insect adult tagma	semapv:ManualMappingCuration	
FBbt:00003006	adult segment	semapv:crossSpeciesExactMatch	UBERON:6003006	insect adult segment	semapv:ManualMappingCuration	
FBbt:00003007	adult head	semapv:crossSpeciesExactMatch	UBERON:6003007	insect adult head	semapv:ManualMappingCuration	
FBbt:00003009	adult head segment	semapv:crossSpeciesExactMatch	UBERON:6003009	insect adult head segment	semapv:ManualMappingCuration	
FBbt:00003010	adult procephalic segment	semapv:crossSpeciesExactMatch	UBERON:6003010	insect adult procephalic segment	semapv:ManualMappingCuration	
FBbt:00003011	adult labral segment	semapv:crossSpeciesExactMatch	UBERON:6003011	insect adult labral segment	semapv:ManualMappingCuration	
FBbt:00003012	adult antennal segment	semapv:crossSpeciesExactMatch	UBERON:6003012	insect adult antennal segment	semapv:ManualMappingCuration	
FBbt:00003018	adult thorax	semapv:crossSpeciesExactMatch	UBERON:6003018	insect adult thorax	semapv:ManualMappingCuration	
FBbt:00003019	adult thoracic segment	semapv:crossSpeciesExactMatch	UBERON:6003019	insect adult thoracic segment	semapv:ManualMappingCuration	
FBbt:00003020	adult prothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6003020	insect adult prothoracic segment	semapv:ManualMappingCuration	
FBbt:00003021	adult mesothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6003021	insect adult mesothoracic segment	semapv:ManualMappingCuration	
FBbt:00003023	adult abdomen	semapv:crossSpeciesExactMatch	UBERON:6003023	insect adult abdomen	semapv:ManualMappingCuration	
FBbt:00003024	adult abdominal segment	semapv:crossSpeciesExactMatch	UBERON:6003024	insect adult abdominal segment	semapv:ManualMappingCuration	
FBbt:00003039	adult dorsal trunk	semapv:crossSpeciesExactMatch	UBERON:6003039	dorsal trunk of insect trachea	semapv:ManualMappingCuration	
FBbt:00003125	alimentary canal	semapv:crossSpeciesExactMatch	UBERON:0001555	digestive tract	semapv:ManualMappingCuration	
FBbt:00003126	adult mouth	semapv:crossSpeciesExactMatch	UBERON:0000165	mouth	semapv:ManualMappingCuration	
FBbt:00003154	adult heart	semapv:crossSpeciesExactMatch	UBERON:0015230	dorsal vessel heart	semapv:ManualMappingCuration	FBbt is missing a stage-neutral ‘heart’
FBbt:00003259	adult somatic muscle	semapv:crossSpeciesExactMatch	UBERON:6003259	insect adult somatic muscle	semapv:ManualMappingCuration	
FBbt:00003559	adult nervous system	semapv:crossSpeciesExactMatch	UBERON:6003559	insect adult nervous system	semapv:ManualMappingCuration	
FBbt:00003623	adult central nervous system	semapv:crossSpeciesExactMatch	UBERON:6003623	insect adult central nervous system	semapv:ManualMappingCuration	
FBbt:00003624	adult brain	semapv:crossSpeciesExactMatch	UBERON:6003624	insect adult brain	semapv:ManualMappingCuration	
FBbt:00003626	supraesophageal ganglion	semapv:crossSpeciesExactMatch	UBERON:6003626	insect supraesophageal ganglion	semapv:ManualMappingCuration	
FBbt:00003627	protocerebrum	semapv:crossSpeciesExactMatch	UBERON:6003627	insect protocerebrum	semapv:ManualMappingCuration	
FBbt:00003632	adult central complex	semapv:crossSpeciesExactMatch	UBERON:6003632	insect adult central complex	semapv:ManualMappingCuration	
FBbt:00003701	adult optic lobe	semapv:crossSpeciesExactMatch	UBERON:0006795	arthropod optic lobe	semapv:ManualMappingCuration	
FBbt:00004114	head sensillum	semapv:crossSpeciesExactMatch	UBERON:0000963	head sensillum	semapv:ManualMappingCuration	
FBbt:00004199	lens	semapv:crossSpeciesExactMatch	UBERON:0000207	compound eye corneal lens	semapv:ManualMappingCuration	
FBbt:00004200	retina	semapv:crossSpeciesExactMatch	UBERON:0005388	photoreceptor array	semapv:ManualMappingCuration	
FBbt:00004208	developing embryonic structure	semapv:crossSpeciesExactMatch	UBERON:0002050	embryonic structure	semapv:ManualMappingCuration	
FBbt:00004296	sex comb	semapv:crossSpeciesExactMatch	UBERON:6004296	insect sex comb	semapv:ManualMappingCuration	
FBbt:00004340	wing hair	semapv:crossSpeciesExactMatch	UBERON:6004340	insect wing hair	semapv:ManualMappingCuration	
FBbt:00004475	sclerite	semapv:crossSpeciesExactMatch	UBERON:6004475	insect sclerite	semapv:ManualMappingCuration	
FBbt:00004476	tergite	semapv:crossSpeciesExactMatch	UBERON:6004476	insect tergite	semapv:ManualMappingCuration	
FBbt:00004477	sternite	semapv:crossSpeciesExactMatch	UBERON:6004477	insect sternite	semapv:ManualMappingCuration	
FBbt:00004481	adult external head	semapv:crossSpeciesExactMatch	UBERON:6004481	insect adult external head	semapv:ManualMappingCuration	
FBbt:00004482	head capsule	semapv:crossSpeciesExactMatch	UBERON:0003153	insect head capsule	semapv:ManualMappingCuration	
FBbt:00004492	occiput	semapv:crossSpeciesExactMatch	UBERON:0003155	arthropod occiput	semapv:ManualMappingCuration	Uberon term commented as “belonging to another ontology but kept for disambiguation purposes”
FBbt:00004505	ocellus	semapv:crossSpeciesExactMatch	UBERON:0003161	dorsal ocellus	semapv:ManualMappingCuration	
FBbt:00004506	lateral ocellus	semapv:crossSpeciesExactMatch	UBERON:0003162	lateral ocellus	semapv:ManualMappingCuration	
FBbt:00004507	medial ocellus	semapv:crossSpeciesExactMatch	UBERON:0003211	median eye	semapv:ManualMappingCuration	Uberon term should be under ‘dorsal ocellus’ (UBERON:0003161)
FBbt:00004508	eye	semapv:crossSpeciesExactMatch	UBERON:0000018	compound eye	semapv:ManualMappingCuration	
FBbt:00004510	ommatidium	semapv:crossSpeciesExactMatch	UBERON:0000971	ommatidium	semapv:ManualMappingCuration	
FBbt:00004511	antenna	semapv:crossSpeciesExactMatch	UBERON:0000972	antenna	semapv:ManualMappingCuration	
FBbt:00004519	arista	semapv:crossSpeciesExactMatch	UBERON:6004519	insect arista	semapv:ManualMappingCuration	
FBbt:00004520	mouthpart	semapv:crossSpeciesExactMatch	UBERON:6004520	insect mouthpart	semapv:ManualMappingCuration	
FBbt:00004521	clypeus	semapv:crossSpeciesExactMatch	UBERON:6004521	insect clypeus	semapv:ManualMappingCuration	
FBbt:00004522	labrum	semapv:crossSpeciesExactMatch	UBERON:0005905	insect labrum	semapv:ManualMappingCuration	Uberon term has “insect labium” as EXACT synonym while “labium” is a different part in FBbt
FBbt:00004535	proboscis	semapv:crossSpeciesExactMatch	UBERON:6004535	insect proboscis	semapv:ManualMappingCuration	
FBbt:00004540	rostrum	semapv:crossSpeciesExactMatch	UBERON:6004540	insect basiproboscis	semapv:ManualMappingCuration	
FBbt:00004551	adult external thorax	semapv:crossSpeciesExactMatch	UBERON:6004551	insect adult external thorax	semapv:ManualMappingCuration	
FBbt:00004552	tergum	semapv:crossSpeciesExactMatch	UBERON:6004552	insect tergum	semapv:ManualMappingCuration	
FBbt:00004557	sternum	semapv:crossSpeciesExactMatch	UBERON:0003130	arthropod sternum	semapv:ManualMappingCuration	
FBbt:00004578	adult external mesothorax	semapv:crossSpeciesExactMatch	UBERON:6004578	insect adult external mesothorax	semapv:ManualMappingCuration	
FBbt:00004580	mesothoracic tergum	semapv:crossSpeciesExactMatch	UBERON:6004580	insect mesothoracic tergum	semapv:ManualMappingCuration	
FBbt:00004640	leg	semapv:crossSpeciesExactMatch	UBERON:0005895	insect leg	semapv:ManualMappingCuration	
FBbt:00004642	tibia	semapv:crossSpeciesExactMatch	UBERON:0003131	arthropod tibia	semapv:ManualMappingCuration	
FBbt:00004646	tarsal segment	semapv:crossSpeciesExactMatch	UBERON:6004646	insect tarsal segment	semapv:ManualMappingCuration	
FBbt:00004648	metatarsus	semapv:crossSpeciesExactMatch	UBERON:6004648	insect metatarsus	semapv:ManualMappingCuration	
FBbt:00004663	prothoracic leg	semapv:crossSpeciesExactMatch	UBERON:6004663	insect prothoracic leg	semapv:ManualMappingCuration	
FBbt:00004668	prothoracic tarsal segment	semapv:crossSpeciesExactMatch	UBERON:6004668	insect prothoracic tarsal segment	semapv:ManualMappingCuration	
FBbt:00004670	prothoracic metatarsus	semapv:crossSpeciesExactMatch	UBERON:6004670	insect prothoracic metatarsus	semapv:ManualMappingCuration	
FBbt:00004729	wing	semapv:crossSpeciesExactMatch	UBERON:0000984	imaginal disc-derived wing	semapv:ManualMappingCuration	
FBbt:00004751	wing vein	semapv:crossSpeciesExactMatch	UBERON:0003194	imaginal disc-derived wing vein	semapv:ManualMappingCuration	
FBbt:00004783	haltere	semapv:crossSpeciesExactMatch	UBERON:0000987	haltere	semapv:ManualMappingCuration	
