#curie_map:
#  AAO: "http://purl.obolibrary.org/obo/AAO_"
#  CARO: "http://purl.obolibrary.org/obo/CARO_"
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  EHDAA2: "http://purl.obolibrary.org/obo/EHDAA2_"
#  EMAPA: "http://purl.obolibrary.org/obo/EMAPA_"
#  EV: "http://purl.obolibrary.org/obo/EV_"
#  FBbt: "http://purl.obolibrary.org/obo/FBbt_"
#  FMA: "http://purl.org/sig/ont/fma/fma"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  KUPO: "http://purl.obolibrary.org/obo/KUPO_"
#  MA: "http://purl.obolibrary.org/obo/MA_"
#  NCIT: "http://purl.obolibrary.org/obo/NCIT_"
#  ORCID: "https://orcid.org/"
#  SCTID: "http://purl.obolibrary.org/obo/SCTID_"
#  VHOG: "http://purl.obolibrary.org/obo/VHOG_"
#  VSAO: "http://purl.obolibrary.org/obo/VSAO_"
#  WBbt: "http://purl.obolibrary.org/obo/WBbt_"
#  XAO: "http://purl.obolibrary.org/obo/XAO_"
#  ZFA: "http://purl.obolibrary.org/obo/ZFA_"
#  obo: "http://purl.obolibrary.org/obo/"
#mapping_set_id: "http://purl.obolibrary.org/obo/cl/cl.sssom.tsv"
#creator_id:
#  - "ORCID:0000-0002-1373-1705"
#  - "ORCID:0000-0002-6095-8718"
#license: "http://creativecommons.org/licenses/by/4.0/"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	mapping_date
CL:0000020	spermatogonium	semapv:crossSpeciesExactMatch	FMA:72291		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000021	female germ cell	skos:broadMatch	VHOG:0001530		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000021	female germ cell	semapv:crossSpeciesExactMatch	MA:0000388		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000022		semapv:crossSpeciesExactMatch	FBbt:00004873	female germline stem cell	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000023		semapv:crossSpeciesExactMatch	FBbt:00004886	oocyte	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000023		semapv:crossSpeciesExactMatch	ZFA:0001109	oocyte	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000023	oocyte	semapv:crossSpeciesExactMatch	WBbt:0006797		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000023	oocyte	semapv:crossSpeciesExactMatch	FMA:18644		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000024		semapv:crossSpeciesExactMatch	ZFA:0005878	oogonia	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000024	oogonial cell	semapv:crossSpeciesExactMatch	FMA:83673		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000025		semapv:crossSpeciesExactMatch	FBbt:00057012	female germline cell	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000025		semapv:crossSpeciesExactMatch	ZFA:0001570	unfertilized egg	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000025	egg cell	semapv:crossSpeciesExactMatch	FMA:67343		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000026		semapv:crossSpeciesExactMatch	FBbt:00004878	nurse cell	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000029		semapv:crossSpeciesExactMatch	ZFA:0009009	neuron neural crest derived	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000030		semapv:crossSpeciesExactMatch	ZFA:0009010	glioblast	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000031		semapv:crossSpeciesExactMatch	ZFA:0009011	neuroblast	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000031	neuroblast (sensu Vertebrata)	semapv:crossSpeciesExactMatch	FMA:70563		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000032		semapv:crossSpeciesExactMatch	ZFA:0009012	neuroplacodal cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000034		semapv:crossSpeciesExactMatch	ZFA:0005957	stem cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000034	stem cell	semapv:crossSpeciesExactMatch	FMA:63368		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000035		semapv:crossSpeciesExactMatch	ZFA:0009013	single fate stem cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000035	single fate stem cell	semapv:crossSpeciesExactMatch	FMA:70569		semapv:UnspecifiedMatching	obo:cl.owl		
CL:00000365		semapv:crossSpeciesExactMatch	ZFA:0005772	fertilized egg	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000037		semapv:crossSpeciesExactMatch	ZFA:0009014	hematopoietic stem cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000037	hematopoietic stem cell	skos:broadMatch	VHOG:0001485		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000037	hematopoietic stem cell	semapv:crossSpeciesExactMatch	FMA:86475		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000038		semapv:crossSpeciesExactMatch	ZFA:0009015	erythroid progenitor cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000039		semapv:crossSpeciesExactMatch	ZFA:0009016	germ line cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000040		semapv:crossSpeciesExactMatch	ZFA:0009017	monoblast	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000040	monoblast	semapv:crossSpeciesExactMatch	FMA:83553		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000042		semapv:crossSpeciesExactMatch	ZFA:0009018	neutrophilic myeloblast	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000047		semapv:crossSpeciesExactMatch	ZFA:0009019	neuronal stem cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000047	neural stem cell	semapv:crossSpeciesExactMatch	FMA:86684		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000048		semapv:crossSpeciesExactMatch	ZFA:0009020	multi fate stem cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000048	multi fate stem cell	semapv:crossSpeciesExactMatch	FMA:84789		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000049		semapv:crossSpeciesExactMatch	ZFA:0009021	common myeloid progenitor	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000050		semapv:crossSpeciesExactMatch	ZFA:0009022	megakaryocyte erythroid progenitor cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000051		semapv:crossSpeciesExactMatch	ZFA:0009023	common lymphoid progenitor	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000052		semapv:crossSpeciesExactMatch	ZFA:0009024	totipotent stem cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000052	totipotent stem cell	semapv:crossSpeciesExactMatch	FMA:84790		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000055	non-terminally differentiated cell	semapv:crossSpeciesExactMatch	FMA:84782		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000056		semapv:crossSpeciesExactMatch	FBbt:00005083	myoblast	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000056		semapv:crossSpeciesExactMatch	ZFA:0009025	myoblast	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000056	myoblast	skos:broadMatch	VHOG:0001529		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000056	myoblast	semapv:crossSpeciesExactMatch	FMA:70335		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000057		semapv:crossSpeciesExactMatch	ZFA:0009026	fibroblast	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000057	fibroblast	skos:broadMatch	VHOG:0001482		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000057	fibroblast	skos:narrowMatch	NCIT:C12482		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000057	fibroblast	semapv:crossSpeciesExactMatch	FMA:63877		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000058		semapv:crossSpeciesExactMatch	ZFA:0009027	chondroblast	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000058	chondroblast	semapv:crossSpeciesExactMatch	FMA:66783		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000059	ameloblast	semapv:crossSpeciesExactMatch	FMA:70576		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000060		semapv:crossSpeciesExactMatch	ZFA:0009029	odontoblast	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000060	odontoblast	semapv:crossSpeciesExactMatch	FMA:62999		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000061		semapv:crossSpeciesExactMatch	ZFA:0009030	cementoblast	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000061	cementoblast	semapv:crossSpeciesExactMatch	FMA:63002		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000062		semapv:crossSpeciesExactMatch	ZFA:0009031	osteoblast	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000062	osteoblast	semapv:crossSpeciesExactMatch	FMA:66780		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000064		semapv:crossSpeciesExactMatch	ZFA:0009032	ciliated cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000064	ciliated cell	skos:broadMatch	VHOG:0001532		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000064	ciliated cell	semapv:crossSpeciesExactMatch	XAO:0000031		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000065		semapv:crossSpeciesExactMatch	ZFA:0009033	ependymal cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000065	ependymal cell	semapv:crossSpeciesExactMatch	FMA:70550		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000066		semapv:crossSpeciesExactMatch	FBbt:00000124	epithelial cell	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000066		semapv:crossSpeciesExactMatch	ZFA:0009034	epithelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000066	epithelial cell	skos:exactMatch	CARO:0000077		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000066	epithelial cell	semapv:crossSpeciesExactMatch	WBbt:0003672		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000066	epithelial cell	semapv:crossSpeciesExactMatch	FMA:66768		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000067		semapv:crossSpeciesExactMatch	ZFA:0009035	ciliated epithelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000067	ciliated epithelial cell	semapv:crossSpeciesExactMatch	FMA:70605		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000068		semapv:crossSpeciesExactMatch	ZFA:0009372	duct epithelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000071		semapv:crossSpeciesExactMatch	ZFA:0009036	blood vessel endothelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000073		semapv:crossSpeciesExactMatch	ZFA:0009037	barrier epithelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000075		semapv:crossSpeciesExactMatch	ZFA:0009038	columnar/cuboidal epithelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000076		semapv:crossSpeciesExactMatch	ZFA:0009039	squamous epithelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000077		semapv:crossSpeciesExactMatch	ZFA:0009040	mesothelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000077	mesothelial cell	semapv:crossSpeciesExactMatch	FMA:66773		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000078		semapv:crossSpeciesExactMatch	ZFA:0009041	peridermal cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000079		semapv:crossSpeciesExactMatch	ZFA:0009042	stratified epithelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000080		semapv:crossSpeciesExactMatch	ZFA:0009043	circulating cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000081		semapv:crossSpeciesExactMatch	ZFA:0009044	blood cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000081	blood cell	semapv:crossSpeciesExactMatch	FMA:62844		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000083		semapv:crossSpeciesExactMatch	ZFA:0009045	epithelial cell of pancreas	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000084		semapv:crossSpeciesExactMatch	ZFA:0009046	T cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000084	T cell	skos:broadMatch	VHOG:0001479		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000084	T cell	semapv:crossSpeciesExactMatch	FMA:62870		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000091	Kupffer cell	semapv:crossSpeciesExactMatch	FMA:14656		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000092		semapv:crossSpeciesExactMatch	ZFA:0009047	osteoclast	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000092	osteoclast	semapv:crossSpeciesExactMatch	FMA:66781		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000094		semapv:crossSpeciesExactMatch	ZFA:0009048	granulocyte	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000094	granulocyte	semapv:crossSpeciesExactMatch	FMA:62854		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000096		semapv:crossSpeciesExactMatch	ZFA:0009049	mature neutrophil	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000097	mast cell	semapv:crossSpeciesExactMatch	FMA:66784		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000098		semapv:crossSpeciesExactMatch	ZFA:0009050	sensory epithelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000099		semapv:crossSpeciesExactMatch	FBbt:00005125	interneuron	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000099		semapv:crossSpeciesExactMatch	ZFA:0009051	interneuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000099	interneuron	semapv:crossSpeciesExactMatch	WBbt:0005113		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000099	interneuron	semapv:crossSpeciesExactMatch	FMA:67313		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000100		semapv:crossSpeciesExactMatch	FBbt:00005123	motor neuron	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000100		semapv:crossSpeciesExactMatch	ZFA:0009052	motor neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000100	motor neuron	semapv:crossSpeciesExactMatch	WBbt:0005409		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000100	motor neuron	semapv:crossSpeciesExactMatch	FMA:83617		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000101		semapv:crossSpeciesExactMatch	FBbt:00005124	sensory neuron	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000101		semapv:crossSpeciesExactMatch	ZFA:0009053	sensory neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000101	sensory neuron	semapv:crossSpeciesExactMatch	WBbt:0005759		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000101	sensory neuron	semapv:crossSpeciesExactMatch	FMA:84649		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000102		semapv:crossSpeciesExactMatch	ZFA:0009054	polymodal neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000103		semapv:crossSpeciesExactMatch	ZFA:0009055	bipolar neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000103	bipolar neuron	semapv:crossSpeciesExactMatch	FMA:67282		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000104		semapv:crossSpeciesExactMatch	ZFA:0009056	multipolar neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000104	multipolar neuron	semapv:crossSpeciesExactMatch	FMA:67287		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000105		semapv:crossSpeciesExactMatch	ZFA:0009057	pseudounipolar neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000105	pseudounipolar neuron	semapv:crossSpeciesExactMatch	FMA:67305		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000106		semapv:crossSpeciesExactMatch	ZFA:0009058	unipolar neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000106	unipolar neuron	semapv:crossSpeciesExactMatch	FMA:67278		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000107		semapv:crossSpeciesExactMatch	ZFA:0009059	autonomic neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000107	autonomic neuron	semapv:crossSpeciesExactMatch	FMA:80121		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000108		semapv:crossSpeciesExactMatch	FBbt:00007173	cholinergic neuron	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000108		semapv:crossSpeciesExactMatch	ZFA:0009060	cholinergic neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000108	cholinergic neuron	semapv:crossSpeciesExactMatch	WBbt:0006840		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000108	cholinergic neuron	semapv:crossSpeciesExactMatch	FMA:84796		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000109		semapv:crossSpeciesExactMatch	ZFA:0009061	adrenergic neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000110		semapv:crossSpeciesExactMatch	FBbt:00004101	peptidergic neuron	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000110		semapv:crossSpeciesExactMatch	ZFA:0009062	peptidergic neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000111		semapv:crossSpeciesExactMatch	ZFA:0009063	peripheral neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000113		semapv:crossSpeciesExactMatch	ZFA:0009064	mononuclear phagocyte	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000114	surface ectodermal cell	semapv:crossSpeciesExactMatch	FMA:72552		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000115		semapv:crossSpeciesExactMatch	ZFA:0009065	endothelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000115	endothelial cell	semapv:crossSpeciesExactMatch	FMA:66772		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000116		semapv:crossSpeciesExactMatch	FBbt:00005128	pioneer neuron	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000116		semapv:crossSpeciesExactMatch	ZFA:0009066	pioneer neuron	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000117		semapv:crossSpeciesExactMatch	ZFA:0009067	CNS neuron (sensu Vertebrata)	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000118		semapv:crossSpeciesExactMatch	ZFA:0009068	basket cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000119		semapv:crossSpeciesExactMatch	ZFA:0009069	Golgi cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000120		semapv:crossSpeciesExactMatch	ZFA:0009070	granule cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000121		semapv:crossSpeciesExactMatch	ZFA:0009071	Purkinje cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000121	Purkinje cell	semapv:crossSpeciesExactMatch	FMA:67969		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000122		semapv:crossSpeciesExactMatch	ZFA:0009072	stellate cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000125		semapv:crossSpeciesExactMatch	FBbt:00005144	glial cell	semapv:ManualMappingCuration	obo:cl.owl	obo:fbbt.owl	2024-07-12
CL:0000125		semapv:crossSpeciesExactMatch	ZFA:0009073	glial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000125	glial cell	semapv:crossSpeciesExactMatch	FMA:54536		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000126		semapv:crossSpeciesExactMatch	ZFA:0009074	macroglial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000126	macroglial cell	semapv:crossSpeciesExactMatch	FMA:54538		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000127		semapv:crossSpeciesExactMatch	ZFA:0009075	astrocyte	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000127	astrocyte	semapv:crossSpeciesExactMatch	FMA:54537		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000128		semapv:crossSpeciesExactMatch	ZFA:0009076	oligodendrocyte	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000128	oligodendrocyte	semapv:crossSpeciesExactMatch	FMA:54540		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000129		semapv:crossSpeciesExactMatch	ZFA:0009077	microglial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000129	microglial cell	semapv:crossSpeciesExactMatch	FMA:54539		semapv:UnspecifiedMatching	obo:cl.owl		
CL:0000131		semapv:crossSpeciesExactMatch	ZFA:0009078	gut endothelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
CL:0000132		semapv:crossSpeciesExactMatch	ZFA:0009079	corneal endothelial cell	semapv:UnspecifiedMatching		obo:zfa.owl	
