?x	?label
<http://purl.obolibrary.org/obo/UBERON_0001849>	"membranous labyrinth"
<http://purl.obolibrary.org/obo/UBERON_0001850>	"lacrimal drainage system"
<http://purl.obolibrary.org/obo/UBERON_0001852>	"endolymph"
<http://purl.obolibrary.org/obo/UBERON_0001853>	"utricle of membranous labyrinth"
<http://purl.obolibrary.org/obo/UBERON_0001854>	"saccule of membranous labyrinth"
<http://purl.obolibrary.org/obo/UBERON_0001855>	"cochlear duct of membranous labyrinth"
<http://purl.obolibrary.org/obo/UBERON_0001856>	"semicircular duct"
<http://purl.obolibrary.org/obo/UBERON_0001857>	"anterior semicircular duct"
<http://purl.obolibrary.org/obo/UBERON_0001858>	"posterior semicircular duct"
<http://purl.obolibrary.org/obo/UBERON_0001859>	"lateral semicircular duct"
<http://purl.obolibrary.org/obo/UBERON_0001860>	"endolymphatic duct"
<http://purl.obolibrary.org/obo/UBERON_0001861>	"ductus reuniens"
<http://purl.obolibrary.org/obo/UBERON_0001862>	"vestibular labyrinth"
<http://purl.obolibrary.org/obo/UBERON_0001863>	"scala vestibuli"
<http://purl.obolibrary.org/obo/UBERON_0001864>	"scala tympani"
<http://purl.obolibrary.org/obo/UBERON_0001865>	"cartilaginous external acoustic tube"
<http://purl.obolibrary.org/obo/UBERON_0001867>	"cartilage of external ear"
<http://purl.obolibrary.org/obo/UBERON_0001908>	"optic tract"
<http://purl.obolibrary.org/obo/UBERON_0001927>	"medial geniculate body"
<http://purl.obolibrary.org/obo/UBERON_0001985>	"corneal endothelium"
<http://purl.obolibrary.org/obo/UBERON_0001997>	"olfactory epithelium"
<http://purl.obolibrary.org/obo/UBERON_0002104>	"visual system"
<http://purl.obolibrary.org/obo/UBERON_0002105>	"vestibulo-auditory system"
<http://purl.obolibrary.org/obo/UBERON_0002109>	"pair of nares"
<http://purl.obolibrary.org/obo/UBERON_0002128>	"superior olivary complex"
<http://purl.obolibrary.org/obo/UBERON_0002162>	"area postrema"
<http://purl.obolibrary.org/obo/UBERON_0002203>	"vasculature of eye"
<http://purl.obolibrary.org/obo/UBERON_0002212>	"macula of saccule of membranous labyrinth"
<http://purl.obolibrary.org/obo/UBERON_0002214>	"macula of utricle of membranous labyrinth"
<http://purl.obolibrary.org/obo/UBERON_0002218>	"tympanic ring"
<http://purl.obolibrary.org/obo/UBERON_0002219>	"subfornical organ"
<http://purl.obolibrary.org/obo/UBERON_0002223>	"endolymphatic sac"
<http://purl.obolibrary.org/obo/UBERON_0002226>	"basilar membrane of cochlea"
<http://purl.obolibrary.org/obo/UBERON_0002227>	"spiral organ of cochlea"
<http://purl.obolibrary.org/obo/UBERON_0002232>	"olfactory gland"
<http://purl.obolibrary.org/obo/UBERON_0002233>	"tectorial membrane of cochlea"
<http://purl.obolibrary.org/obo/UBERON_0002255>	"vomeronasal organ"
<http://purl.obolibrary.org/obo/UBERON_0002268>	"olfactory organ"
<http://purl.obolibrary.org/obo/UBERON_0002269>	"pupillary membrane"
<http://purl.obolibrary.org/obo/UBERON_0002270>	"hyaloid artery"
<http://purl.obolibrary.org/obo/UBERON_0002276>	"lamina of spiral limbus"
<http://purl.obolibrary.org/obo/UBERON_0002277>	"spiral sulcus"
<http://purl.obolibrary.org/obo/UBERON_0002278>	"perilymphatic space"
<http://purl.obolibrary.org/obo/UBERON_0002279>	"vestibular aqueduct"
<http://purl.obolibrary.org/obo/UBERON_0002280>	"otolith"
<http://purl.obolibrary.org/obo/UBERON_0002281>	"vestibular membrane of cochlear duct"
<http://purl.obolibrary.org/obo/UBERON_0002282>	"stria vascularis of cochlear duct"
<http://purl.obolibrary.org/obo/UBERON_0002295>	"scala media"
<http://purl.obolibrary.org/obo/UBERON_0002364>	"tympanic membrane"
<http://purl.obolibrary.org/obo/UBERON_0002392>	"nasolacrimal duct"
<http://purl.obolibrary.org/obo/UBERON_0002393>	"pharyngotympanic tube"
<http://purl.obolibrary.org/obo/UBERON_0002443>	"choroidal blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0002444>	"lens fiber"
<http://purl.obolibrary.org/obo/UBERON_0002448>	"fungiform papilla"
<http://purl.obolibrary.org/obo/UBERON_0002467>	"filiform papilla"
<http://purl.obolibrary.org/obo/UBERON_0002468>	"foliate papilla"
<http://purl.obolibrary.org/obo/UBERON_0002479>	"dorsal lateral geniculate nucleus"
<http://purl.obolibrary.org/obo/UBERON_0002488>	"helix of outer ear"
<http://purl.obolibrary.org/obo/UBERON_0002496>	"stapes base"
<http://purl.obolibrary.org/obo/UBERON_0002499>	"cochlear labyrinth"
<http://purl.obolibrary.org/obo/UBERON_0002505>	"spiral modiolar artery"
<http://purl.obolibrary.org/obo/UBERON_0002506>	"iris epithelium"
<http://purl.obolibrary.org/obo/UBERON_0002518>	"otolith organ"
<http://purl.obolibrary.org/obo/UBERON_0002519>	"otolithic part of statoconial membrane"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"arthropod sensillum"
<http://purl.obolibrary.org/obo/UBERON_0002540>	"lateral line system"
<http://purl.obolibrary.org/obo/UBERON_0002627>	"capsule of medial geniculate body"
<http://purl.obolibrary.org/obo/UBERON_0002673>	"vestibular nuclear complex"
<http://purl.obolibrary.org/obo/UBERON_0002689>	"supraoptic crest"
<http://purl.obolibrary.org/obo/UBERON_0002758>	"dorsal nucleus of medial geniculate body"
<http://purl.obolibrary.org/obo/UBERON_0002759>	"magnocellular nucleus of medial geniculate body"
<http://purl.obolibrary.org/obo/UBERON_0002779>	"lateral superior olivary nucleus"
<http://purl.obolibrary.org/obo/UBERON_0002782>	"medial superior olivary nucleus"
<http://purl.obolibrary.org/obo/UBERON_0002819>	"apex of cochlea"
<http://purl.obolibrary.org/obo/UBERON_0002820>	"zona arcuata of basilar membrane of cochlea"
<http://purl.obolibrary.org/obo/UBERON_0002822>	"macula lutea proper"
<http://purl.obolibrary.org/obo/UBERON_0002823>	"clivus of fovea centralis"
<http://purl.obolibrary.org/obo/UBERON_0002824>	"vestibular ganglion"
<http://purl.obolibrary.org/obo/UBERON_0002825>	"superior part of vestibular ganglion"
<http://purl.obolibrary.org/obo/UBERON_0002826>	"inferior part of vestibular ganglion"
<http://purl.obolibrary.org/obo/UBERON_0002827>	"vestibulocochlear ganglion"
<http://purl.obolibrary.org/obo/UBERON_0002832>	"ventral nucleus of trapezoid body"
<http://purl.obolibrary.org/obo/UBERON_0002833>	"medial nucleus of trapezoid body"
<http://purl.obolibrary.org/obo/UBERON_0002971>	"periolivary nucleus"
<http://purl.obolibrary.org/obo/UBERON_0002976>	"preolivary nucleus"
<http://purl.obolibrary.org/obo/UBERON_0002985>	"ventral nucleus of medial geniculate body"
<http://purl.obolibrary.org/obo/UBERON_0003065>	"ciliary marginal zone"
<http://purl.obolibrary.org/obo/UBERON_0003069>	"otic placode"
<http://purl.obolibrary.org/obo/UBERON_0003090>	"supraorbital lateral line"
<http://purl.obolibrary.org/obo/UBERON_0003093>	"occipital lateral line"
<http://purl.obolibrary.org/obo/UBERON_0003094>	"infraorbital lateral line"
<http://purl.obolibrary.org/obo/UBERON_0003095>	"dorsal lateral line"
<http://purl.obolibrary.org/obo/UBERON_0003096>	"middle lateral line"
<http://purl.obolibrary.org/obo/UBERON_0003161>	"dorsal ocellus"
<http://purl.obolibrary.org/obo/UBERON_0003162>	"lateral ocellus"
<http://purl.obolibrary.org/obo/UBERON_0003211>	"median eye"
<http://purl.obolibrary.org/obo/UBERON_0003212>	"gustatory organ"
<http://purl.obolibrary.org/obo/UBERON_0003238>	"epithelium of superior semicircular canal"
<http://purl.obolibrary.org/obo/UBERON_0003239>	"epithelium of posterior semicircular canal"
<http://purl.obolibrary.org/obo/UBERON_0003240>	"epithelium of lateral semicircular canal"
<http://purl.obolibrary.org/obo/UBERON_0003241>	"epithelium of utricle"
<http://purl.obolibrary.org/obo/UBERON_0003242>	"epithelium of saccule"
<http://purl.obolibrary.org/obo/UBERON_0003243>	"epithelium of cochlear duct"
<http://purl.obolibrary.org/obo/UBERON_0003246>	"epithelium of endolymphatic sac"
<http://purl.obolibrary.org/obo/UBERON_0003249>	"epithelium of otic placode"
<http://purl.obolibrary.org/obo/UBERON_0003269>	"skeletal muscle tissue of eye"
<http://purl.obolibrary.org/obo/UBERON_0003314>	"eye mesenchyme"
<http://purl.obolibrary.org/obo/UBERON_0003325>	"mesenchyme of pinna"
<http://purl.obolibrary.org/obo/UBERON_0003356>	"epithelium of nasal septum"
<http://purl.obolibrary.org/obo/UBERON_0003357>	"epithelium of tongue"
<http://purl.obolibrary.org/obo/UBERON_0003362>	"epithelium of endolymphatic duct"
<http://purl.obolibrary.org/obo/UBERON_0003363>	"epithelium of ductus reuniens"
<http://purl.obolibrary.org/obo/UBERON_0003367>	"epithelium of vomeronasal organ"
<http://purl.obolibrary.org/obo/UBERON_0003386>	"smooth muscle of eye"
<http://purl.obolibrary.org/obo/UBERON_0003407>	"cartilage of nasal septum"
<http://purl.obolibrary.org/obo/UBERON_0003409>	"gland of tongue"
<http://purl.obolibrary.org/obo/UBERON_0003415>	"mesenchyme of nasal septum"
<http://purl.obolibrary.org/obo/UBERON_0003416>	"mesenchyme of tongue"
<http://purl.obolibrary.org/obo/UBERON_0003421>	"mesenchyme of vomeronasal organ"
<http://purl.obolibrary.org/obo/UBERON_0003484>	"eye sebaceous gland"
<http://purl.obolibrary.org/obo/UBERON_0003500>	"corneal blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0003501>	"retina blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0003510>	"eyelid blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0003511>	"iris blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0003581>	"eyelid connective tissue"
<http://purl.obolibrary.org/obo/UBERON_0003605>	"eye skin gland"
<http://purl.obolibrary.org/obo/UBERON_0003723>	"vestibular nerve"
<http://purl.obolibrary.org/obo/UBERON_0003844>	"upper eyelid epithelium"
<http://purl.obolibrary.org/obo/UBERON_0003845>	"lower eyelid epithelium"
<http://purl.obolibrary.org/obo/UBERON_0003857>	"upper eyelid mesenchyme"
<http://purl.obolibrary.org/obo/UBERON_0003858>	"lower eyelid mesenchyme"
<http://purl.obolibrary.org/obo/UBERON_0003902>	"retinal neural layer"
<http://purl.obolibrary.org/obo/UBERON_0003925>	"photoreceptor inner segment layer"
<http://purl.obolibrary.org/obo/UBERON_0003926>	"photoreceptor outer segment layer"
<http://purl.obolibrary.org/obo/UBERON_0003942>	"somatic sensory system"
<http://purl.obolibrary.org/obo/UBERON_0003950>	"inner ear canal"
<http://purl.obolibrary.org/obo/UBERON_0003951>	"ocular fundus"
<http://purl.obolibrary.org/obo/UBERON_0003952>	"anterior stroma of cornea"
<http://purl.obolibrary.org/obo/UBERON_0003953>	"posterior stroma of cornea"
<http://purl.obolibrary.org/obo/UBERON_0003956>	"aqueous drainage system"
<http://purl.obolibrary.org/obo/UBERON_0003957>	"Bruch's membrane"
<http://purl.obolibrary.org/obo/UBERON_0003966>	"gonial bone"
<http://purl.obolibrary.org/obo/UBERON_0003976>	"saccule duct"
<http://purl.obolibrary.org/obo/UBERON_0003977>	"utricle duct"
<http://purl.obolibrary.org/obo/UBERON_0003979>	"utricle valve"
<http://purl.obolibrary.org/obo/UBERON_0004000>	"tarsal gland acinus"
<http://purl.obolibrary.org/obo/UBERON_0004012>	"golgi tendon organ"
<http://purl.obolibrary.org/obo/UBERON_0004019>	"baroreceptor"
<http://purl.obolibrary.org/obo/UBERON_0004029>	"canal of Schlemm"
<http://purl.obolibrary.org/obo/UBERON_0004030>	"aqueous vein"
<http://purl.obolibrary.org/obo/UBERON_0004043>	"semicircular canal ampulla"
<http://purl.obolibrary.org/obo/UBERON_0004101>	"nasolabial region"
<http://purl.obolibrary.org/obo/UBERON_0004106>	"crus of ear"
<http://purl.obolibrary.org/obo/UBERON_0004110>	"midnasal cavity"
<http://purl.obolibrary.org/obo/UBERON_0004113>	"muscle of auditory ossicle"
<http://purl.obolibrary.org/obo/UBERON_0004114>	"tympanic cavity"
<http://purl.obolibrary.org/obo/UBERON_0004115>	"blood vessel of tympanic cavity"
<http://purl.obolibrary.org/obo/UBERON_0004116>	"nerve of tympanic cavity"
<http://purl.obolibrary.org/obo/UBERON_0004118>	"vasculature of iris"
<http://purl.obolibrary.org/obo/UBERON_0004187>	"Harderian gland"
<http://purl.obolibrary.org/obo/UBERON_0004234>	"iris smooth muscle"
<http://purl.obolibrary.org/obo/UBERON_0004277>	"eye muscle"
<http://purl.obolibrary.org/obo/UBERON_0004367>	"Descemet's membrane"
<http://purl.obolibrary.org/obo/UBERON_0004370>	"anterior limiting lamina of cornea"
<http://purl.obolibrary.org/obo/UBERON_0004456>	"entire sense organ system"
<http://purl.obolibrary.org/obo/UBERON_0004505>	"skeletal muscle tissue of orbicularis oculi"
<http://purl.obolibrary.org/obo/UBERON_0004508>	"skeletal muscle tissue of levator palpebrae superioris"
<http://purl.obolibrary.org/obo/UBERON_0004548>	"left eye"
<http://purl.obolibrary.org/obo/UBERON_0004549>	"right eye"
<http://purl.obolibrary.org/obo/UBERON_0004637>	"otic capsule"
<http://purl.obolibrary.org/obo/UBERON_0004650>	"tongue keratinized epithelium"
<http://purl.obolibrary.org/obo/UBERON_0004681>	"vestibular system"
<http://purl.obolibrary.org/obo/UBERON_0004692>	"external naris epithelium"
<http://purl.obolibrary.org/obo/UBERON_0004694>	"Harderian gland epithelium"
<http://purl.obolibrary.org/obo/UBERON_0004721>	"crista ampullaris"
<http://purl.obolibrary.org/obo/UBERON_0004724>	"medial palpebral ligament"
<http://purl.obolibrary.org/obo/UBERON_0004727>	"cochlear nerve"
<http://purl.obolibrary.org/obo/UBERON_0004771>	"posterior nasal aperture"
<http://purl.obolibrary.org/obo/UBERON_0004772>	"eyelid tarsus"
<http://purl.obolibrary.org/obo/UBERON_0004773>	"superior eyelid tarsus"
<http://purl.obolibrary.org/obo/UBERON_0004774>	"inferior eyelid tarsus"
<http://purl.obolibrary.org/obo/UBERON_0004817>	"lacrimal gland epithelium"
<http://purl.obolibrary.org/obo/UBERON_0004859>	"eye gland"
<http://purl.obolibrary.org/obo/UBERON_0004864>	"vasculature of retina"
<http://purl.obolibrary.org/obo/UBERON_0004868>	"tapetum lucidum of camera-type eye"
<http://purl.obolibrary.org/obo/UBERON_0004904>	"neuron projection bundle connecting eye with brain"
<http://purl.obolibrary.org/obo/UBERON_0005017>	"mucosa of lacrimal sac"
<http://purl.obolibrary.org/obo/UBERON_0005018>	"mucosa of nasal septum"
<http://purl.obolibrary.org/obo/UBERON_0005020>	"mucosa of tongue"
<http://purl.obolibrary.org/obo/UBERON_0005026>	"mucosa of middle ear"
<http://purl.obolibrary.org/obo/UBERON_0005029>	"mucosa of lacrimal canaliculus"
<http://purl.obolibrary.org/obo/UBERON_0005042>	"inner epithelial layer of tympanic membrane"
<http://purl.obolibrary.org/obo/UBERON_0005043>	"mucosa of nasolacrimal duct"
<http://purl.obolibrary.org/obo/UBERON_0005044>	"mucosa of pharyngotympanic tube"
<http://purl.obolibrary.org/obo/UBERON_0005067>	"amphid sensory organ"
<http://purl.obolibrary.org/obo/UBERON_0005236>	"osseus labyrinth vestibule"
<http://purl.obolibrary.org/obo/UBERON_0005336>	"capillary layer of choroid"
<http://purl.obolibrary.org/obo/UBERON_0005342>	"malleus head"
<http://purl.obolibrary.org/obo/UBERON_0005354>	"malleus processus brevis"
<http://purl.obolibrary.org/obo/UBERON_0005355>	"malleus neck"
<http://purl.obolibrary.org/obo/UBERON_0005384>	"nasal cavity epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005385>	"nasal cavity respiratory epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005386>	"olfactory segment of nasal mucosa"
<http://purl.obolibrary.org/obo/UBERON_0005388>	"photoreceptor array"
<http://purl.obolibrary.org/obo/UBERON_0005389>	"transparent eye structure"
<http://purl.obolibrary.org/obo/UBERON_0005410>	"cartilaginous otic capsule"
<http://purl.obolibrary.org/obo/UBERON_0005411>	"bony otic capsule"
<http://purl.obolibrary.org/obo/UBERON_0005427>	"corneal primordium"
<http://purl.obolibrary.org/obo/UBERON_0005492>	"hyaloid vessel"
<http://purl.obolibrary.org/obo/UBERON_0005600>	"crus commune"
<http://purl.obolibrary.org/obo/UBERON_0005606>	"hyaloid cavity"
<http://purl.obolibrary.org/obo/UBERON_0005611>	"inner canthus"
<http://purl.obolibrary.org/obo/UBERON_0005614>	"lens anterior epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005615>	"lens equatorial epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005625>	"tubotympanic recess lumen"
<http://purl.obolibrary.org/obo/UBERON_0005638>	"anterior chamber epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005657>	"crus commune epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005725>	"olfactory system"
<http://purl.obolibrary.org/obo/UBERON_0005726>	"chemosensory system"
<http://purl.obolibrary.org/obo/UBERON_0005870>	"olfactory pit"
<http://purl.obolibrary.org/obo/UBERON_0005908>	"conjunctival sac"
<http://purl.obolibrary.org/obo/UBERON_0005928>	"external naris"
<http://purl.obolibrary.org/obo/UBERON_0005931>	"primary choana"
<http://purl.obolibrary.org/obo/UBERON_0005969>	"eye trabecular meshwork"
<http://purl.obolibrary.org/obo/UBERON_0005972>	"tunnel of Corti"
<http://purl.obolibrary.org/obo/UBERON_0005973>	"blood-inner ear barrier"
<http://purl.obolibrary.org/obo/UBERON_0006010>	"hyaloid canal"
<http://purl.obolibrary.org/obo/UBERON_0006011>	"hyaloid vein"
<http://purl.obolibrary.org/obo/UBERON_0006106>	"cochlear canal"
<http://purl.obolibrary.org/obo/UBERON_0006203>	"conchal part of pinna"
<http://purl.obolibrary.org/obo/UBERON_0006206>	"iridocorneal angle"
<http://purl.obolibrary.org/obo/UBERON_0006208>	"auditory hillocks"
