?x	?label
<http://purl.obolibrary.org/obo/UBERON_0004775>	"outer renal medulla vasa recta"
<http://purl.obolibrary.org/obo/UBERON_0004776>	"inner renal medulla vasa recta"
<http://purl.obolibrary.org/obo/UBERON_0004787>	"urethra urothelium"
<http://purl.obolibrary.org/obo/UBERON_0004788>	"kidney pelvis urothelium"
<http://purl.obolibrary.org/obo/UBERON_0004810>	"nephron tubule epithelium"
<http://purl.obolibrary.org/obo/UBERON_0004819>	"kidney epithelium"
<http://purl.obolibrary.org/obo/UBERON_0004829>	"urethra skeletal muscle tissue"
<http://purl.obolibrary.org/obo/UBERON_0004902>	"urogenital sinus epithelium"
<http://purl.obolibrary.org/obo/UBERON_0004917>	"urethral sphincter"
<http://purl.obolibrary.org/obo/UBERON_0004918>	"internal urethral sphincter"
<http://purl.obolibrary.org/obo/UBERON_0004919>	"external urethral sphincter"
<http://purl.obolibrary.org/obo/UBERON_0004943>	"submucosa of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0004944>	"submucosa of trigone of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0004945>	"submucosa of neck of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0004980>	"mucosa of ureter"
<http://purl.obolibrary.org/obo/UBERON_0005004>	"mucosa of right ureter"
<http://purl.obolibrary.org/obo/UBERON_0005005>	"mucosa of left ureter"
<http://purl.obolibrary.org/obo/UBERON_0005006>	"mucosa of renal pelvis"
<http://purl.obolibrary.org/obo/UBERON_0005007>	"mucosa of major calyx"
<http://purl.obolibrary.org/obo/UBERON_0005008>	"mucosa of minor calyx"
<http://purl.obolibrary.org/obo/UBERON_0005009>	"mucosa of trigone of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0005010>	"mucosa of neck of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0005013>	"mucosa of male urethra"
<http://purl.obolibrary.org/obo/UBERON_0005014>	"mucosa of female urethra"
<http://purl.obolibrary.org/obo/UBERON_0005015>	"mucosa of prostatic urethra"
<http://purl.obolibrary.org/obo/UBERON_0005016>	"mucosa of intermediate urethra"
<http://purl.obolibrary.org/obo/UBERON_0005080>	"metanephric ureteric bud"
<http://purl.obolibrary.org/obo/UBERON_0005081>	"ureter ureteric bud"
<http://purl.obolibrary.org/obo/UBERON_0005096>	"descending thin limb"
<http://purl.obolibrary.org/obo/UBERON_0005097>	"renal connecting tubule"
<http://purl.obolibrary.org/obo/UBERON_0005099>	"short descending thin limb"
<http://purl.obolibrary.org/obo/UBERON_0005100>	"long descending thin limb"
<http://purl.obolibrary.org/obo/UBERON_0005101>	"early distal convoluted tubule"
<http://purl.obolibrary.org/obo/UBERON_0005102>	"late distal convoluted tubule"
<http://purl.obolibrary.org/obo/UBERON_0005103>	"mesonephric epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005104>	"anterior mesonephric tubule"
<http://purl.obolibrary.org/obo/UBERON_0005105>	"posterior mesonephric tubule"
<http://purl.obolibrary.org/obo/UBERON_0005106>	"metanephric tubule"
<http://purl.obolibrary.org/obo/UBERON_0005108>	"metanephric epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005109>	"metanephric smooth muscle tissue"
<http://purl.obolibrary.org/obo/UBERON_0005110>	"metanephric nephron"
<http://purl.obolibrary.org/obo/UBERON_0005111>	"metanephric pyramid"
<http://purl.obolibrary.org/obo/UBERON_0005114>	"metanephric ascending thin limb"
<http://purl.obolibrary.org/obo/UBERON_0005115>	"metanephric cortical collecting duct"
<http://purl.obolibrary.org/obo/UBERON_0005116>	"metanephric descending thin limb"
<http://purl.obolibrary.org/obo/UBERON_0005117>	"metanephric distal convoluted tubule"
<http://purl.obolibrary.org/obo/UBERON_0005118>	"metanephric early distal convoluted tubule"
<http://purl.obolibrary.org/obo/UBERON_0005119>	"metanephric glomerular mesangium"
<http://purl.obolibrary.org/obo/UBERON_0005120>	"metanephric late distal convoluted tubule"
<http://purl.obolibrary.org/obo/UBERON_0005121>	"metanephric long descending thin limb bend"
<http://purl.obolibrary.org/obo/UBERON_0005122>	"metanephric macula densa"
<http://purl.obolibrary.org/obo/UBERON_0005123>	"metanephric prebend segment"
<http://purl.obolibrary.org/obo/UBERON_0005124>	"metanephric proximal convoluted tubule"
<http://purl.obolibrary.org/obo/UBERON_0005125>	"metanephric proximal straight tubule"
<http://purl.obolibrary.org/obo/UBERON_0005126>	"metanephric S1"
<http://purl.obolibrary.org/obo/UBERON_0005127>	"metanephric thick ascending limb"
<http://purl.obolibrary.org/obo/UBERON_0005129>	"metanephric distal tubule"
<http://purl.obolibrary.org/obo/UBERON_0005130>	"metanephric loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0005132>	"metanephric long nephron"
<http://purl.obolibrary.org/obo/UBERON_0005133>	"metanephric glomerulus vasculature"
<http://purl.obolibrary.org/obo/UBERON_0005134>	"metanephric nephron epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005135>	"metanephric glomerular epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005136>	"metanephric glomerular endothelium"
<http://purl.obolibrary.org/obo/UBERON_0005137>	"metanephric capsule"
<http://purl.obolibrary.org/obo/UBERON_0005139>	"metanephric long descending thin limb"
<http://purl.obolibrary.org/obo/UBERON_0005140>	"metanephric short nephron"
<http://purl.obolibrary.org/obo/UBERON_0005141>	"metanephric short descending thin limb"
<http://purl.obolibrary.org/obo/UBERON_0005144>	"metanephric glomerular capillary"
<http://purl.obolibrary.org/obo/UBERON_0005145>	"metanephric comma-shaped body"
<http://purl.obolibrary.org/obo/UBERON_0005146>	"metanephric nephron tubule"
<http://purl.obolibrary.org/obo/UBERON_0005147>	"metanephric renal vesicle"
<http://purl.obolibrary.org/obo/UBERON_0005148>	"metanephric S-shaped body"
<http://purl.obolibrary.org/obo/UBERON_0005149>	"metanephric connecting tubule"
<http://purl.obolibrary.org/obo/UBERON_0005151>	"metanephric proximal tubule"
<http://purl.obolibrary.org/obo/UBERON_0005164>	"ascending limb of loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0005167>	"papillary duct"
<http://purl.obolibrary.org/obo/UBERON_0005168>	"renal interlobular vein"
<http://purl.obolibrary.org/obo/UBERON_0005185>	"renal medulla collecting duct"
<http://purl.obolibrary.org/obo/UBERON_0005202>	"distal straight tubule macula densa"
<http://purl.obolibrary.org/obo/UBERON_0005211>	"renal medulla interstitium"
<http://purl.obolibrary.org/obo/UBERON_0005213>	"outer renal medulla interstitium"
<http://purl.obolibrary.org/obo/UBERON_0005214>	"inner renal medulla interstitium"
<http://purl.obolibrary.org/obo/UBERON_0005215>	"kidney interstitium"
<http://purl.obolibrary.org/obo/UBERON_0005249>	"metanephric renal pelvis"
<http://purl.obolibrary.org/obo/UBERON_0005268>	"renal cortex artery"
<http://purl.obolibrary.org/obo/UBERON_0005269>	"renal cortex vein"
<http://purl.obolibrary.org/obo/UBERON_0005270>	"renal cortex interstitium"
<http://purl.obolibrary.org/obo/UBERON_0005271>	"juxtamedullary cortex"
<http://purl.obolibrary.org/obo/UBERON_0005272>	"peritubular capillary"
<http://purl.obolibrary.org/obo/UBERON_0005308>	"nephrostome"
<http://purl.obolibrary.org/obo/UBERON_0005309>	"pronephric nephron"
<http://purl.obolibrary.org/obo/UBERON_0005310>	"pronephric nephron tubule"
<http://purl.obolibrary.org/obo/UBERON_0005312>	"primary ureteric bud"
<http://purl.obolibrary.org/obo/UBERON_0005319>	"mesonephric collecting duct"
<http://purl.obolibrary.org/obo/UBERON_0005320>	"mesonephric juxtaglomerular apparatus"
<http://purl.obolibrary.org/obo/UBERON_0005321>	"mesonephric smooth muscle tissue"
<http://purl.obolibrary.org/obo/UBERON_0005322>	"mesonephric nephron"
<http://purl.obolibrary.org/obo/UBERON_0005323>	"mesonephric mesenchyme"
<http://purl.obolibrary.org/obo/UBERON_0005324>	"mesonephric macula densa"
<http://purl.obolibrary.org/obo/UBERON_0005325>	"mesonephric glomerulus"
<http://purl.obolibrary.org/obo/UBERON_0005326>	"mesonephric glomerulus vasculature"
<http://purl.obolibrary.org/obo/UBERON_0005327>	"mesonephric glomerular epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005328>	"mesonephric comma-shaped body"
<http://purl.obolibrary.org/obo/UBERON_0005329>	"mesonephric nephron tubule"
<http://purl.obolibrary.org/obo/UBERON_0005330>	"mesonephric nephron epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005331>	"mesonephric renal vesicle"
<http://purl.obolibrary.org/obo/UBERON_0005332>	"mesonephric S-shaped body"
<http://purl.obolibrary.org/obo/UBERON_0005749>	"glomerular tuft"
<http://purl.obolibrary.org/obo/UBERON_0005750>	"glomerular parietal epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005751>	"glomerular visceral epithelium"
<http://purl.obolibrary.org/obo/UBERON_0005760>	"urorectal septum"
<http://purl.obolibrary.org/obo/UBERON_0005777>	"glomerular basement membrane"
<http://purl.obolibrary.org/obo/UBERON_0005787>	"lamina densa of glomerular basement membrane"
<http://purl.obolibrary.org/obo/UBERON_0005788>	"lamina rara interna"
<http://purl.obolibrary.org/obo/UBERON_0005789>	"lamina rara externa"
<http://purl.obolibrary.org/obo/UBERON_0005792>	"nephric ridge"
<http://purl.obolibrary.org/obo/UBERON_0005892>	"mesonephric early distal tubule"
<http://purl.obolibrary.org/obo/UBERON_0005912>	"transitional epithelium of major calyx"
<http://purl.obolibrary.org/obo/UBERON_0006082>	"fundus of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0006170>	"mesonephric capsule"
<http://purl.obolibrary.org/obo/UBERON_0006171>	"renal sinus"
<http://purl.obolibrary.org/obo/UBERON_0006172>	"rectal diverticulum"
<http://purl.obolibrary.org/obo/UBERON_0006173>	"pronephric proximal tubule"
<http://purl.obolibrary.org/obo/UBERON_0006174>	"pronephric sinus"
<http://purl.obolibrary.org/obo/UBERON_0006175>	"pronephric distal tubule"
<http://purl.obolibrary.org/obo/UBERON_0006182>	"mesonephric glomerular mesangium"
<http://purl.obolibrary.org/obo/UBERON_0006183>	"mesonephric glomerular capillary"
<http://purl.obolibrary.org/obo/UBERON_0006189>	"mesonephric connecting tubule"
<http://purl.obolibrary.org/obo/UBERON_0006190>	"mesonephric distal tubule"
<http://purl.obolibrary.org/obo/UBERON_0006192>	"mesonephric proximal tubule"
<http://purl.obolibrary.org/obo/UBERON_0006194>	"renal sinus of right kidney"
<http://purl.obolibrary.org/obo/UBERON_0006195>	"renal sinus of left kidney"
<http://purl.obolibrary.org/obo/UBERON_0006196>	"mesonephric sinus"
<http://purl.obolibrary.org/obo/UBERON_0006217>	"cloacal membrane"
<http://purl.obolibrary.org/obo/UBERON_0006307>	"urogenital membrane"
<http://purl.obolibrary.org/obo/UBERON_0006337>	"distal early tubule"
<http://purl.obolibrary.org/obo/UBERON_0006341>	"outer renal medulla peritubular capillary"
<http://purl.obolibrary.org/obo/UBERON_0006364>	"ureteric bud tip"
<http://purl.obolibrary.org/obo/UBERON_0006373>	"perihilar interstitium"
<http://purl.obolibrary.org/obo/UBERON_0006374>	"part of afferent arteriole forming the juxtaglomerular complex"
<http://purl.obolibrary.org/obo/UBERON_0006376>	"premacula segment of distal straight tubule"
<http://purl.obolibrary.org/obo/UBERON_0006517>	"kidney calyx"
<http://purl.obolibrary.org/obo/UBERON_0006534>	"renal convoluted tubule"
<http://purl.obolibrary.org/obo/UBERON_0006541>	"outer medulla inner stripe loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0006542>	"outer medulla outer stripe loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0006544>	"kidney vasculature"
<http://purl.obolibrary.org/obo/UBERON_0006553>	"renal duct"
<http://purl.obolibrary.org/obo/UBERON_0006555>	"excretory tube"
<http://purl.obolibrary.org/obo/UBERON_0006565>	"female urethral meatus"
<http://purl.obolibrary.org/obo/UBERON_0006851>	"renal cortex peritubular capillary"
<http://purl.obolibrary.org/obo/UBERON_0006853>	"renal cortex tubule"
<http://purl.obolibrary.org/obo/UBERON_0006854>	"distal straight tubule postmacula segment"
<http://purl.obolibrary.org/obo/UBERON_0006855>	"muscular coat of ureter"
<http://purl.obolibrary.org/obo/UBERON_0006856>	"interrenal gland"
<http://purl.obolibrary.org/obo/UBERON_0006857>	"interrenal primordium"
<http://purl.obolibrary.org/obo/UBERON_0006912>	"urinary bladder muscularis mucosa"
<http://purl.obolibrary.org/obo/UBERON_0006972>	"nephridium"
<http://purl.obolibrary.org/obo/UBERON_0006973>	"protonephridium"
<http://purl.obolibrary.org/obo/UBERON_0006974>	"metanephridium"
<http://purl.obolibrary.org/obo/UBERON_0007132>	"head kidney"
<http://purl.obolibrary.org/obo/UBERON_0007179>	"basal cell layer of urothelium"
<http://purl.obolibrary.org/obo/UBERON_0007298>	"pronephric proximal convoluted tubule"
<http://purl.obolibrary.org/obo/UBERON_0007306>	"pronephric glomerular capillary"
<http://purl.obolibrary.org/obo/UBERON_0007307>	"pronephric glomerular basement membrane"
<http://purl.obolibrary.org/obo/UBERON_0007308>	"pronephric distal early tubule"
<http://purl.obolibrary.org/obo/UBERON_0007653>	"capillary loop nephron"
<http://purl.obolibrary.org/obo/UBERON_0007654>	"maturing nephron"
<http://purl.obolibrary.org/obo/UBERON_0007684>	"uriniferous tubule"
<http://purl.obolibrary.org/obo/UBERON_0007685>	"region of nephron tubule"
<http://purl.obolibrary.org/obo/UBERON_0008404>	"proximal tubular epithelium"
<http://purl.obolibrary.org/obo/UBERON_0008408>	"distal tubular epithelium"
<http://purl.obolibrary.org/obo/UBERON_0008716>	"hilum of kidney"
<http://purl.obolibrary.org/obo/UBERON_0008987>	"renal parenchyma"
<http://purl.obolibrary.org/obo/UBERON_0009010>	"periurethral tissue"
<http://purl.obolibrary.org/obo/UBERON_0009035>	"renal straight tubule"
<http://purl.obolibrary.org/obo/UBERON_0009089>	"inner medulla vasa recta descending limb"
<http://purl.obolibrary.org/obo/UBERON_0009090>	"outer medulla vasa recta descending limb"
<http://purl.obolibrary.org/obo/UBERON_0009092>	"inner medulla vasa recta ascending limb"
<http://purl.obolibrary.org/obo/UBERON_0009093>	"outer medulla vasa recta ascending limb"
<http://purl.obolibrary.org/obo/UBERON_0009095>	"tip of renal papilla"
<http://purl.obolibrary.org/obo/UBERON_0009201>	"nephric duct"
<http://purl.obolibrary.org/obo/UBERON_0009622>	"pronephric proximal straight tubule"
<http://purl.obolibrary.org/obo/UBERON_0009650>	"cortical arch of kidney"
<http://purl.obolibrary.org/obo/UBERON_0009651>	"nephron tubule basement membrane"
<http://purl.obolibrary.org/obo/UBERON_0009669>	"embryonic cloacal lumen"
<http://purl.obolibrary.org/obo/UBERON_0009773>	"renal tubule"
<http://purl.obolibrary.org/obo/UBERON_0009844>	"urogenital sinus lumen"
<http://purl.obolibrary.org/obo/UBERON_0009846>	"embryonic cloacal epithelium"
<http://purl.obolibrary.org/obo/UBERON_0009847>	"prostate field"
<http://purl.obolibrary.org/obo/UBERON_0009866>	"Hatschek's nephridium"
<http://purl.obolibrary.org/obo/UBERON_0009871>	"nephrogenic zone"
<http://purl.obolibrary.org/obo/UBERON_0009883>	"medullary ray"
<http://purl.obolibrary.org/obo/UBERON_0009913>	"renal lobe"
<http://purl.obolibrary.org/obo/UBERON_0009914>	"renal lobule"
<http://purl.obolibrary.org/obo/UBERON_0009916>	"wall of ureter"
<http://purl.obolibrary.org/obo/UBERON_0009917>	"kidney corticomedullary boundary"
<http://purl.obolibrary.org/obo/UBERON_0009919>	"ureter smooth muscle"
<http://purl.obolibrary.org/obo/UBERON_0009958>	"bladder lumen"
<http://purl.obolibrary.org/obo/UBERON_0009962>	"excretory gland"
<http://purl.obolibrary.org/obo/UBERON_0009963>	"antennal gland"
<http://purl.obolibrary.org/obo/UBERON_0009964>	"crustacean maxillary gland"
<http://purl.obolibrary.org/obo/UBERON_0009965>	"coxal gland"
<http://purl.obolibrary.org/obo/UBERON_0009972>	"ureteropelvic junction"
<http://purl.obolibrary.org/obo/UBERON_0009973>	"ureterovesical junction"
<http://purl.obolibrary.org/obo/UBERON_0010151>	"duct of bulbourethral gland"
<http://purl.obolibrary.org/obo/UBERON_0010181>	"straight venules of kidney"
<http://purl.obolibrary.org/obo/UBERON_0010186>	"male urethral gland"
<http://purl.obolibrary.org/obo/UBERON_0010187>	"female urethral gland"
<http://purl.obolibrary.org/obo/UBERON_0010390>	"lumen of urethra"
<http://purl.obolibrary.org/obo/UBERON_0010418>	"urethral opening"
<http://purl.obolibrary.org/obo/UBERON_0010531>	"metanephros induced blastemal cells"
<http://purl.obolibrary.org/obo/UBERON_0010532>	"primitive nephron"
<http://purl.obolibrary.org/obo/UBERON_0010533>	"metanephros cortex"
<http://purl.obolibrary.org/obo/UBERON_0010534>	"primitive mesonephric nephron"
<http://purl.obolibrary.org/obo/UBERON_0010535>	"primitive metanephric nephron"
<http://purl.obolibrary.org/obo/UBERON_0010537>	"mesonephric nephron progenitor"
<http://purl.obolibrary.org/obo/UBERON_0011143>	"upper urinary tract"
<http://purl.obolibrary.org/obo/UBERON_0011149>	"Marshall's gland"
<http://purl.obolibrary.org/obo/UBERON_0011183>	"corpus spongiosum of penis"
<http://purl.obolibrary.org/obo/UBERON_0011199>	"prostatic utricle"
<http://purl.obolibrary.org/obo/UBERON_0011202>	"urachus epithelium"
<http://purl.obolibrary.org/obo/UBERON_0011203>	"urachus mesenchyme"
<http://purl.obolibrary.org/obo/UBERON_0011379>	"male external urethral sphincter"
<http://purl.obolibrary.org/obo/UBERON_0011380>	"female external urethral sphincter"
<http://purl.obolibrary.org/obo/UBERON_0011574>	"mesonephric duct lumen"
<http://purl.obolibrary.org/obo/UBERON_0011830>	"duct of lesser vestibular gland"
<http://purl.obolibrary.org/obo/UBERON_0011947>	"ureter luminal urothelium"
<http://purl.obolibrary.org/obo/UBERON_0011948>	"ureter subluminal urothelium"
<http://purl.obolibrary.org/obo/UBERON_0012238>	"ureteric bud trunk"
