Uberon Label	Uberon Id	EFO LABEL(S)	MAPPING TYPE	ONTOLOGY TERM(S)	ONTOLOGY(S)	Comment
right main bronchus	UBERON:0002177	bronchus	Automatic	EFO_0000932	http://www.ebi.ac.uk/efo/	n
main bronchus	UBERON:0002182	bronchus	Automatic	EFO_0000932	http://www.ebi.ac.uk/efo/	n
otolith	UBERON:0002280	otolith organ	Automatic	EFO_0003539	http://www.ebi.ac.uk/efo/	n
pericardium	UBERON:0002407	pericardium	Automatic	EFO_0000820	http://www.ebi.ac.uk/efo/	n
decidua	UBERON:0002450	decidua basalis	Automatic	EFO_0001918	http://www.ebi.ac.uk/efo/	n
mesenteric lymph node	UBERON:0002509	lymph node	Automatic	EFO_0000872	http://www.ebi.ac.uk/efo/	n
middle frontal gyrus	UBERON:0002702	precentral gyrus	Automatic	EFO_0001373	http://www.ebi.ac.uk/efo/	n
skull	UBERON:0003129	cranium	Automatic	EFO_0000831	http://www.ebi.ac.uk/efo/	n
stroma	UBERON:0003891	corneal stroma	Automatic	EFO_0002514	http://www.ebi.ac.uk/efo/	n
capsule	UBERON:0003893	cranium	Automatic	EFO_0000831	http://www.ebi.ac.uk/efo/	n
valve	UBERON:0003978	mouth structure	Automatic	EFO_0000825	http://www.ebi.ac.uk/efo/	n
outflow tract	UBERON:0004145	bulbus arteriosus	Automatic	EFO_0003505	http://www.ebi.ac.uk/efo/	n
blastoderm	UBERON:0004750	blastula stage	Automatic	EFO_0001282	http://www.ebi.ac.uk/efo/	n
hilum	UBERON:0004885	lung	Automatic	EFO_0000934	http://www.ebi.ac.uk/efo/	n
pronephric nephron	UBERON:0005309	pronephros	Automatic	EFO_0000927	http://www.ebi.ac.uk/efo/	n
olfactory mucosa	UBERON:0005386	olfactory epithelium	Automatic	EFO_0001972	http://www.ebi.ac.uk/efo/	n
proventriculus	UBERON:0007357	proventriculus primordium	Automatic	EFO_0003357	http://www.ebi.ac.uk/efo/	n
exudate	UBERON:0007780	phloem	Automatic	EFO_0001044	http://www.ebi.ac.uk/efo/	n
tibialis	UBERON:0008230	tibialis anterior muscle	Automatic	EFO_0001385	http://www.ebi.ac.uk/efo/	n
osteoid	UBERON:0008883	osteosarcoma	Automatic	EFO_0000637	http://www.ebi.ac.uk/efo/	n
splanchnocranium	UBERON:0008895	pharyngeal arch cartilage	Automatic	EFO_0003689	http://www.ebi.ac.uk/efo/	n
fascia	UBERON:0008982	connective tissue	Automatic	CL_0000388	http://purl.org/obo/owl/CL#	n
dorsolateral prefrontal cortex	UBERON:0009834	frontal lobe	Automatic	EFO_0000913	http://www.ebi.ac.uk/efo/	n
ethmoid region	UBERON:0011241	olfactory region	Automatic	EFO_0003525	http://www.ebi.ac.uk/efo/	n
peripheral nervous system	UBERON:0000010	somatic nervous system	Requires curation	CL_0000111	http://purl.org/obo/owl/CL#	n
peripheral nervous system	UBERON:0000010	tumour of cranial and spinal nerves	Requires curation	EFO_0002431	http://www.ebi.ac.uk/efo/	n
exocrine pancreas	UBERON:0000017	pancreatic carcinoma	Requires curation	EFO_0002618	http://www.ebi.ac.uk/efo/	n
tube	UBERON:0000025	oviduct	Requires curation	EFO_0000974	http://www.ebi.ac.uk/efo/	n
tube	UBERON:0000025	pollen tube	Requires curation	EFO_0001004	http://www.ebi.ac.uk/efo/	n
tube	UBERON:0000025	uterus	Requires curation	EFO_0000975	http://www.ebi.ac.uk/efo/	n
macula	UBERON:0000054	macula utricle	Requires curation	EFO_0003474	http://www.ebi.ac.uk/efo/	n
duct	UBERON:0000058	ductal adenocarcinoma	Requires curation	EFO_0000430	http://www.ebi.ac.uk/efo/	n
duct	UBERON:0000058	urethra	Requires curation	EFO_0000931	http://www.ebi.ac.uk/efo/	n
duct	UBERON:0000058	ejaculatory duct	Requires curation	EFO_0000985	http://www.ebi.ac.uk/efo/	n
duct	UBERON:0000058	ductus deferens	Requires curation	EFO_0000981	http://www.ebi.ac.uk/efo/	n
organ	UBERON:0000062	organism	Requires curation	OBI_0100026	http://purl.obolibrary.org/obo/	n
organ	UBERON:0000062	organization	Requires curation	OBI_0000245	http://purl.obolibrary.org/obo/	n
organ part	UBERON:0000064	organism part	Requires curation	EFO_0000635	http://www.ebi.ac.uk/efo/	n
respiratory tract	UBERON:0000065	respiratory system structure	Requires curation	EFO_0000804	http://www.ebi.ac.uk/efo/	n
cell layer	UBERON:0000119	DEL cells	Requires curation	EFO_0000170	http://www.ebi.ac.uk/efo/	n
cell layer	UBERON:0000119	granulosa cell layer	Requires curation	EFO_0003628	http://www.ebi.ac.uk/efo/	n
cranial nerve nucleus	UBERON:0000126	oculomotor nucleus	Requires curation	EFO_0002468	http://www.ebi.ac.uk/efo/	n
pectoral fin	UBERON:0000151	pectoral fin skeleton	Requires curation	EFO_0003594	http://www.ebi.ac.uk/efo/	n
pectoral fin	UBERON:0000151	pectoral fin bud	Requires curation	EFO_0003430	http://www.ebi.ac.uk/efo/	n
pectoral fin	UBERON:0000151	pectoral fin cartilage	Requires curation	EFO_0003516	http://www.ebi.ac.uk/efo/	n
pectoral fin	UBERON:0000151	apical ectodermal ridge pectoral fin bud	Requires curation	EFO_0003487	http://www.ebi.ac.uk/efo/	n
pectoral fin	UBERON:0000151	mesenchyme pectoral fin	Requires curation	EFO_0003604	http://www.ebi.ac.uk/efo/	n
pectoral fin	UBERON:0000151	pectoral fin musculature	Requires curation	EFO_0003540	http://www.ebi.ac.uk/efo/	n
vomit	UBERON:0000172	post operative nausea and vomiting	Requires curation	EFO_0004888	http://www.ebi.ac.uk/efo/	n
gyrus	UBERON:0000200	dentate gyrus	Requires curation	EFO_0001366	http://www.ebi.ac.uk/efo/	n
gyrus	UBERON:0000200	precentral gyrus	Requires curation	EFO_0001373	http://www.ebi.ac.uk/efo/	n
pallium	UBERON:0000203	cerebral cortex	Requires curation	EFO_0000328	http://www.ebi.ac.uk/efo/	n
body wall	UBERON:0000309	wing disc	Requires curation	EFO_0001933	http://www.ebi.ac.uk/efo/	n
breast	UBERON:0000310	breast adenocarcinoma	Requires curation	EFO_0000304	http://www.ebi.ac.uk/efo/	n
hair root	UBERON:0000329	root hair	Requires curation	EFO_0001012	http://www.ebi.ac.uk/efo/	n
mucosa	UBERON:0000344	colon mucosa	Requires curation	EFO_0003038	http://www.ebi.ac.uk/efo/	n
mucosa	UBERON:0000344	bladder mucosa	Requires curation	EFO_0000293	http://www.ebi.ac.uk/efo/	n
myelin	UBERON:0000345	Schwann cell	Requires curation	CL_0000218	http://purl.org/obo/owl/CL#	n
reticuloendothelial system	UBERON:0000363	blood	Requires curation	EFO_0000296	http://www.ebi.ac.uk/efo/	n
visual cortex	UBERON:0000411	occipital lobe	Requires curation	EFO_0000915	http://www.ebi.ac.uk/efo/	n
trabecula	UBERON:0000440	trabecular layer	Requires curation	EFO_0003706	http://www.ebi.ac.uk/efo/	n
trabecula	UBERON:0000440	neurocranial trabecula	Requires curation	EFO_0003677	http://www.ebi.ac.uk/efo/	n
organism subdivision	UBERON:0000475	animal body part	Requires curation	EFO_0000808	http://www.ebi.ac.uk/efo/	n
tissue	UBERON:0000479	synovial membrane	Requires curation	EFO_0001393	http://www.ebi.ac.uk/efo/	n
tissue	UBERON:0000479	adipose tissue	Requires curation	EFO_0000790	http://www.ebi.ac.uk/efo/	n
tissue	UBERON:0000479	stem	Requires curation	EFO_0001040	http://www.ebi.ac.uk/efo/	n
tissue	UBERON:0000479	obsolete_adipose tissue	Requires curation	EFO_0000234	http://www.ebi.ac.uk/efo/	n
tissue	UBERON:0000479	cardiac atrium	Requires curation	EFO_0000277	http://www.ebi.ac.uk/efo/	n
tissue	UBERON:0000479	aerial part	Requires curation	EFO_0001901	http://www.ebi.ac.uk/efo/	n
tissue	UBERON:0000479	phloem	Requires curation	EFO_0001044	http://www.ebi.ac.uk/efo/	n
tissue	UBERON:0000479	meristem	Requires curation	EFO_0000990	http://www.ebi.ac.uk/efo/	n
epithelium	UBERON:0000483	olfactory epithelium	Requires curation	EFO_0001972	http://www.ebi.ac.uk/efo/	n
embryo	UBERON:0000922	larval stage	Requires curation	EFO_0001303	http://www.ebi.ac.uk/efo/	n
pharyngeal muscle	UBERON:0000933	dorsal pharyngeal muscle primordium	Requires curation	EFO_0000422	http://www.ebi.ac.uk/efo/	n
pharyngeal muscle	UBERON:0000933	dorsal prothoracic pharyngeal muscle	Requires curation	EFO_0000423	http://www.ebi.ac.uk/efo/	n
ventral nerve cord	UBERON:0000934	ventral nerve cord primordium	Requires curation	EFO_0003401	http://www.ebi.ac.uk/efo/	n
endocrine system	UBERON:0000949	gland	Requires curation	EFO_0000797	http://www.ebi.ac.uk/efo/	n
gonad	UBERON:0000991	gonad primordium	Requires curation	EFO_0003651	http://www.ebi.ac.uk/efo/	n
gonad	UBERON:0000991	embryonic gonadal ridge	Requires curation	EFO_0001414	http://www.ebi.ac.uk/efo/	n
gonad	UBERON:0000991	hermaphrodite gonad	Requires curation	EFO_0000971	http://www.ebi.ac.uk/efo/	n
excretory system	UBERON:0001008	renal system	Requires curation	EFO_0000803	http://www.ebi.ac.uk/efo/	n
circulatory system	UBERON:0001009	blood vessel	Requires curation	EFO_0000817	http://www.ebi.ac.uk/efo/	n
circulatory system	UBERON:0001009	cardiovascular system	Requires curation	EFO_0000791	http://www.ebi.ac.uk/efo/	n
adipose tissue	UBERON:0001013	abdominal fat	Requires curation	EFO_0003771	http://www.ebi.ac.uk/efo/	n
adipose tissue	UBERON:0001013	obsolete_adipose tissue	Requires curation	EFO_0000234	http://www.ebi.ac.uk/efo/	n
nerve	UBERON:0001021	sciatic nerve	Requires curation	EFO_0001417	http://www.ebi.ac.uk/efo/	n
nerve	UBERON:0001021	peroneal nerve	Requires curation	EFO_0003062	http://www.ebi.ac.uk/efo/	n
gustatory system	UBERON:0001033	taste system	Requires curation	EFO_0000830	http://www.ebi.ac.uk/efo/	n
foregut	UBERON:0001041	foregut anlage	Requires curation	EFO_0003345	http://www.ebi.ac.uk/efo/	n
foregut	UBERON:0001041	foregut primordium	Requires curation	EFO_0003352	http://www.ebi.ac.uk/efo/	n
foregut	UBERON:0001041	embryonic foregut	Requires curation	EFO_0000456	http://www.ebi.ac.uk/efo/	n
neural tube	UBERON:0001049	floor plate neural tube	Requires curation	EFO_0003688	http://www.ebi.ac.uk/efo/	n
external carotid artery	UBERON:0001070	carotid artery disease	Requires curation	EFO_0003781	http://www.ebi.ac.uk/efo/	n
sweat	UBERON:0001089	Cold-induced sweating syndrome	Requires curation	pat_id_17149	http://www.orphanet.org/rdfns#	n
vertebral column	UBERON:0001130	axial skeleton structure	Requires curation	EFO_0000942	http://www.ebi.ac.uk/efo/	n
vertebral column	UBERON:0001130	vertebral column structure	Requires curation	EFO_0001369	http://www.ebi.ac.uk/efo/	n
renal pelvis	UBERON:0001224	transitional cell carcinoma of kidney	Requires curation	EFO_0003017	http://www.ebi.ac.uk/efo/	n
nephron	UBERON:0001285	pronephros	Requires curation	EFO_0000927	http://www.ebi.ac.uk/efo/	n
nephron	UBERON:0001285	presumptive pronephric mesoderm	Requires curation	EFO_0003619	http://www.ebi.ac.uk/efo/	n
ovarian follicle	UBERON:0001305	ovarian follicle stage IV	Requires curation	EFO_0003653	http://www.ebi.ac.uk/efo/	n
ovarian follicle	UBERON:0001305	ovarian follicle stage II	Requires curation	EFO_0003654	http://www.ebi.ac.uk/efo/	n
ovarian follicle	UBERON:0001305	ovarian follicle stage III	Requires curation	EFO_0003655	http://www.ebi.ac.uk/efo/	n
ovarian follicle	UBERON:0001305	ovarian follicle stage I	Requires curation	EFO_0003652	http://www.ebi.ac.uk/efo/	n
ulna	UBERON:0001424	ulna fracture	Requires curation	EFO_0003950	http://www.ebi.ac.uk/efo/	n
face	UBERON:0001456	mouth structure	Requires curation	EFO_0000825	http://www.ebi.ac.uk/efo/	n
face	UBERON:0001456	eye structure	Requires curation	EFO_0000827	http://www.ebi.ac.uk/efo/	n
pectoral muscle	UBERON:0001495	pectoral fin musculature	Requires curation	EFO_0003540	http://www.ebi.ac.uk/efo/	n
descending aorta	UBERON:0001514	abdominal aorta	Requires curation	EFO_0002524	http://www.ebi.ac.uk/efo/	n
descending aorta	UBERON:0001514	descending thoracic aorta	Requires curation	EFO_0002527	http://www.ebi.ac.uk/efo/	n
internal carotid artery	UBERON:0001532	internal carotid artery stenosis	Requires curation	EFO_0002615	http://www.ebi.ac.uk/efo/	n
inguinal lymph node	UBERON:0001542	Hodgkins lymphoma	Requires curation	EFO_0000183	http://www.ebi.ac.uk/efo/	n
anterior cerebral artery	UBERON:0001624	brain aneurysm	Requires curation	EFO_0003870	http://www.ebi.ac.uk/efo/	n
right coronary artery	UBERON:0001625	proximal portion of right coronary artery	Requires curation	EFO_0002603	http://www.ebi.ac.uk/efo/	n
right coronary artery	UBERON:0001625	distal portion of right coronary artery	Requires curation	EFO_0002600	http://www.ebi.ac.uk/efo/	n
left coronary artery	UBERON:0001626	proximal portion of anterior interventricular branch of left coronary artery	Requires curation	EFO_0002601	http://www.ebi.ac.uk/efo/	n
left coronary artery	UBERON:0001626	proximal portion of circumflex branch of left coronary artery	Requires curation	EFO_0002602	http://www.ebi.ac.uk/efo/	n
left coronary artery	UBERON:0001626	distal portion of anterior interventricular branch of left coronary artery	Requires curation	EFO_0002598	http://www.ebi.ac.uk/efo/	n
left coronary artery	UBERON:0001626	distal portion of circumflex branch of left coronary artery	Requires curation	EFO_0002599	http://www.ebi.ac.uk/efo/	n
middle cerebral artery	UBERON:0001627	brain aneurysm	Requires curation	EFO_0003870	http://www.ebi.ac.uk/efo/	n
posterior communicating artery	UBERON:0001628	brain aneurysm	Requires curation	EFO_0003870	http://www.ebi.ac.uk/efo/	n
basilar artery	UBERON:0001633	brain aneurysm	Requires curation	EFO_0003870	http://www.ebi.ac.uk/efo/	n
posterior cerebral artery	UBERON:0001636	brain aneurysm	Requires curation	EFO_0003870	http://www.ebi.ac.uk/efo/	n
oculomotor nerve	UBERON:0001643	oculomotor nucleus	Requires curation	EFO_0002468	http://www.ebi.ac.uk/efo/	n
cerebral vein	UBERON:0001663	mid cerebral vein	Requires curation	EFO_0003696	http://www.ebi.ac.uk/efo/	n
middle ear	UBERON:0001756	Otitis media	Requires curation	EFO_0004992	http://www.ebi.ac.uk/efo/	n
spinal nerve	UBERON:0001780	tumour of cranial and spinal nerves	Requires curation	EFO_0002431	http://www.ebi.ac.uk/efo/	n
cranial nerve	UBERON:0001785	optic nerve	Requires curation	EFO_0004258	http://www.ebi.ac.uk/efo/	n
cranial nerve	UBERON:0001785	vagus nerve	Requires curation	EFO_0002549	http://www.ebi.ac.uk/efo/	n
cranial nerve	UBERON:0001785	oculomotor nucleus	Requires curation	EFO_0002468	http://www.ebi.ac.uk/efo/	n
cranial nerve	UBERON:0001785	trigeminal nerve	Requires curation	EFO_0001402	http://www.ebi.ac.uk/efo/	n
paranasal sinus	UBERON:0001825	paranasal sinus neoplasm	Requires curation	EFO_0003866	http://www.ebi.ac.uk/efo/	n
bony labyrinth	UBERON:0001839	cochlea structure	Requires curation	EFO_0000357	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	motor cortex	Requires curation	EFO_0002467	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	somatosensory cortex	Requires curation	EFO_0001391	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	cerebral cortex	Requires curation	EFO_0000328	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	frontal lobe	Requires curation	EFO_0000913	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	adrenal cortex	Requires curation	EFO_0000237	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	kidney	Requires curation	EFO_0000929	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	prefrontal cortex	Requires curation	EFO_0001384	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	entorhinal cortex	Requires curation	EFO_0001920	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	somatomotor cortex	Requires curation	EFO_0002472	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	cingulate cortex	Requires curation	EFO_0000343	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	root cortex	Requires curation	PO_0000258	http://purl.obolibrary.org/obo/	n
cortex	UBERON:0001851	visual cortex	Requires curation	EFO_0000916	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	occipital lobe	Requires curation	EFO_0000915	http://www.ebi.ac.uk/efo/	n
cortex	UBERON:0001851	perirhinal cortex	Requires curation	EFO_0001978	http://www.ebi.ac.uk/efo/	n
phrenic nerve	UBERON:0001884	telencephalon	Requires curation	EFO_0000912	http://www.ebi.ac.uk/efo/	n
serum	UBERON:0001977	serum hepcidin measurement	Requires curation	EFO_0004504	http://www.ebi.ac.uk/efo/	n
corneal endothelium	UBERON:0001985	corneal epithelium	Requires curation	EFO_0001917	http://www.ebi.ac.uk/efo/	n
enteric nervous system	UBERON:0002005	presumptive enteric nervous system	Requires curation	EFO_0003462	http://www.ebi.ac.uk/efo/	n
embryonic structure	UBERON:0002050	animal developmental tissue	Requires curation	EFO_0000795	http://www.ebi.ac.uk/efo/	n
posterior cardinal vein	UBERON:0002065	ventral wall of dorsal aorta	Requires curation	EFO_0003699	http://www.ebi.ac.uk/efo/	n
heart left ventricle	UBERON:0002084	cardiac ventricle	Requires curation	EFO_0000317	http://www.ebi.ac.uk/efo/	n
postcranial axial skeleton	UBERON:0002090	vertebral column structure	Requires curation	EFO_0001369	http://www.ebi.ac.uk/efo/	n
right lung	UBERON:0002167	lung	Requires curation	EFO_0000934	http://www.ebi.ac.uk/efo/	n
left lung	UBERON:0002168	lung	Requires curation	EFO_0000934	http://www.ebi.ac.uk/efo/	n
hemolymphoid system	UBERON:0002193	cardiovascular disease	Requires curation	EFO_0000319	http://www.ebi.ac.uk/efo/	n
integument	UBERON:0002199	integumental cell	Requires curation	EFO_0000700	http://www.ebi.ac.uk/efo/	n
uterine horn	UBERON:0002247	uterus	Requires curation	EFO_0000975	http://www.ebi.ac.uk/efo/	n
lentiform nucleus	UBERON:0002263	lentiform nucleus measurement	Requires curation	EFO_0004913	http://www.ebi.ac.uk/efo/	n
white matter	UBERON:0002316	telencephalon	Requires curation	EFO_0000912	http://www.ebi.ac.uk/efo/	n
white matter	UBERON:0002316	white matter integrity	Requires curation	EFO_0004641	http://www.ebi.ac.uk/efo/	n
somite	UBERON:0002329	somite 14	Requires curation	EFO_0003564	http://www.ebi.ac.uk/efo/	n
somite	UBERON:0002329	somite 2	Requires curation	EFO_0003565	http://www.ebi.ac.uk/efo/	n
somite	UBERON:0002329	somite 13	Requires curation	EFO_0003601	http://www.ebi.ac.uk/efo/	n
somite	UBERON:0002329	somite 1	Requires curation	EFO_0003481	http://www.ebi.ac.uk/efo/	n
somite	UBERON:0002329	somite 4	Requires curation	EFO_0003583	http://www.ebi.ac.uk/efo/	n
somite	UBERON:0002329	somite 5	Requires curation	EFO_0003482	http://www.ebi.ac.uk/efo/	n
somite	UBERON:0002329	somite 3	Requires curation	EFO_0003566	http://www.ebi.ac.uk/efo/	n
somite	UBERON:0002329	somite 12	Requires curation	EFO_0003582	http://www.ebi.ac.uk/efo/	n
peritoneum	UBERON:0002358	digestive system disease	Requires curation	EFO_0000405	http://www.ebi.ac.uk/efo/	n
endocrine gland	UBERON:0002368	endocrine system disease	Requires curation	EFO_0001379	http://www.ebi.ac.uk/efo/	n
endocrine gland	UBERON:0002368	endocrine neoplasm	Requires curation	EFO_0003769	http://www.ebi.ac.uk/efo/	n
muscle tissue	UBERON:0002385	atrioventricular node	Requires curation	EFO_0000276	http://www.ebi.ac.uk/efo/	n
immune system	UBERON:0002405	immune system disease	Requires curation	EFO_0000540	http://www.ebi.ac.uk/efo/	n
fourth ventricle	UBERON:0002422	choroid plexus	Requires curation	EFO_0001915	http://www.ebi.ac.uk/efo/	n
bone tissue	UBERON:0002481	sarcoma	Requires curation	EFO_0000691	http://www.ebi.ac.uk/efo/	n
papillary muscle	UBERON:0002494	cardiovascular disease	Requires curation	EFO_0000319	http://www.ebi.ac.uk/efo/	n
abdominal lymph node	UBERON:0002507	Hodgkins lymphoma	Requires curation	EFO_0000183	http://www.ebi.ac.uk/efo/	n
lateral line system	UBERON:0002540	posterior lateral line system	Requires curation	EFO_0003692	http://www.ebi.ac.uk/efo/	n
lateral line system	UBERON:0002540	anterior lateral line system	Requires curation	EFO_0003691	http://www.ebi.ac.uk/efo/	n
left temporal lobe	UBERON:0002808	temporal lobe	Requires curation	EFO_0000917	http://www.ebi.ac.uk/efo/	n
right temporal lobe	UBERON:0002809	temporal lobe	Requires curation	EFO_0000917	http://www.ebi.ac.uk/efo/	n
auditory ganglion	UBERON:0002827	statoacoustic (VIII) ganglion	Requires curation	EFO_0003543	http://www.ebi.ac.uk/efo/	n
olfactory cortex	UBERON:0002894	entorhinal cortex	Requires curation	EFO_0001920	http://www.ebi.ac.uk/efo/	n
secondary olfactory cortex	UBERON:0002895	entorhinal cortex	Requires curation	EFO_0001920	http://www.ebi.ac.uk/efo/	n
stria terminalis	UBERON:0003029	nucleus of terminal stria	Requires curation	EFO_0001971	http://www.ebi.ac.uk/efo/	n
septum	UBERON:0003037	interventricular septum	Requires curation	EFO_0001956	http://www.ebi.ac.uk/efo/	n
septum	UBERON:0003037	brain	Requires curation	EFO_0000302	http://www.ebi.ac.uk/efo/	n
neural plate	UBERON:0003075	floor plate neural tube	Requires curation	EFO_0003688	http://www.ebi.ac.uk/efo/	n
neural plate	UBERON:0003075	floor plate neural rod	Requires curation	EFO_0003585	http://www.ebi.ac.uk/efo/	n
lateral plate mesoderm	UBERON:0003081	posterior lateral plate mesoderm	Requires curation	EFO_0003705	http://www.ebi.ac.uk/efo/	n
lateral plate mesoderm	UBERON:0003081	anterior lateral plate mesoderm	Requires curation	EFO_0003704	http://www.ebi.ac.uk/efo/	n
myotome	UBERON:0003082	atrioventricular node	Requires curation	EFO_0000276	http://www.ebi.ac.uk/efo/	n
caudal vein	UBERON:0003088	caudal vein plexus	Requires curation	EFO_0003665	http://www.ebi.ac.uk/efo/	n
caudal vein	UBERON:0003088	posterior caudal vein	Requires curation	EFO_0003616	http://www.ebi.ac.uk/efo/	n
thyroid primordium	UBERON:0003091	thyroid	Requires curation	EFO_0000861	http://www.ebi.ac.uk/efo/	n
infraorbital lateral line	UBERON:0003094	infraorbital lateral line neuromast	Requires curation	EFO_0003575	http://www.ebi.ac.uk/efo/	n
female organism	UBERON:0003100	female reproductive system	Requires curation	EFO_0000969	http://www.ebi.ac.uk/efo/	n
male organism	UBERON:0003101	male reproductive system	Requires curation	EFO_0000970	http://www.ebi.ac.uk/efo/	n
mesenchyme	UBERON:0003104	pancreatic mesenchyme	Requires curation	EFO_0002557	http://www.ebi.ac.uk/efo/	n
mesenchyme	UBERON:0003104	ventral mesenchyme	Requires curation	EFO_0003502	http://www.ebi.ac.uk/efo/	n
mesenchyme	UBERON:0003104	head mesenchyme	Requires curation	EFO_0003492	http://www.ebi.ac.uk/efo/	n
mesenchyme	UBERON:0003104	trunk mesenchyme	Requires curation	EFO_0003485	http://www.ebi.ac.uk/efo/	n
mesenchyme	UBERON:0003104	paraxial mesoderm	Requires curation	EFO_0003515	http://www.ebi.ac.uk/efo/	n
neck bone	UBERON:0003458	femoral neck bone geometry	Requires curation	EFO_0004511	http://www.ebi.ac.uk/efo/	n
arm bone	UBERON:0003460	osteomyelitis	Requires curation	EFO_0003102	http://www.ebi.ac.uk/efo/	n
shoulder bone	UBERON:0003461	pectoral girdle	Requires curation	EFO_0000946	http://www.ebi.ac.uk/efo/	n
forelimb muscle	UBERON:0003662	forelimb	Requires curation	EFO_0000882	http://www.ebi.ac.uk/efo/	n
mouth floor	UBERON:0003679	tonsil	Requires curation	EFO_0001401	http://www.ebi.ac.uk/efo/	n
abdominal cavity	UBERON:0003684	abdomen	Requires curation	EFO_0000968	http://www.ebi.ac.uk/efo/	n
renal vesicle	UBERON:0004209	kidney	Requires curation	EFO_0000929	http://www.ebi.ac.uk/efo/	n
stomach smooth muscle	UBERON:0004222	stomach	Requires curation	EFO_0000837	http://www.ebi.ac.uk/efo/	n
stomach smooth muscle	UBERON:0004222	smooth muscle	Requires curation	EFO_0000889	http://www.ebi.ac.uk/efo/	n
upper arm bone	UBERON:0004250	osteomyelitis	Requires curation	EFO_0003102	http://www.ebi.ac.uk/efo/	n
cardinal vein	UBERON:0004344	ventral wall of dorsal aorta	Requires curation	EFO_0003699	http://www.ebi.ac.uk/efo/	n
apical ectodermal ridge	UBERON:0004356	apical ectodermal ridge pectoral fin bud	Requires curation	EFO_0003487	http://www.ebi.ac.uk/efo/	n
apical ectodermal ridge	UBERON:0004356	apical ectodermal ridge dorsal fin	Requires curation	EFO_0003488	http://www.ebi.ac.uk/efo/	n
cerebral artery	UBERON:0004449	brain aneurysm	Requires curation	EFO_0003870	http://www.ebi.ac.uk/efo/	n
blood vasculature	UBERON:0004537	blood vessel	Requires curation	EFO_0000817	http://www.ebi.ac.uk/efo/	n
